NATURES OF CRIMES,CASE NUMBERS,"DATE/TIMEREPORTED","DATE/TIMEOCCURRED"
Found Property,15-0392,03-13-15/1436,03-13-15/1330,Howard Center Lot
Student Misconduct,15-0393,03-13-15/2015,03-13-15/2015,College Hall North
Miscellaneous,15-0394,03-14-15/1237,03-13-15/1237,Bethune Annex
Missing Person,15-0395,03-14-15/1610,03-13-15/0800,Baldwin Hall
Sick Person,15-0396,03-16-15/0130,03-13-15/0130,HU Hospital
Hazardous Elevator,15-0397,03-17-15/1807,03-17-15/0806,Wheatley Hall
Theft from Auto,15-0398,03-17-15/1048,03-17-15/1048,Banneker South Lot
Fire Alarm Activation,15-0399,03-17-15/1227,03-17-15/1215,Howard Plaza West
Fire Alarm Activation,15-0400,03-17-15/1537,03-17-15/1420,Cook Hall
Sick Person,15-0401,03-18-15/1501,03-18-15/1501,Cramton Auditorium
Vandalism,15-0402,03-18-15/1548,03-18-15/1548,Howard Plaza West
Fire Alarm Activation,15-0403,03-19-15/1605,03-19-15/1605,College Hall South
Damaged Property,15-0404,03-20-15/2316,03-20-15/1600,HUSC Garage
Destruction of Property,15-0405,03-21-15/1546,03-21-15/1546,South Banneker Lot
Sick Person,15-0406,03-21-15/1946,03-21-15/1946,Frazier Hall
Theft II,15-0407,03-21-15/2040,03-21-15/1500,Drew Hall
Burglary,15-0408,03-22-15/2031,03-22-15/2031,Drew Hall
Lost Property,15-0409,03-23-15/1730,02-20-15/1134,Burr Gym
Suspicious Odor,15-0410,03-23-15/1052,03-23-15/0930,Slowe Hall
Damaged Property,15-0411,03-23-15/1519,03-23-15/1500,6th Street & Bryant
Fire Alarm Activation,15-0412,03-23-15/2221,03-20-15/2221,Carver Hall
Fire Alarm Activation,15-0413,03-23-15/2317,03-23-15/2317,Slowe Hall
Theft From Auto,15-0414,03-24-15/1106,03-24-15/1100,2300 Block Georgia Ave
Disorderly Conduct,15-0415,03-24-15/1247,03-24-15/1247,School of Business
Sick Person,15-0416,03-24-15/1255,03-24-15/1240,Cramton Auditorium
Theft II,15-0417,03-24-15/1214,03-24-15/1115,Fine Arts
Miscellaneous,15-0418,03-24-15/1614,03-24-15/1614,Just Lot
Injured Person,15-0419,03-24-15/1554,03-24-15/1554,Burr Gym
Damaged Property,15-0420,03-24-15/1913,03-24-15/1900,500 Block Gresham Pl
Student Misconduct,15-0421,03-25-15/0652,03-25-15/0645,I-Lab
Damaged Property,15-0422,03-25-15/0931,03-25-15/0925,North Banneker Lot
Theft II,15-0423,03-24-15/2015,03-24-15/2015,College Hall South
Injured Person,15-0424,03-25-15/1428,03-25-15/1428,HUSC
Student Misconduct,15-0425,03-25-15/2249,03-25-15/2249,Carver Hall
Miscellaneous,15-0426,03-26-15/0207,03-26-15/0028,Cook Hall
Lost Property,15-0427,03-26-15/1430,03-24-15/0705,Off Campus
Sick Transport,15-0428,03-26-15/1041,03-26-15/0900,Student Health Center
Destruction of Property,15-0429,03-26-15/1101,03-26-15/1000,Howard Center Lot
Student Misconduct,15-0430,03-27-15/0013,03-27-15/0013,C.B. Powell building
Sick Person,15-0431,03-27-15/1248,03-27-15/1247,Blackburn Center
Miscellaneous,15-0432,03-27-15/1414,03-27-15/1414,Mental Health Clinic
Theft from Auto,15-0433,03-27-15/1515,03-27-15/1507,Miner Lot
Lost Property,15-0434,03-27-15/1704,03-27-15/1640,Quadrangle Hall
Destruction of Property,15-0435,03-27-15/1740,03-27-15/1730,Miner Lot
Destruction of Property,15-0436,03-27-15/2359,03-27-15/2359,Plaza Towers -East Lot
Injured Person,15-0437,03-28-15/0402,03-28-15/0345,HU Hospital
Loud Noise,15-0438,03-28-15/0355,03-28-15/0346,Howard Manor
Found Property,15-0439,03-28-15/1330,03-28-15/1330,Winder Plaza
Destruction of Property,15-0440,03-28-15/1345,03-28-15/1340,Plaza Towers
Destruction of Property,15-0441,03-28-15/1745,03-28-15/1738,East Towers Lot
Suspicious Odor,15-0442,03-29-15/0147,03-29-15/0144,Quadrangle Hall
Loud Noise,15-0443,03-29-15/0148,03-29-15/0148,Off  Campus
Vehicle Accident,15-0444,03-29-15/0145,03-29-15/0128,Service Center
Fire Alarm Activation,15-0445,03-29-15/1830,03-29-15/1830,College Hall North
Lost Property,15-0446,03-30-15/1603,03-30-15/1603,College Hall North
Fire Alarm Activation,15-0447,03-30-15/2153,03-30-15/2153,Service Center
Hazardous Elevator,15-0448,03-30-15/2224,03-30-15/2224,Bethune Hall Annex
Burglary 2,15-0449,03-30-15/2350,03-30-15/1700,Plaza Towers
Sick Person,15-0450,03-31-15/0140,03-31-15/0140,200 block 3rd St. NW
Sick Person,15-0451,03-31-15/1114,03-31-15/1114,College Hall South
Lost Property,15-0452,03-31-15/1331,03-30-15/0800,Carver Hall
Sick Transport,15-0453,03-31-15/1607,03-31-15/1531,Student Health Clinic
Student Misconduct,15-0454,03-31-15/1904,03-31-15/1855,Plaza Towers
Lost Property,15-0455,03-31-15/2037,03-31-15/1920,Law School
Injured Person,15-0456,03-31-15/2050,03-31-15/1648,Law School
Injured Person,15-0457,03-31-15/2244,03-31-15/1944,Law School
Credit Card Fraud,15-0458,03-31-15/2249,03-31-15/2249,Plaza Towers
Sick Transport,15-0459,04-01-15/0015,04-01-15/0015,HU Hospital
Sick Person,15-0460,04-01-15/1030,04-01-15/1027,Bethune Hall Annex
Theft from Auto,15-0461,04-01-15/1058,04-01-15/1058,500 block of Gresham Pl. NW
Sick Person,15-0462,04-01-15/1134,04-01-15/1134,Plaza Towers
Student Misconduct,15-0463,04-01-15/1448,04-01-15/1445,College Hall South
Theft from Auto,15-0464,04-01-15/1618,04-01-15/1615,Miner Lot
Sick Transport,15-0465,04-01-15/2100,04-01-15/2052,Cook Hall
Sick Transport,15-0466,04-01-15/2142,04-01-15/2138,Bethune Hall Annex
Simple Assault,15-0467,04-01-15/2223,04-01-15/2217,Carver Hall
Injured Person,15-0468,04-01-15/2210,04-01-15/2145,College Hall South
Damaged Property,15-0469,04-02-15/1525,04-02-15/0001,Burr Gymnasium
Theft 2,15-0470,04-02-15/0920,04-02-15/0903,Service Center
Harassment,15-0471,04-02-15/1136,04-02-15/1135,Banneker North Lot
Vehicle Accident,15-0472,04-02-15/1526,04-02-15/1526,2400 blk of Georgia Ave. NW
Fire,15-0473,04-02-15/1833,04-02-15/1735,Founders Library
Injured Person,15-0474,04-02-15/1908,04-02-15/1520,Law School
Sick Transport,15-0475,04-03-15/0447,04-03-15/0440,College Hall South
Miscellaneous,15-0476,04-03-15/1427,04-03-15/1427,Blackburn Center
Lost Property,15-0477,04-03-15/1150,04-03-15/1137,Service Center
Miscellaneous,15-0478,04-03-15/1119,04-03-15/1119,College Hall South
Lost Property,15-0479,04-03-15/1513,04-03-15/1513,Cook Hall
Miscellaneous,15-0480,04-03-15/1225,04-03-15/1224,Slowe Hall
Fire Alarm Activation,15-0481,04-03-15/1627,04-03-15/1623,Plaza Towers
Miscellaneous,15-0482,04-03-15/1855,04-03-15/1855,Bethune Hall Annex
Theft from Auto,15-0483,04-04-15/0148,04-03-15/2330,Georgia Ave. Lot
Sick Person,15-0484,04-04-15/0205,04-04-15/0204,Drew Hall
Burglary 2/Destr. Of Property,15-0485,04-04-15/0226,04-04-15/0226,426 Florida Ave. NW
Sick Transport,15-0486,04-04-15/1556,04-04-15/1537,Bethune Hall Annex
Fire Alarm Activation,15-0487,04-04-15/1456,04-04-15/1449,Cook Hall
Damaged Property,15-0488,04-04-15/1636,04-04-15/1600,Academic A
Sick Person,15-0489,04-04-15/1812,04-04-15/1803,College Hall South
Sick Person,15-0490,04-04-15/1731,04-04-15/1729,Carver Hall
Sick Person,15-0491,04-04-15/1810,04-04-15/1752,Bethune Hall Annex
Sick Person,15-0492,04-04-15/1930,04-04-15/1930,Carver Hall
Simple Assault,15-0493,04-04-15/2124,04-04-15/2045,Michigan Recreation Park
Simple Assault,15-0494,04-04-15/2135,04-04-15/2120,College Hall South
Robbery Force and Violence,15-0495,04-04-15/2320,04-04-15/2318,6th & Bryant St. NW
Sick Person,15-0496,04-05-15/0351,04-05-15/0351,Plaza Towers
Sick Person,15-0497,04-05-15/1153,04-05-15/1153,Bethune Hall Annex
Robbery Snatch,15-0498,04-05-15/1314,04-05-15/1314,Off Campus(MD)
Fire Alarm Activation,15-0499,04-05-15/1812,04-05-15/1812,College Hall South
Found Property,15-0500,04-05-15/1710,04-05-15/1703,Engineering Building
Sick Person,15-0501,04-06-15/0334,04-06-15/0335,Plaza Towers
Miscellaneous,15-0502,04-06-15/1100,04-06-15/0933,600  Howard Pl. NW
Damaged Property,15-0503,04-06-15/1246,04-06-15/0900,Drew Hall
Injured Person,15-0504,04-06-15/1350,04-06-15/1350,600 blk Fairmont St. NW
Aggravated Assault,15-0505,04-06-15/1544,04-06-15/1544,600 blk Fairmont St. NW
Theft from Auto,15-0506,04-06-15/1520,04-06-15/1517,9th St. NW
Sick Transport,15-0507,04-06-15/2145,04-06-15/2145,C.B. Powell Building
Destruction Of Property,15-0508,04-06-15/2249,04-06-15/2230,Engineering Building
Simple Assault,15-0509,04-06-15/2356,04-06-15/2356,Off Campus
Fire Alarm Activation,15-0510,04-07-15/0051,04-07-15/0047,College Hall North
Miscellaneous,15-0511,04-07-15/1252,04-07-15/1245,Architecture & Planning
Simple Assault,15-0512,04-07-15/1620,04-07-15/1612,Off Campus
Lost Property,15-0513,04-07-15/1805,04-07-15/1710,Dental School
Theft from Auto,15-0514,04-07-15/2012,04-07-15/2011,Burr Gymnasium
Hazardous Water Leak,15-0515,04-08-15/2206,04-08-15/2206,Carnegie Hall
Hazardous Water Leak,15-0516,04-08-15/0905,04-08-15/0905,Bethune Hall Annex
Lost Property,15-0517,04-08-15/1230,04-07-15/1219,Quadrangle Hall
Sick Transport,15-0518,04-08-15/1216,04-08-15/1215,Quadrangle Hall
Hazardous Water Leak,15-0519,04-08-15/1703,04-08-15/1659,Drew Hall
Injured Person,15-0520,04-08-15/1858,04-08-15/1755,Burr Gymnasium
Theft from Auto,15-0521,04-08-15/1905,04-08-15/1902,East Towers Lot
Miscellaneous,15-0522,04-08-15/1930,04-08-15/1917,Bethune Hall Annex
Injured Person,15-0523,04-08-15/2240,04-08-15/2240,Founders Library
Theft 2,15-0524,04-08-15/2312,04-08-15/2312,Bethune Hall Annex
Indecent Exposure,15-0525,04-08-15/2350,04-08-15/2350,College Hall North
Loud Noise,15-0526,04-09-15/0044,04-09-15/0044,Off Campus
Sick Person,15-0527,04-09-15/0550,04-09-15/0535,HU Hospital
Fire Alarm Activation,15-0528,04-09-15/0601,04-09-15/0555,Law Library
Vehicle Accident,15-0529,04-09-15/1120,04-09-15/1115,Lower Campus
Sick Person,15-0530,04-09-15/1339,04-09-15/1338,Howard Plaza Towers
Lost Property,15-0531,04-09-15/1505,04-09-15/1458,Wonder Plaza
Theft 2,15-0532,04-09-15/1533,04-09-15/1533,Drew Hall
Sick Transport,15-0533,04-09-15/1649,04-09-15/1645,Founders Library
Fire Alarm Activation,15-0534,04-09-15/1849,04-09-15/1849,College Hall South
Theft 1,15-0535,04-09-15/1916,04-09-15/1900,Stokes Library
Student Misconduct,15-0536,04-09-15/2230,04-09-15/2230,College Hall South
Fire Alarm Activation,15-0537,04-10-15/0140,04-10-15/0127,College Hall South
Assault on a Police Officer,15-0538,04-10-15/1915,04-10-15/1915,Fine Arts
Destruction Of Property,15-0539,04-11-15/0300,04-11-15/0256,Ralph Bunch Building
Student Misconduct,15-0540,04-11-15/2208,04-11-15/2208,Cook Hall
Fire Alarm Activation,15-0541,04-12-15/1836,04-11-15/1836,College Hall North
Miscellaneous,15-0542,04-12-15/2052,04-12-15/2046,Slowe Hall
Burglary 2,15-0543,04-13-15/1227,04-12-15/1300,College Hall South
Threats,15-0544,04-13-15/1600,04-13-15/1410,Dental School
Lost Property,15-0545,04-13-15/1537,04-13-15/1537,Off Campus
Sick Person,15-0546,04-13-15/1918,04-13-15/1918,Bethune Hall Annex
Suspicious Odor,15-0547,04-13-15/2255,04-13-15/2251,Quadrangle Hall
Sick Person,15-0548,04-13-15/2334,04-13-15/2333,HU Hospital
Fire Alarm Activation,15-0549,04-14-15/0153,04-14-15/0140,East Campus
Damaged Property,15-0550,04-14-15/1131,04-14-15/1130,Wonder Plaza
Fire Alarm Activation,15-0551,04-14-15/2146,04-14-15/2146,College Hall South
Injured Person,15-0552,04-14-15/2231,04-14-15/2230,Quadrangle Hall
Simple Assault,15-0553,04-14-15/2318,04-14-15/2315,Slowe Hall
Sick Person,15-0554,04-15-15/0134,04-15-15/0134,College Hall South
Theft 2,15-0555,04-15-15/1141,04-15-15/1130,Administration Building
Theft 1,15-0556,04-15-15/1220,04-15-15/1150,College Hall North
Damaged Property,15-0557,04-15-15/1340,04-15-15/0938,Banneker South Parking Lot
Damaged Property,15-0558,04-15-15/1827,04-15-15/1827,East Campus
Theft 2,15-0559,04-16-15/0936,04-16-15/0936,Plaza Towers
Miscellaneous,15-0560,04-16-15/1029,04-16-15/1029,Engineering Building
Damaged Property,15-0561,04-16-15/1336,04-16-15/1330,College Hall South
Disorderly Conduct,15-0562,04-16-15/1417,04-16-15/1417,Business District
Fire Alarm Activation,15-0563,04-16-15/1735,04-16-15/1728,Blackburn Center
Lost Property,15-0564,04-16-15/2104,04-16-15/2101,Bethune Hall Annex
Found Property,15-0565,04-16-15/2257,04-16-15/2209,Burr Gymnsaium
Unlawful Entry,15-0566,04-16-15/2317,04-16-15/2317,6th & W Street NW
Injured Person,15-0567,04-17-15/0245,04-17-15/0222,HU Hospital
Theft 2,15-0568,04-17-15/1140,04-17-15/1124,Burr Gymnsaium
Damaged Property,15-0569,04-17-15/1242,04-17-15/1239,Service Center
Lost Property,15-0570,04-17-15/1643,04-17-15/1630,Founders Library
Sick Person,15-0571,04-17-15/1945,04-17-15/1945,Blackburn Center
Simple Assault,15-0572,04-17-15/2003,04-17-15/2003,Cramton Auditorium
Miscellaneous,15-0573,04-18-15/0815,04-18-15/0733,College Hall North
Fire Alarm Activation,15-0574,04-18-15/1204,04-18-15/1204,Plaza Towers
Miscellaneous,15-0575,04-18-15/1505,04-18-15/1505,School of Business
Hazardous Elevator,15-0576,04-18-15/1925,04-18-15/1923,College Hall South
Fire Alarm Activation,15-0577,04-18-15/1916,04-18-15/1916,Quadrangle Hall
Fire Alarm Activation,15-0578,04-18-15/2135,04-18-15/2135,Quadrangle Hall
Sick Person,15-0579,04-19-15/0206,04-19-15/0206,College Hall South
Sick Person,15-0580,04-19-15/0235,04-19-15/0224,Quadrangle Hall
Sick Person,15-0581,04-19-15/0312,04-19-15/0311,Plaza Towers
Sick Person,15-0582,04-19-15/1933,04-19-15/1933,College Hall South
Injured Person,15-0583,04-19-15/1955,04-19-15/1952,Quadrangle Hall
Aggravated Assault,15-0584,04-19-15/1805,04-19-15/1805,College Hall North
Lost Property,15-0585,04-19-15/2352,04-20-15/0005,College Hall North
Fire Alarm Activation,15-0586,04-20-15/0246,04-20-15/0246,College Hall North
Suspicious Odor,15-0587,04-20-15/0645,04-20-15/0633,HURB-1
Theft 1,15-0588,04-20-15/1030,04-20-15/1023,Blackburn Center
Simple Assault,15-0589,04-20-15/1128,04-20-15/1128,Locke Hall
Lost Property,15-0590,04-20-15/1222,04-20-15/1200,Mudd Building
Injured Person,15-0591,04-20-15/1235,04-20-15/1229,Social Work
Suspicious Odor,15-0592,04-20-15/1305,04-20-15/1300,Plaza Towers
Sexual Assault,15-0593,04-20-15/1408,11-2014/,Plaza Towers
Threats,15-0594,04-20-15/2230,04-20-15/1522,Dental School
Vehicle Accident,15-0595,04-20-15/1619,04-20-15/1619,Georgia Ave. & Bryant St.
Damaged Property,15-0596,04-20-15/1724,04-20-15/1245,Quadrangle Hall
Sick Person,15-0597,04-20-15/1900,04-20-15/1900,Plaza Towers
Sick Person,15-0598,04-20-15/2035,04-20-15/2033,College Hall North
Damaged Property,15-0599,04-21-15/0315,04-21-15/0315,6th Street NW
Student Misconduct,15-0600,04-21-15/0944,04-21-15/0942,Douglass Hall
Theft  2,15-0601,04-21-15/1651,04-21-15/1422,School of Business
Theft 2,15-0602,04-21-15/1907,04-21-15/1851,Drew Hall
Sick Person,15-0603,04-21-15/2233,04-21-15/2233,Plaza Towers
Simple Assault,15-0604,04-22-15/0046,04-22-15/0046,Slowe Hall
Injured Person,15-0605,04-22-15/1120,04-22-15/1120,Bethune Hall Annex
Burglary 2,15-0606,04-22-15/1446,04-22-15/1310,Drew Hall
Lost Property,15-0607,04-22-15/1651,04-22-15/1651,Off Campus
Recovered Property,15-0608,04-22-15/1850,04-22-15/1843,Drew Hall
Fire Alarm Activation,15-0609,04-22-15/1925,04-22-15/1925,College Hall North
Threats,15-0610,04-23-15/1559,04-23-15/1556,Off Campus
Damaged Property,15-0611,04-23-15/1739,04-23-15/1739,Main Gate
Theft from Auto,15-0612,04-23-15/1944,04-23-15/1944,Burr Gymnasium
Student Misconduct,15-0613,04-23-15/2057,04-23-15/2057,Bethune Hall Annex
Sick Person,15-0614,04-24-15/0237,04-23-15/0237,Plaza Towers
Unlawful Entry,15-0615,04-24-15/0533,04-24-15/0423,Plaza Towers
Theft from Auto,15-0616,04-24-15/1123,04-24-15/1115,Slowe Hall
Destruction Of Property,15-0617,04-24-15/1557,04-24-15/1546,Academic B
Simple Assault,15-0618,04-24-15/1946,04-24-15/1930,Quadrangle Hall
Unlawful Entry,15-0619,04-24-15/1858,04-24-15/1858,Stokes Library
Unlawful Entry,15-0620,04-24-15/2144,04-24-15/2115,Plaza Towers
Vehicle Accident,15-0621,04-24-15/2030,04-24-15/2019,Plaza Towers
Student Misconduct,15-0622,04-24-15/2042,04-24-15/2042,Plaza Towers
Robbery Force and Violence,15-0623,04-25-15/0331,04-25-15/0331,1844 3rd St.NW
Sick Person,15-0624,04-25-15/0431,04-25-15/0431,Bethune Hall Annex
Theft from Auto,15-0625,04-25-15/1433,04-25-15/1432,Childers Lot
Aggravated Assault,15-0626,04-26-15/0225,04-26-15/0216,Slowe Hall
Lost Property,15-0627,04-26-15/0828,04-26-15/0828,HU Hospital
Sick Person,15-0628,04-26-15/1137,04-26-15/1136,Bethune Hall Annex
Found Property,15-0629,04-26-15/1407,04-26-15/1343,Service Center
Sick Person,15-0630,04-26-15/2010,04-26-15/2010,Quadrangle Hall
Sick Person,15-0631,04-27-15/0120,04-27-15/0120,HU Hospital
Burglary 2,15-0632,04-27-15/0126,04-27-15/0058,Bethune Hall Annex
Sick Person,15-0633,04-27-15/1345,04-27-15/1337,HUDPS SOCC
Sick Person,15-0635,04-27-15/2052,04-27-15/2051,Bethune Hall Annex
Fire Alarm Activation,15-0636,04-28-15/0339,04-28-15/0335,Founders Library
Sick Person,15-0637,04-28-15/1103,04-28-15/1103,Service Center
Fire Alarm Activation,15-0638,04-28-15/1305,04-28-15/1301,HURB-1
Injured Person,15-0639,04-28-15/1650,04-28-15/1650,Annex 1
Miscellaneous,15-0640,04-28-15/1920,04-28-15/1920,Bethune Hall Annex
Sick Person,15-0641,04-28-15/1822,04-28-15/1819,Locke Hall
Simple Assault,041-15,04-28-15/,04-28-15/,HU Hospital
Miscellaneous,15-0642,04-29-15/0239,04-29-15/0239,HURB-1
Loud Noise,15-0643,04-29-15/0337,04-29-15/0324,727 Gresham Pl. NW
Sick Person,15-0644,04-29-15/0904,04-29-15/0903,Chemistry Building
Fire Alarm Activation,15-0645,04-29-15/1623,04-29-15/1621,College Hall South
Vehicle Accident,15-0646,04-29-15/1654,04-29-15/1651,College Hall North
Miscellaneous,15-0647,04-30-15/0144,04-30-15/0144,Plaza Towers
Sick Person,15-0648,04-30-15/0416,04-30-15/0401,HU Hospital
Loud Noise,15-0649,04-30-15/0630,04-30-15/0627,Slowe Hall
Lost Property,15-0650,04-30-15/0819,04-30-15/0819,Service Center
Damaged Property,15-0651,04-30-15/0951,04-30-15/0950,Douglass Hall
Theft 2,15-0652,04-30-15/1032,04-30-15/1005,East Campus
Injured Person,15-0653,04-30-15/1133,04-30-15/1130,Main Yard
Fire Alarm Activation,15-0654,04-30-15/1211,04-30-15/1211,Plaza Towers
Injured Person,15-0655,04-30-15/1304,04-30-15/1304,East Campus
Theft 1,15-0656,04-30-15/1339,04-30-15/1336,Dental School
Burglary 2,15-0657,04-30-15/1402,04-30-15/0215,College Hall South
Burglary 2,15-0658,04-30-15/1427,04-30-15/1230,College Hall South
Burglary 2,15-0659,04-30-15/1513,04-30-15/1200,College Hall South
Miscellaneous,15-0660,04-30-15/1537,04-30-15/1516,Howard Center
Student Misconduct,15-0661,04-30-15/1450,04-30-15/1400,Plaza Towers
NO Report,15-0662,04-30-15/,04-30-15/,
Sick Person,15-0663,05-01-15/1515,05-01-15/1515,Blackburn Center
Fire Alarm Activation,15-0664,05-01-15/1936,05-01-15/1921,Cook Hall
Theft from Auto,15-0665,05-01-15/2256,05-01-15/2246,East Towers
Theft 2,15-0666,05-01-15/2334,05-01-15/2334,Stokes Library
Sick Transport,15-0667,05-01-15/2345,05-01-15/0004,Bethune Hall Annex
Student Misconduct,15-0668,05-01-15/2353,05-01-15/2353,Mudd Building
Sick Person,15-0669,05-02-15/0509,05-02-15/0454,Quadrangle Hall
Theft 1,15-0670,05-02-15/0500,05-02-15/0426,770 Gresham Pl. NW
Simple Assault,15-0671,05-02-15/2103,05-02-15/2057,HU Hospital
Student Misconduct,15-0672,05-03-15/0257,05-03-15/0257,East Towers Lot
Sick Person,15-0673,05-03-15/2048,05-03-15/2044,College Hall South
Loud Noise,15-0674,05-03-15/2350,05-03-15/2350,727 Gresham Pl. NW
Simple Assault,15-0675,05-04-15/0645,05-04-15/0639,Off Campus
Destruction Of Property,15-0676,05-04-15/1046,05-04-15/0940,Blackburn Center
Sick Transport,15-0677,05-05-15/0525,05-05-15/0525,Plaza Towers
Student Misconduct,15-0678,05-05-15/1453,05-05-15/1452,Chemistry Building
Damaged Property,15-0679,05-05-15/1715,05-05-15/1715,Miner Lot
Lost Property,15-0680,05-05-15/1743,05-05-15/1743,Cook Hall
Simple Assault,15-0681,05-05-15/1847,05-05-15/1847,Main Gate
Loud Noise,15-0682,05-05-15/0210,05-05-15/0155,Off Campus
Verbal Dispute,15-0683,05-06-15/0156,05-06-15/0156,Plaza Towers
Missing Person,15-0684,05-06-15/0245,05-06-15/0142,Stafford VA.
Student Misconduct,15-0685,05-06-15/0420,05-06-15/0418,Carver Hall
Simple Assault,15-0686,05-06-15/0452,05-06-15/0451,College Hall South
Injured Person,15-0687,05-06-15/1237,05-06-15/1237,Physic Building
Theft from Auto,15-0688,05-06-15/1444,05-06-15/1444,East Towers Lot
Theft 2,15-0689,05-06-15/1619,05-06-15/1603,Carver Hall
Injured Person,15-0690,05-06-15/1708,05-06-15/1702,College Hall North
Simple Assault,15-0691,05-06-15/1642,05-06-15/1642,Howard Center Lot
Credit Card Fraud,15-0692,05-06-15/1619,05-06-15/1619,Bethune Hall Annex
Fire Alarm Activation,15-0693,05-06-15/1755,05-06-15/1755,Plaza Towers
Hazardous Water Leak,15-0694,05-07-15/0145,05-07-15/0145,School of Business
Injured Person,15-0695,05-07-15/1539,05-07-15/1527,Blackburn Center
Fire Alarm Activation,15-0696,05-07-15/1659,05-07-15/1644,Drew Hall
Sick Person,15-0697,05-08-15/0445,05-08-15/0445,HU Hospital
Injured Person,15-0698,05-08-15/0947,05-08-15/0944,Mackey Lot
Simple Assault,15-0699,05-08-15/1040,05-08-15/0951,Slowe Hall
Miscellaneous,15-0700,05-08-15/1402,05-08-15/0900,600 Howard Pl. NW
NO Report,15-0701,05-09-15/,05-09-15/,
Sick Person,15-0702,05-09-15/1339,05-09-15/1334,Burr Gymnsaium
Miscellaneous,15-0703,05-09-15/1340,05-09-15/1337,Burr Gymnsaium
Burglary 2,15-0704,05-10-15/0634,05-10-15/0634,Cook Hall
Theft from Auto,15-0705,05-10-15/0708,05-10-15/0615,Cook Hall
Sick Person,15-0706,05-11-15/1205,05-11-15/1042,Upper Campus
Injured Person,15-0707,05-11-15/1210,05-11-15/1051,Upper Campus
Damaged Property,15-0708,05-12-15/0647,05-12-15/0615,Service Center
Fire Alarm Activation,15-0709,05-12-15/2048,05-12-15/2048,College Hall South
Miscellaneous,15-0710,05-13-15/0016,05-13-15/0016,College Hall South
Burglary 2,15-0711,05-13-15/1006,05-07-15/1540,Service Center
Lost Property,15-0712,05-13-15/1600,05-09-15/1256,On Campus
Sick Person,15-0713,05-13-15/1457,05-13-15/1457,Burr Gymnsaium
Theft from Auto,15-0714,05-13-15/2115,05-13-15/2110,Howard Center Lot
Lost Property,15-0715,05-14-15/1149,05-14-15/1149,Service Center
Injured Person,15-0716,05-14-15/2331,05-14-15/2330,HU Hopital
Sexual Assault,15-0717,05-15-15/1525,05-15-15/1525,Howard Plaza Towers
Injured Person,15-0718,05-16-15/0613,05-16-15/0613,Howard Service Center
Theft from Auto,15-0719,05-16-15/0630,05-16-15/0629,College Hall South
Fire Alarm Activation,15-0720,05-17-15/1120,05-17-15/1119,HURB-1
Damaged Property,15-0721,05-17-15/2312,05-17-15/2245,Howard Service Center
Sick Person,15-0722,05-18-15/0817,05-18-15/0817,Middle School
Miscellaneous,15-0723,05-18-15/1435,05-18-15/1431,Administration Building
Sick Transport,15-0724,05-18-15/1626,05-18-15/1616,Student Health
Hazardous Water Leak,15-0725,05-19-15/0020,05-19-15/0019,Carver Hall
Fire Alarm Activation,15-0726,05-19-15/0054,05-19-15/0054,5th & U St. NW
Damaged Property,15-0727,05-19-15/2217,05-18-15/0242,Howard Service Center
Hazardous Water Leak,15-0728,05-19-15/0557,05-19-15/0356,Slowe Hall
Theft 2,15-0729,05-19-15/1915,05-19-15/1914,Howard Plaza Towers
Miscellaneous,15-0730,05-20-15/0048,05-20-15/0048,Howard Plaza Towers
Burglary 2,15-0731,05-20-15/1248,05-20-15/1245,Engineering Building
Miscellaneous,15-0732,05-21-15/0218,05-21-15/0218,Main Gate
NO Report,15-0733,05-21-15/,05-21-15/,
Burglary 2,15-0734,05-21-15/0947,05-21-15/0947,Douglass Hall
Lost Property,15-0735,05-22-15/1549,05-22-15/1540,College Hall South
Theft 2,15-0736,05-22-15/1555,05-22-15/1555,Service Center
Theft from Auto,15-0737,05-23-15/0235,05-23-15/0329,Bethune Hall Annex
Theft 2,15-0738,05-24-15/1355,05-24-15/1355,HU Hospital
Destruction Of Property,15-0739,05-24-15/2207,05-24-15/1034,Annex 2
Damaged Property,15-0740,05-24-15/2331,05-24-15/2331,Engineering Building
NO Report,,05-25-15/,05-25-15/,
Damaged Property,15-0741,05-26-15/0924,05-26-15/0925,Locke Hall
Miscellaneous,15-0742,05-26-15/1450,05-26-15/1412,Childers Lot
Hazardous Water Leak,15-0743,05-26-15/1725,05-25-15/1722,Bookstore
Miscellaneous,15-0744,05-26-15/1648,05-26-15/1648,Mudd Building
Destruction Of Property,15-0745,05-27-15/1332,05-27-15/1330,Howard Center Lot
Theft from Auto,15-0746,05-27-15/1445,05-27-15/1445,East Towers Parking Lot
Destruction Of Property,15-0747,05-27-15/1516,05-27-15/1516,Mudd Building
Destruction Of Property,15-0748,05-27-15/1814,05-27-15/1744,Mudd Building
Miscellaneous,15-0749,05-27-15/2041,05-27-15/2030,College Hall South
Destruction Of Property,15-0750,05-27-15/2335,05-27-15/2335,Howard Plaza Towers/West
Sick Person,15-0751,05-28-15/0550,05-28-15/0549,A-1 Parking Lot
Hazardous Elevator,15-0752,05-29-15/1833,05-29-15/1830,Howard Plaza Towers/West
Sick Person,15-0753,05-30-15/0756,05-30-15/0756,HU Hospital
Fire Alarm Activation,15-0754,05-31-15/0546,05-31-15/0546,Meridian Hill
Miscellaneous,15-0755,05-31-15/1100,05-31-15/1052,C.B. Powell Building
