NATURES OF CRIMES,CASE NUMBERS,DATE/TIME REPORTED,DATE/TIME OCCURRED
Damaged Property,18-0346,2/22/18 9:00am,2/22/18 10:20am,HUSC
Damaged Property,18-0347,2/22/18 12:27pm,2/21/18 10:45am,HU Hospital
Sick Person,18-0348,2/22/18 2:22pm,2/22/18 2:35pm,Architecture & Planning
Theft from Auto,18-0349,2/22/18 4:20pm,2/22/18 4:20pm,Cook Hall
Found Property,18-0350,2/22/18 6:24pm,2/22/2018 4:21pm,HU Hospital
Shoplifting,18-0351,2/22/18 5:56pm,2/22/18 5:56pm,Blackburn Center
Sick Person,18-0352,2/23/18 3:33am,2/23/18 2:30am,HU Hospital
Damaged Property,18-0353,2/23/18 12:55pm,2/23/18 12:55pm,Plaza Towers
Burglary 2,18-0354,2/23/18 12:48pm,2/23/18 10:00am,Laser Research
Fire Alarm Activation,18-0355,2/23/18 1:53pm,2/23/18 1:52pm,College Hall South
Fire Alarm Activation,18-0356,2/23/18 3:15pm,2/23/18 3:13pm,College Hall South
Loud Noise,18-0357,2/24/18 1:06am,2/24/18 1:06am,Off Campus
Fire Alarm Activation,18-0358,2/24/18 1:16pm,2/24/18 1:16pm,Undergraduate Library
Miscellaneous,18-0359,2/24/18 5:01am,2/24/18 5:01am,Drew Hall
Found Property,18-0360,2/24/18 7:27am,2/24/18 7:15am,Service Center
Theft 1,18-0361,2/24/18 3:44pm,2/24/18 3:43pm,Blackburn Center
Fire Alarm Activation,18-0362,2/24/18 5:50pm,2/24/18 5:50pm,Founders Library
Student Misconduct,18-0363,2/25/18 8:16pm,2/25/18 8:16pm,College Hall South
Theft 2,18-0364,2/26/18 1:17pm,2/26/18 1:17pm,Chemistry Building
Domestic Violence,18-0365,2/26/18 2:29pm,2/26/18 1:32pm,Howard Plaza Towers West
Sick Person,18-0366,2/26/18 11:37pm,2/26/18 10:15pm,HU Hospital
Fire Alarm Activation,18-0367,2/26/18 11:45pm,2/26/18 11:45pm,College Hall South
Sick Person,18-0368,2/27/18 8:21am,2/27/18 8:10am,College Hall North
Sick Person,18-0369,2/27/18 9:38am,2/27/18 9:38am,Greene Stadium
Fire Alarm Activation,18-0370,2/27/18 6:34pm,2/27/18 6:34pm,Pharmacy Building
Unlawful Entry,18-0371,2/27/18 10:36pm,2/27/18 10:36pm,Upper Campus
Unlawful Entry,18-0372,2/28/18 7:35am,2/28/18 7:35am,Annex 3
Vehicle Accident,18-0373,2/28/18 8:35am,2/28/18 8:35am,Dental Hall
Harassment,18-0374,2/28/18 9:40am,2/26/18 9:40am,Off Campus
Harassment,18-0375,2/28/18 10:11am,2/21/18 10:11am,On Campus
Lost Property,18-0376,2/28/18  10:03am,2/28/18 10:03am,Greene Stadium
Verbal Dispute,18-0377,2/28/18 11:06am,2/28/18 10:55am,Service Center
Sick Person,18-0378,2/28/18 2:22pm,2/28/18 2:22pm,Locke Hall
Student Misconduct,18-0379,2/28/18 9:06pm,2/28/18 9:06pm,WHUT
Threats to do bodily harm,18-0380,2/28/18 9:36pm,2/28/18 8:50pm,College Hall North
Injured Person,18-0381,2/28/18 11:42pm,2/28/18 4:25pm,Undergraduate Library
Sick Person,18-0382,3/1/18 1:52pm,3/1/18 1:52pm,Cook Hall
Damaged Property,18-0383,3/1/18 7:41am,3/1/18 7:41am,Douglass Hall
Sick Person,18-0384,3/1/18 9:46am,3/1/18 9:46am,Middle School
Student Misconduct,18-0385,3/1/18 10:25am,3/1/18 10:25am,Quadrangle Hall
Miscellaneous,18-0386,3/1/18 12:59pm,3/1/18 12:40pm,HU Hospital
Simple Assault,18-0387,3/1/18 5:26pm,3/1/18 5:26pm,College Hall North
Harassment,18-0388,3/1/18 7:02pm,3/1/18 7:02pm,Administration Building
Lost Property,18-0389,3/1/18 8:19pm,3/1/18 8:37pm,Upper Campus
Found Property,18-0390,3/2/18 3:43am,3/2/18 3:43am,Architecture Planning
Injured Person,18-0391,3/2/18 8:49am,3/2/18 7:32am,SOCC
Vehicle Accident,18-0392,3/2/18 10:54am,3/2/18 10:05am,Service Center
Damaged Property,18-0393,3/2/18 12:30pm,3/2/18 12:15pm,Childers Lot
Miscellaneous,18-0394,3/2/18 7:37pm,3/2/18 5:30pm,HU Hospital
Simple Assault,18-0395,3/3/18 12:10pm,3/3/18 11:30pm,HU Hospital
Fire Alarm Activation,18-0396,3/3/18 1:49am,3/3/18 1:49am,College Hall South
Sick Transport,18-0397,3/3/18 2:52am,3/3/18 2:50am,Quadrangle Hall
Health & Welfare Check,18-0398,3/4/18 7:01am,3/4/18 7:01am,Howard Plaza Towers West
Damaged Property,18-0399,3/4/18 7:37am,3/4/18 7:37am,"Florida Ave., Lot"
Theft 2,18-0400,3/4/18 7:14pm,3/4/18 7:13pm,Greene Stadium
Fire Alarm Activation,18-0401,3/5/18  3:16am,3/5/18 3:18am,College Hall South
Burglary 2,18-0402,3/5/18 11:11am,3/5/18 11:11am,Carnegie Hall
Student Misconduct,18-0403,3/5/18 5:26pm,3/5/18 5:26pm,Howard Plaza Towers West
Hazardous Elevator,18-0404,3/5/18 11:38pm,3/5/18 11:38pm,Quadrangle Hall
Sick Person,18-0405,3/6/18 12:36pm,3/6/18 11:27am,HU Hospital
Fraud,18-0406,3/6/18 3:41pm,2/27/18 12:00pm,On Campus
Injured Person,18-0407,3/6/18 4:02pm,3/6/18 4:25pm,Florida Ave NW Lot
Sick Transport,18-0408,3/6/18 6:28pm,3/6/18 6:38pm,C.B. Powell Building
ADW/Gun,18-0409,3/7/18 3:34am,3/7/18 3:34am,Off Campus
Hazardous Water Leak,18-0410,3/7/18 5:55am,3/7/18 5:58am,Miner Building
Vehicle Accident,18-0411,3/7/18 8:55am,3/7/18 8:56am,Upper Campus
Suspicious Odor,18-0412,3/7/18 6:36pm,3/7/18 6:40pm,Service Center
Harassment,18-0413,3/7/18 8:28pm,3/7/18 7:52pm,College Hall South
Harassment,18-0414,3/7/18 8:13pm,3/7/18 8:13pm,College Hall South
Sick Person,18-0415,3/8/18 3:42am,3/8/18 3:42am,Cook Hall
Miscellaneous,18-0416,3/8/18 10:00am,3/8/18 10:00am,Middle School
Damaged Property,18-0417,3/8/18 5:49pm,3/8/18 5:49pm,Engineering Parking Lot
Fire,18-0418,3/8/18 11:35pm,3/8/18 11:35pm,Cook Hall
Found Property,18-0419,3/9/18 12:35am,3/9/18 12:35am,Fine Arts Building
Injured Person,18-0420,3/9/18 3:31am,3/9/18 3:30am,College Hall South
Title 9,18-0421,3/9/18 11:02am,3/9/18 11:02am,Administration Building
Lost Property,18-0422,3/9/18 11:09am,3/9/18 11:09am,Howard Plaza Towers
Injured Person,18-0423,3/9/18 11:51am,3/9/18 11:45am,HU Service Center
Fire Alarm Activation,18-0424,3/9/18 12:43pm,3/9/18 12:43pm,HU Service Center
Found Property,18-0425,3/9/18 12:25pm,3/9/18 12:25pm,Founders Library
Sick Person,18-0426,3/9/18 1:16pm,3/9/18 1:16pm,Biology Building
Damaged Property,18-0427,3/9/18 2:03pm,3/5/18 11:00am,HU Hospital
Theft 2,18-0428,3/9/18 4:14pm,3/7/18 3:00pm,HU Hospital
Fire Alarm Activation,18-0429,3/9/18 4:58pm,3/9/18 4:58pm,Howard Plaza Towers West
Theft 1,18-0430,3/9/18 6:45pm,3/9/18 6:45pm,College Hall South
Verbal Dispute,18-0431,3/10/18 12:12am,3/10/18 12:12am,College Hall South
Fire Alarm Activation,18-0432,3/10/18 1:14am,3/10/18 1:14am,College Hall South
Damaged Property,18-0433,3/12/18 4:46am,3/12/18 4:46am,Medical Arts Building
Fire Alarm Activation,18-0434,3/12/18 8:54am,3/12/18 8:45am,College Hall North
Shoplifting,18-0435,3/12/18 9:33am,3/12/18 9:33am,Bookstore
Theft 1,18-0436,3/12/18 11:43am,3/12/18 10:00am,Howard Plaza Towers
Theft 1,18-0437,3/12/18 7:45pm,3/12/18 3:58pm,HU Hospital
Hazardous Elevator,18-0438,3/12/18 8:48pm,3/12/18 3:25pm,HU Hospital
Theft 1,18-0439,3/12/18 10:45pm,3/12/18 10:45pm,Drew Hall
Sick Person,18-0440,3/13/18 6:53am,3/13/18 2:38am,Off Campus
Fire Alarm Activation,18-0441,3/14/18 1:55am,3/14/18 1:55am,Howard Plaza Towers
Injured Person,18-0442,3/14/18 9:33am,3/13/18 3:30pm,Off Campus
Hazardous Water Leak,18-0443,3/14/18 8:10am,3/14/18 8:10am,Dental School
Sick Person,18-0444,3/14/18 6:46pm,3/14/18 6:45pm,College Hall North
Miscellaneous,18-0445,3/15/18 4:24pm,3/15/18 4:24pm,Bookstore
Fire Alarm Activation,18-0446,3/15/18 6:18pm,3/15/18 6:16pm,Blackburn Center
Sick Person,18-0447,3/15/18 6:36pm,3/15/18 5:44pm,College Hall South
Hazardous Water Leak,18-0448,3/16/18 8:23am,3/16/18 8:23am,Biology Building
Theft 2,18-0449,3/16/18 10:05am,3/16/18 10:05am,Mental Health clinic
Theft 2,18-0450,3/16/18 2:58pm,3/16/18 10:10am,Mental Health clinic
Fire Alarm Activation,18-0451,3/16/18 5:32pm,3/16/18 5:32pm,Dental School
Theft 2,18-0452,3/16/18 6:56pm,3/16/18 6:03pm,HU Hospital
Damaged Property,18-0453,3/17/18 2:59am,3/17/18 2:59am,Lower Campus
ADW/Gun,18-0454,3/17/18 3:09am,3/17/18 2:59am,Upper Campus
Miscellaneous,18-0455,3/17/18 2:32pm,3/17/18 2:32pm,West Campus
Sick Person,18-0456,3/18/18 12:40am,3/18/18 12:40am,Cook Hall
Theft 2,18-0457,3/18/18 1:05pm,3/18/18 12:04pm,HU Hospital
Fire Alarm Activation,18-0458,3/18/18 2:09pm,3/18/18 2:09pm,Quadrangle Hall
Damaged Property,18-0459,3/18/18 9:01pm,3/18/18 9:01pm,Plaza Towers
Fire Alarm Activation,18-0460,3/18/18 10:19pm,3/18/18 10:19pm,Service Center
Hazardous Water Leak,18-0461,3/19/18 12:42am,3/19/18 12:42am,Cramton Auditorium
Fire Alarm Activation,18-0462,3/19/18 3:42am,3/19/18 3:42am,College Hall South
Sick Person,18-0463,3/19/18 5:35am,3/19/18 4:00am,HU Hospital
Fire Alarm Activation,18-0464,3/19/18 6:28am,3/19/18 6:28am,Pharmacy Building
Fire Alarm Activation,18-0465,3/19/18 6:33am,3/19/18 6:33am,Early Learning Center
Hazardous Water Leak,18-0466,3/19/18 11:01am,3/19/18 11:01am,Administration Building
Student Misconduct,18-0467,3/19/18 12:04pm,3/19/18 11:30am,Bethune Annex
Vehicle Accident,18-0468,3/19/18 1:17pm,3/19/17 1:17pm,On Campus
Theft 2,18-0469,3/19/18 3:44pm,3/19/18 3:44pm,Pharmacy Building
Sick Transport,18-0470,3/19/18 6:39pm,3/19/18 6:39pm,Quadrangle Hall
Sick Person,18-0471,3/20/18 2:55am,3/20/18 2:30am,HU Hospital
Lost Property,18-0472,3/20/18 8:45am,3/20/18 8:30am,On Campus
Theft 1,18-0473,3/20/18 10:09am,3/20/18 10:09am,Howard University Hospital
Recovered Property,18-0474,3/20/18 11:08am,3/20/18 10:28am,Howard University Hospital
Howard University,18-0475,3/20/18 3:47pm,3/20/18 3:45pm,HURB-1
Injured Person,18-0476,3/20/18 7:40pm,3/20/18 3:23pm,HU Hospital
Hazardous Water Leak,18-0477,3/20/18 8:06pm,3/20/18 8:06pm,Fine Arts Building
Sick Transport,18-0478,3/21/18 2:27am,3/21/18 2:27am,Blackburn Center
Lost Property,18-0479,3/21/18 9:00am,3/21/18 8:39am,HU Hospital
Sick Person,18-0480,3/21/18 5:36pm,3/21/18 5:36pm,HU Hospital
Hazardous Water Leak,18-0481,3/21/18 8:52pm,3/21/18 9:41pm,Wonder Plaza
Sick Person,18-0482,3/22/18 3:14am,3/22/18 2:10am,HU Hospital
Sick Person,18-0483,3/22/18 5:55am,3/22/2018 5:45am,HU Hospital
Panhandling,18-0484,3/22/18 7:54am,3/22/18 7:35am,HU Hospital
Injured Person,18-0485,3/22/18 8:10am,3/22/18 8:05am,Dispatch
Miscellaneous,18-0486,3/22/18 9:23am,3/22/18 9:19am,HH Service Center
Simple Assault /Threat,18-0487,3/22/18 2:28pm,3/22/18 2:28pm,College Hall South
Hazardous Water Leak,18-0488,3/22/18 6:42pm,3/22/18 6:42pm,School of Business
Sick Transport,18-0489,3/22/18 8:17pm,3/22/18 8:35pm,Drew Hall
Student Misconduct,18-0490,3/22/18 8:04pm,3/22/18 8:47pm,College Hall South
Attempt Suicide,18-0491,3/22/18 11:08pm,3/22/18 11:08pm,Drew Hall
Howard University,18-0492,3/22/18 11:38pm,3/22/18 11:38pm,Engineering Building
Sick Person,18-0493,3/23/18 6:12am,3/23/18 6:12am,Cook Hall
Hazardous Elevator,18-0494,3/23/18 9:59am,3/23/18 10:13am,Physic Building
Sick Person,18-0495,3/23/18 12:02pm,3/23/18 12:15pm,College Hall South
Threats to do bodily harm,18-0496,3/23/18 3:28pm,3/22/18 12:22pm,Off Campus
Theft 2,18-0497,3/23/18 5:18pm,3/24/18 4:30pm,College Hall North
Found Property,18-0498,3/22/18 5:19pm,3/22/18 7:19pm,Plaza Towers
Fire Alarm Activation,18-0499,3/24/18 6:26am,3/24/18 6:26am,Architecture & Planning
Theft 2,18-0500,3/24/18 12:12pm,3/24/18 11:55am,600 block of W St. NW
Injured Person,18-0501,3/24/18 9:15pm,3/24/18 9:05pm,HU Hospital
Miscellaneous,18-0502,3/24/18 9:02pm,3/24/18 9:02pm,Quadrangle Hall
Sick Person,18-0503,3/24/18 9:55pm,3/24/18 9:52pm,HU Hospital
Sick Person,18-0504,3/25/18 4:16am,3/25/18 4:16am,Quadrangle Hall
Domestic Violence,18-0505,3/25/18 1:17pm,3/25/18 11:33am,HU Hospital
Found Property,18-0506,3/25/18 2:15pm,3/25/18 2:00pm,Cramton Auditorium
Fire Alarm Activation,18-0507,3/25/18 5:56pm,3/25/18 5:56pm,College Hall South
Student Misconduct,18-0508,3/25/18 9:08pm,3/25/18 8:00pm,College Hall
Student Misconduct,18-0509,3/25/18 9:09pm,3/25/18 8:31pm,College Hall South
Student Misconduct,18-0510,3/25/18 9:19pm,3/25/18 8:31pm,College Hall South
Found Property,18-0511,3/26/18 1:42am,3/26/18 1:30am,HU Hospital
Sick Person,18-0512,3/26/18 1:45am,3/26/18 1:30am,HU Hospital
Sick Person,18-0513,3/26/18 2:51am,3/26/18 2:51am,HU Hospital
Found Property,18-0514,3/26/18 6:15am,3/26/18 6:15am,Howard Plaza Towers West
Theft 2,18-0515,3/26/18 11:25am,3/26/201812:15pm,Mudd Building
Lost Property,18-0516,3/26/18 1:08pm,3/26/18 1:08pm,HU Hospital
Injured Person,18-0517,3/26/18 1:28pm,3/26/18 1:28pm,Mudd Building
Theft 1,18-0518,3/26/18 3:00pm,3/26/18 2:35pm,Service Center
Fire Alarm Activation,18-0519,3/26/18 9:30pm,3/26/18 9:30pm,College Hall South
Theft I,18-0520,3/26/18 10:38pm,3/26/18 3:30pm,West Campus
Lost Property,18-0521,3/27/18 2:52pm,3/27/18 1:55pm,HU Hospital
Lost Property,18-0522,3/27/18 3:38pm,3/27/18 3:19pm,Founder Library
Hazardous Elevator,18-0523,3/27/18 8:03pm,3/27/18 8:00pm,Quadrangle Hall
Theft from Auto,18-0524,3/27/18 10:52pm,3/27/18 10:52pm,Engineering Building
Student Misconduct,18-0525,3/28/18 12:18am,3/28/18 12:18am,Drew Hall
Theft 1,18-0526,3/28/18 12:37pm,3/28/18 12:37pm,Engineering Building
Injured Person,18-0527,3/28/18 2:00pm,3/28/18 2:00pm,HU Service Center
Damaged Property,18-0528,3/28/18 4:38pm,3/28/18 2:45pm,West Campus
Sick Transport,18-0529,3/29/18 1:35am,3/28/18 1:35am,College Hall South
Injured Person,18-0530,3/29/18 9:17am,3/29/18 9:17am,Social Work
Fire Alarm Activation,18-0531,3/29/18 1:03pm,3/29/18 1:03pm,Stokes Library
Miscellaneous,18-0532,3/29/18 3:22pm,3/29/18 3:22pm,Medical Arts
Sick Person,18-0533,3/29/18 6:08pm,3/29/18 6:08pm,Bethune Annex
Found Property,18-0534,3/29/18 6:51pm,3/29/18 6:40pm,4th St. Gate
Theft from Auto,18-0535,3/31/18 6:29am,3/31/18 3:30am,Lower Campus
Fire Alarm Activation,18-0536,3/31/18 8:05pm,3/31/18 8:00pm,C.B. Powell Building
Fire Alarm Activation,18-0537,4/1/18 1:05am,4/1/18 1:05am,C.B. Powell Building
Student Misconduct,18-0538,4/1/18 8:48pm,4/1/18 8:45pm,Annex 3
Sick Person,18-0539,4/2/18 1:06am,4/2/18 12:00am,HU Hospital
Student Misconduct/Threat,18-0540,4/2/18 12:23am,4/2/18 12:23am,College Hall South
Student Misconduct,18-0541,4/2/18 1:17am,4/2/18 1:17am,College Hall South
Fire Alarm Activation,18-0542,4/2/18 3:25pm,4/2/18 3:25pm,Architecture & Planning
Injured Person,18-0543,4/2/18 5:26pm,4/2/18 5:26pm,Whut
Simple Assault /Domestic Violence,18-0544,4/2/18 5:51pm,4/2/18 5:51pm,Bethune Annex
Sick Person,18-0545,4/3/18 7:04am,4/3/18 7:04am,Bethune Annex
Fraud,18-0546,4/3/18 5:42pm,4/3/18 5:42pm,6th ST & Fairmont #8
Harassment,18-0547,4/3/18 3:45pm,4/3/18 3:45pm,Fine Arts
Student Misconduct,18-0548,4/3/18 11:25pm,4/3/18 11:25pm,College Hall North
Theft 1,18-0549,4/4/18 9:24am,4/4/18 9:24am,Howard Plaza Towers East
Student  Misconduct,18-0550,4/4/18 10:20am,4/4/18 10:17am,Founder Library
Armed Robbery,18-0551,4/4/18 5:15pm,4/4/18 5:15pm,Drew Hall
Destruction of Property,18-0552,4/5/18 12:06am,4/5/18 12:06am,HU Hospital
Damaged Property,18-0553,4/5/18 12:10pm,4/2/18 8:09am,A-1 rear Parking Lot
Simple Assault,18-0554,4/5/18 12:42pm,4/5/18 12:35pm,Locke Hall
Sick Person,18-0555,4/5/18 3:35pm,4/5/18 3:00pm,HU Hospital
Fraud,18-0556,4/5/18 3:43pm,4/5/18 3:30pm,Off Campus
Miscellaneous,18-0557,4/5/18 7:06pm,4/5/18 7:25pm,School of Business
Simple Assault/Student Misconduct,18-0558,4/5/18 7:20pm,4/5/18 7:20pm,Quadrangle Hall
Simple Assault,18-0559,4/5/18 12:49pm,4/5/18 12:49pm,College Hall South
Hazardous Elevator,18-0560,4/5/18 2:24pm,4/5/18 2:18pm,Blackburn Center
Injured Person,18-0561,4/6/18 3:42pm,4/6/18 3:30pm,1620 V St. NW
Loud Noise,18-0562,4/7/18 2:03am,4/7/18 2:15am,Off Campus
Simple Assault,18-0563,4/7/18 3:50am,4/7/18 3:50am,Howard Plaza Towers West
Threats to do bodily harm,18-0564,4/7/18 10:30am,4/7/18 9:00am,HU Hospital
Recovered Property,18-0565,4/7/18 11:17am,4/7/18 11:17am,Plaza Towers
Found Property,18-0566,4/7/18 1:40pm,4/7/18 1:40pm,Admin. Building
Lost Property,18-0567,4/7/18 11:04am,4/7/18 11:04am,Drew Hall
Injured Person,18-0568,4/7/18 3:09pm,4/7/18 3:00pm,Fine Art Building
Stolen Auto,18-0569,4/7/18 3:48pm,4/7/18 12:07pm,"Ga. Ave., NW Parking Lot"
Fire Alarm Activation,18-0570,4/8/18 2:58am,4/8/18 2:58am,Pharmacy Building
Hazardous Elevator,18-0571,4/8/18 3:28am,4/8/18 3:28am,Quadrangle Hall
Miscellaneous,18-0572,4/8/18 8:36am,4/8/18 8:35am,Locke Hall
Hazardous Elevator,18-0573,4/8/18 9:20am,4/8/18 9:20am,West Campus
Lost Property,18-0574,4/8/18 12:03pm,4/8/18 10:58am,HU Hospital
Sick Person,18-0575,4/9/18 2:03am,4/9/18 2:00am,HU Hospital
Disorderly Conduct,18-0576,4/9/18 10:32am,4/9/18 8:30am,HU Hospital
Theft 2,18-0577,4/9/18 10:29am,4/9/18 10:29am,Admin. Building
Lost Property,18-0578,4/9/18 12:04pm,4/9/18 12:04pm,Dispatch
Vehicle Accident,18-0579,4/9/18 6:29pm,4/9/18 6:29pm,2200 block of 4th St. NW
Sick Person,18-0580,4/9/18 6:39pm,4/9/18 6:39pm,Bethune Annex
Fire Alarm Activation,18-0581,4/9/18 7:43pm,4/9/18 7:43pm,College Hall South
Sick Person,18-0582,4/9/18 9:26pm,4/9/18 9:20pm,Fine Art Building
Injured Person,18-0583,4/9/18 11:42pm,4/9/18 9:48pm,HU Hospital
Fire Alarm Activation,18-0584,4/10/18 6:01am,4/10/18 6:01am,College Hall North
Miscellaneous,18-0585,4/10/18 10:30am,4/10/18 10:30am,Chemistry Building
Protest,18-0586,3/29/18 7:00am,3/29/18 7:00am,Admin. Building
Sick Transport,18-0587,4/10/18 3:59pm,4/10/18 3:59pm,C.B. Powell Building
Disorderly Conduct,18-0588,4/10/18 9:17pm,4/10/18 9:17pm,College Hall South
Student Misconduct,18-0589,4/10/18 10:35pm,4/10/18 10:35pm,C.B. Powell Building
Lost Property,18-0590,4/10/18 11:46pm,4/10/18 11:46pm,College Hall North
Fire Alarm Activation,18-0591,4/11/18 9:56am,4/11/18 9:56am,College Hall North
Simple Assault,18-0592,4/11/18 11:15am,4/11/18 10:42am,HU Hospital
Sick Transport,18-0593,4/11/18 11:18am,4/11/18 10:00am,C.B. Powell Building
Found Property,18-0594,4/11/18 12:07pm,4/11/18 12:07pm,Fine Art Building
Damaged Property,18-0595,4/11/18 6:02pm,4/9/18 2:45pm,West Campus
Sick Transport,18-0596,4/11/18 9:43pm,4/11/18 9:43pm,College Hall South
Fire Alarm Activation,18-0597,4/12/18 12:21pm,4/11/18 12:10pm,West Campus
Fire Alarm Activation,18-0598,4/12/18 2:26pm,4/12/18 2:26pm,College Hall South
Found Property,18-0599,4/12/18 2:51pm,4/12/18 2:51pm,College Hall South
Disorderly Conduct,18-0600,4/12/18 10:01pm,4/12/18 10:01pm,Wonder Plaza
Found Property,18-0601,4/13/18 1:29am,4/13/18 1:29am,Main Gate
Fire Alarm Activation,18-0602,4/13/18 8:54am,4/13/18 8:54am,Mudd Building
Damaged Property,18-0603,4/13/18 11:05am,4/13/18 11:05am,Fine Arts Building
Hazardous Water Leak,18-0604,4/13/18 9:52am,4/13/18 9:52am,College Of Dentistry
Injured Person,18-0605,4/13/18 2:38pm,4/13/18 12:00pm,HU Hospital
Disorderly Conduct,18-0606,4/13/18 1:00pm,4/13/18 1:00pm,I-Lab
Sick Person,18-0607,4/13/18 3:34pm,4/13/18 3:32pm,Blackburn Center
Harassment,18-0608,4/13/18 4:46pm,4/13/18 4:46pm,HU Service Center
Sick Person,18-0609,4/13/18 8:38pm,4/13/18 8:38pm,Cramton Auditorium
Sick Person,18-0610,4/13/18 9:34pm,4/13/18 9:26pm,HU Hospital
Sick Person,18-0611,4/14/18 3:04am,4/14/18 3:04am,Bethune Annex
Damaged Property,18-0612,4/14/18 6:49am,4/14/18 6:49am,I-Lab
Aggravated Assault,18-0613,4/14/18 11:00am,4/14/18 11:00am,4th & W St. NW
Hazardous Elevator,18-0614,4/14/18 6:52pm,4/14/18 6:52pm,College Hall South
Theft 2,18-0615,4/15/18 7:23pm,4/15/18 7:18pm,C.B. Powell Building
Unlawful Entry,18-0616,4/15/18 10:23pm,4/15/18 10:23pm,Banneker South Parking Lot
Sick Person,18-0617,4/16/18 12:31am,4/16/18 12:31am,Wonder Plaza
Hazardous Water Leak,18-0618,4/16/18 3:02am,4/16/18 3:02am,Quadrangle Hall
Hazardous Water Leak,18-0619,4/16/18 11:52am,4/16/18 11:52am,Medical Arts
Injured Person,18-0620,4/16/18 12:41pm,4/16/18 12:25pm,HU Hospital
Damaged Property,18-0621,4/16/18 12:37pm,4/16/18 12:37pm,West Campus
Damaged Property,18-0622,4/16/18 5:34pm,4/16/18 5:34pm,6th St. NW
Theft from Auto,18-0623,4/16/18 5:58pm,4/16/18 5:58pm,College St. NW
Harassment,18-0624,4/16/18 5:40pm,4/16/18 5:40pm,College Hall North
Miscellaneous,18-0625,4/16/18 11:15pm,4/16/18 10:25pm,HU Hospital
Fire Alarm Activation,18-0626,4/17/18 7:07am,4/17/18 7:07am,Architecture & Planning
Stalking,18-0627,4/17/18 10:26am,4/17/18 10:26am,On Campus
Theft from Auto,18-0628,4/17/18 9:51am,4/17/18 9:51am,Greene Stadium
Found Property,18-0629,4/17/18 4:54pm,4/17/18 4:54pm,Academic Support B
Found Property,18-0630,4/17/18 4:44pm,4/17/18 4:44pm,I-Lab
Lost Property,18-0631,4/17/18 5:13pm,4/17/18 5:13pm,Fine Arts Building
Fire Alarm Activation,18-0632,4/17/18 10:18pm,4/17/18 10:18pm,Architecture & Planning
Carjacking,18-0633,4/18/18 12:22am,4/18/18 12:22am,400 W St. NW
Miscellaneous,18-0634,4/18/18 10:52am,4/18/18 10:52am,Mudd Building
Indecent Exposure,18-0635,4/18/18 12:55pm,4/18/18 12:55pm,Chemistry Building
Injured Person,18-0636,4/18/18 9:01pm,4/18/18 9:01pm,Cramton Auditorium
Vehicle Accident,18-0637,4/18/18 10:54pm,4/18/18 10:54pm,500 block of Bryant St.
Hazardous Odor,18-0638,4/19/18 12:13pm,4/19/18 12:13pm,Architecture & Planning
Found Property,18-0639,4/19/18 4:29pm,4/19/18 4:29pm,Howard Manor
Theft 1,18-0640,4/19/18 7:23pm,4/19/18 7:23pm,Locke Hall
Hazardous Elevator,18-0641,4/20/18 9:19am,4/20/18 9:18am,Architecture & Planning
Destruction of Property,18-0642,4/20/18 10:24am,4/20/18 10:24am,Off Campus
Injured Person,18-0643,4/20/18 3:39pm,4/20/18 3:30pm,Service Center
Hazardous Water Leak,18-0644,4/20/18 9:15pm,4/20/18 9:14pm,Blackburn Center
Harassment,18-0645,4/20/18 9:47pm,4/19/18 8:00pm,College Hall South
Eloped Patient,18-0646,4/21/18 12:31am,4/21/18 12:00am,HU Hospital
Suspicious Odor,18-0647,4/20/18 11:09pm,4/20/18 11:09pm,Bethune Annex
Sick Person,18-0648,4/21/18 1:50am,4/21/18 12:39am,HU Hospital
Fire Alarm Activation,18-0649,4/21/18 2:08pm,4/21/18 2:08pm,College Hall North
Sick Person,18-0650,4/21/18 7:23pm,4/21/18 5:40pm,HU Hospital
Miscellaneous,18-0651,4/21/18 5:58pm,4/21/18 5:58pm,HU Hospital
Lost Property,18-0652,4/22/18 5:34pm,4/22/18 5:34pm,On Campus
Sick Transport,18-0653,4/22/18 9:34pm,4/22/18 9:34pm,College Hall North
Damaged Property,18-0654,4/22/18 10:35pm,4/22/18 10:35pm,400 block of 6th St. NW
Lost Property,18-0655,4/23/18 11:42am,4/23/18 11:35am,HU Hospital
Lost Property,18-0656,4/23/18 12:59pm,4/23/18 12:44pm,Off Campus
Hazardous Water Leak,18-0657,4/23/18 1:26pm,4/23/18 1:09pm,UGL
Sick Person,18-0658,4/23/2018 2:15pm,4/23/2018 2:05pm,West Campus
Sick Transport,18-0659,4/23/18 9:29pm,4/23/18 9:29pm,Howard Plaza Towers West
Simple Assault,18-0660,4/23/18 8:55pm,4/23/18 8:55pm,College Hall North
Lost Property,18-0661,4/24/18 10:16am,4/24/18 10:16am,WHUR
Sick Person,18-0662,4/24/18 11:53am,4/24/18 11:53am,Bethune Annex
Domestic Violence,18-0663,4/24/18 3:26pm,4/24/18 3:26pm,Off Campus
Theft 2,18-0664,4/24/18 4:17pm,4/24/18 4:17pm,Residence Life
Sick Person,18-0665,4/24/18 4:33pm,4/24/18 4:33pm,College Of Denistry
Fraud,18-0666,4/24/18 4:51pm,4/24/18 4:51pm,Bethune Annex
Sick Person,18-0667,4/24/18 5:15pm,4/24/18 5:15pm,Bethune Annex
Theft from Auto,18-0668,4/24/18 6:22pm,4/24/18 6:10pm,Banneker North Parking Lot
