NATURES OF CRIMES,"CASENUMBERS","DATE/TIMEREPORTED",DATE/TIME OCCURRED,GENERAL LOCATION
Loud Noise,17-0311,2/26/2017 1:11am,2/26/2017 1:11am,Off Campus,Active
Simple Assault,17-0312,2/26/2017 2:45am,2/26/2017 2:40am,Cook Hall,Active
Disorderly Conduct,17-0313,2/27/2017 9:38am,2/27/2017 9:39am,HUH,Active
Disorderly Conduct,17-0314,2/27/2017 10:31am,2/27/2017 9:23am,Administration Building,Active
Verbal Dispute,17-0315,2/27/2017 10:57am,2/27/2017 9:15am,HUH,Active
Robbery Fear,17-0316,2/27/2017 4:16pm,2/27/2017 3:53pm,6th & College St NW,Active
Student Misconduct,17-0317,2/27/2017 5:05pm,2/27/2017 5:05pm,Cook Hall,Active
Theft 2,17-0318,2/27/2017 8:50pm,2/27/2017 8:00pm,HU Hospital,Active
Theft 2,17-0319,2/27/2017 9:57pm,2/27/2017 5:55pm,HU Hospital,Active
Sick Person,17-0320,2/27/2017 10:11pm,2/27/2017 10:10pm,HU Hospital,Active
Damaged Property,17-0321,2/27/2017 10:15pm,2/27/2017 10:15pm,Annex 2,Inactive
Destruction of Property,17-0322,2/28/2017 8:58am,2/28/2017 8:58am,Main Yard,Active
Injured Person,17-0323,2/28/2017 10:04am,2/28/2017 9:30am,HU Hospital,Active
Student Misconduct,17-0324,2/28/2017 9:18am,2/28/2017 9:20am,Engineering Bldg.,Active
Sick Person,17-0325,2/28/2017 11:56am,2/28/2017 12:38pm,Cramton Auditorium,Inactive
Fire Alarm Activation,17-0326,2/28/2017 2:23pm,2/28/2017 2:23pm,HURB-1,Inactive
Sick Person,17-0327,2/28/2017 3:50pm,2/28/2017 3:58pm,Fine Arts,Inactive
Found Property,17-0328,2/28/2017 5:20pm,2/28/2017 4:45pm,Service Center,Inactive
Fire Alarm Activation,17-0329,2/28/2017 8:05pm,2/28/2017 8:12pm,Cook Hall,Inactive
Miscellaneous,17-0330,2/28/2017 9:11pm,2/28/2017 9:11pm,HUH,Inactive
Injured Person,17-0331,2/28/2017 11:11pm,2/28/2017 11:29pm,Quadrangle Hall,Active
Domestic Violence,17-0332,3/1/2017 2:32am,3/1/2017 2:35am,Plaza Towers/East,Active
Found Property,17-0333,3/1/2017 9:40am,3/1/2017 9:36am,Main Yard,Inactive
Sick Person,17-0334,3/1/2017 10:05am,3/1/2017 10:05am,School of Business,Inactive
Domestic Violence,17-0335,3/1/2017 11:39am,3/1/2017 11:39am,Plaza Towers/East,Active
Injured Person,17-0336,3/1/2017 12:49pm,3/1/2017 12:49pm,Lower campus,Active
Disorderly Conduct,17-0337,3/1/2017 11:06am,3/1/2017 11:00am,HU Hospital,Active
Injured Person,17-0338,3/1/2017 1:48pm,3/1/2017 11:00am,HU Hospital,Active
NO Report,17-0339,,,,
Injured Person,17-0340,3/1/2017 1:56pm,3/1/2017 11:00am,HU Hospital,Active
NO Report,17-0341,,,,
Sick Person,17-0342,3/1/2017 11:09pm,3/1/2017 10:50pm,Quadrangle Hall,Inactive
Fire Alarm Activation,17-0343,3/2/2017 12:20am,3/2/2017 12:21am,College Hall North,Inactive
Hazardous Elevator,17-0344,3/2/2017 12:52am,3/2/2017 12:57am,College Hall North,Inactive
Theft 2,17-0345,3/2/2017 9:27am,3/2/2017 9:32am,Mudd Building,Active
Theft 2,17-0346,3/2/2017 9:52am,3/2/2017 10:07am,College Hall South,Active
Disorderly Conduct,17-0347,3/2/2017 12:23pm,3/2/2017 12:23pm,HU Hospital,Active
Miscellaneous,17-0348,3/2/2017 1:15pm,3/2/2017 1:10pm,Middle School,Inactive
Sick Transport,17-0349,3/2/2017 6:48pm,3/2/2017 6:50pm,HU Hospital,Inactive
Fire Alarm Activation,17-0350,3/2/2017 10:27pm,3/2/2017 10:33pm,Cook Hall,Inactive
Miscellaneous,17-0351,3/3/2017 12:37am,3/3/2017 12:37am,Bethune Annex,Inactive
Unlawful Entry,17-0352,3/3/2017 8:37am,3/1/2017 8:00am,HU Hospital,Active
Lost Property,17-0353,3/3/2017 11:51am,3/3/2017 8:30am,I-Lab,Inactive
Damaged Property,17-0354,3/3/2017 1:47pm,3/3/2017 1:47pm,Bethune Annex,Inactive
Sick Person,17-0355,3/3/2017 12:48pm,3/3/2017 12:48pm,Admin. Bldg.,Inactive
Simple Assault,17-0356,3/3/2017 5:18pm,3/3/2017 5:00pm,Service Center,Active
Stalking,17-0357,3/3/2017 5:21pm,3/3/2017 3:00pm,Douglass Hall,Active
Injured Person,17-0358,3/3/2017 6:35pm,3/3/2017 6:31pm,HU Hospital,Active
Simple Assault,17-0359,3/4/2017 1:53pm,3/4/2017 1:53pm,Wonder Plaza,Active
NO Report,17-0360,,,,
Domestic Violence,17-0361,3/4/2017 1:35pm,3/4/2017 12:30pm,Stokes Library,Active
Sick Person,17-0362,3/5/2017 1:03am,3/5/2017 1:30pm,College Hall Southq,Inactive
Injured Person,17-0363,3/5/2017 2:38pm,3/5/2017 2 :39pm,Howard Center,Active
Sick Person,17-0364,3/6/20176:39pm,3/6/2017 6:30pm,Quadrangle Hall,Inactive
Theft 2,17-0365,3/6/2017 12:15pm,3/6/2017 1:45pm,HU Hospital,Active
Miscellaneous,17-0366,3/6/2017 2:42pm,3/6/2017 2:42pm,Service Center,Inactive
Sick Person,17-0367,3/6/2017 6:34pm,3/6/2017 6:25pm,HU Hospital,Inactive
Hazardous Water Leak,17-0368,3/6/2017 6:25pm,3/6/2017 8:24pm,HU Hospital,Inactive
Sick Person,17-0369,3/6/2017 3:50pm,3/6/2017 3: 44pm,HU Hospital,Inactive
Student Misconduct,17-0370,3/6/2017 9:17pm,3/6/2017 9:20pm,Bethune Annex,Active
Found Property,17-0371,3/7/2017 12:47am,3/7/2017 12:47am,College Hall South,Inactive
Hazardous Elevator,17-0372,3/7/2017 11:33am,3/7/2017 11:33am,Quadrangle Hall,Inactive
Simple Assault,17-0373,3/7/2017 12:48pm,3/7/2017 12:48pm,Off Campus,Inactive
Theft from Auto,17-0374,3/7/2017 1:20pm,3/7/2017 1:20pm,4th & W St. NW,Active
NO Report,17-0375,,,,
Miscellaneous,17-0376,3/7/2017 5:47pm,3/7/2017 3:21pm,HU Hospital,Inactive
Fire Alarm Activation,17-0377,3/7/2017 6:21pm,3/7/2017 6:21pm,HU Hospital,Inactive
Sick Person,17-0378,3/7/2017 6:01pm,3/8/2017 6:06pm,Bethune Annex,Inactive
Lost Property,17-0379,3/7/2017 7:45pm,3/7/2017 7:35pm,HU Hospital,Inactive
Disorderly Conduct,17-0380,3/7/2017 9:41pm,3/7/2017 9:15pm,HU Hospital,Active
Student Misconduct,17-0381,3/8/2017 1:29am,3/8/2017 1:29am,College Hall South,Active
Injured Person,17-0382,3/8/2017 10:26am,3/8/2017 10:28am,Howard Center,Active
Lost Property,17-0383,3/8/2017 10:28am,3/8/2017 10:28am,Service Center,Inactive
Student Misconduct,17-0384,3/8/2017 11:34am,3/8/2017 9:45am,Drew Hall,Active
Damaged Property,17-0385,3/8/2017 2:35pm,3/8/2017 2:35pm,A-2 Garage,Inactive
Miscellaneous,17-0386,3/8/2017 7:49pm,3/8/2017 4:00pm,HU Hospital,Inactive
Miscellaneous,17-0387,3/8/2017 9: 38pm,3/7/2017 10:15pm,College Hall North,Inactive
Sick Person,17-0388,3/9/2017 8:47am,3/7/2017 2:30pm,HU Hospital,Inactive
Theft from Auto,17-0389,3/9/2017 8:36am,3/9/2017 8:36am,6th & Bryant St. NW,Active
Miscellaneous,17-0390,3/9/2017 10:52am,3/9/2017 10:53am,Fine Arts,Inactive
Miscellaneous,17-0391,3/9/2017 12:21pm,3/9/2017 12:25pm,Early Learning Center,Inactive
Injured Person,17-0392,3/9/2017 1:39pm,3/9/2017 1:43pm,Chemistry Building,Active
Lost Property,17-0393,3/9/2017 2:00pm,3/9/2017 11:55am,HU Hospital,Inactive
Found Property,17-0394,3/9/2017 2:08pm,3/9/2017 2:10pm,Engineering Building,Inactive
Stolen Auto,17-0395,3/9/2017 3:20pm,3/9/2017 1:20pm,East Towers Parking Lot,Active
Theft 2,17-0396,3/9/2017 7:44-m,3/9/2017 7:44pm,Architecture & Planning,Active
Sick Person,17-0397,3/9/2017 8 :40pm,3/9/2017 7:28pm,HU Hospital,Inactive
Fire Alarm Activation,17-0398,3/9/2017 11:09pm,3/9/2017 11:09pm,Howard Plaza Towers,Inactive
Aggravated Assault,17-0399,3/9/2017 11:53pm,3/9/2017 11:53pm,HU Hospital  -Front,Active
Sick Person,17-0400,3/10/2017 12:15am,3/10/2017 12:15am,Bethune Annex,Inactive
Student Misconduct,17-0401,3/10/2017 8:31am,3/10/2017 8:45am,Slowe Hall,Active
Attempt Burglary,17-0402,3/10/2017 10:20am,3/10/2017 10:30am,Architecture & Planning,Active
Sick Person,17-0403,3/10/2017 10:55am,3/10/2017 10:55am,Drew Hall,Inactive
Fire Alarm Activation,17-0404,3/10/2017 8:24pm,3/10/2017 8:42pm,Slowe Hall,Inactive
Miscellaneous,17-0405,3/11/2017 8:00am,3/10/2017 1:00pm,Main Gate,Inactive
Hazardous Water Leak,17-0406,3/11/2017 4:09pm,3/11/2017 4:04pm,HU Hospital,Inactive
Fire Alarm Activation,17-0407,3/12/2017 4:13pm,3/12/2017 4:13pm,Pharmacy,Inactive
Sick Person,17-0408,3/12/2017 7:01pm,3/12/2017 5:00pm,HU Hospital,Inactive
Damaged Property,17-0409,3/12/2017 5:57pm,3/12/2017 6:00pm,Quadrangle,Inactive
Elope,17-0410,3/12/2017 6:26pm,2/12/2017 6:32pm,HU Hospital,Inactive
Credit Card Fraud,17-0411,3/13/2017 9:37am,3/13/2017 9:37am,Off Campus,Active
Miscellaneous,17-0412,3/13/2017 11:32am,3/13/2017 9:45am,A-2 Garage,Inactive
Miscellaneous,17-0413,3/13/2017 11:37am,3/13/2017 9:17pm,HU Hospital,Inactive
Sick Person,17-0414,3/13/2017 12:21am,3/13/2017 11:25pm,HU Hospital,Inactive
Threats,17-0415,3/14/2017 12:21pm,3/14/2017 11:25pm,HU Hospital,Active
Hazardous Water Leak,17-0416,3/14/2017 12:22pm,3/14/2017 12:13pm,Stokes LibrARY,Inactive
Injured Person,17-0417,3/14/2017 1:19pm,3/14/2017 1:00pm,HU Hospital,Active
Fire Alarm Activation,17-0418,3/15/2017 12:34pm,3/15/2017 12:24am,Pharmacy,Inactive
Sick Person,17-0419,3/15/2017 12:13pm,3/15/2017 12:13pm,On Campus,Inactive
Injured Person,17-0420,3/15/2017 3:29pm,3/15/2017 3:29pm,Off Campus,Active
Miscellaneous,17-0421,3/15/2017 23:31pm,3/17/2017 1:25pm,HU Hospital,Inactive
Fire Alarm Activation,17-0422,3/16/2017 6:55am,3/16/2017 7:00am,Pharmacy,Inactive
Injured Person,17-0423,3/16/2017 8:48am,3/16/2017 8:48am,Service Center,Active
Sick Person,17-0424,3/16/2017 9:21am,3/16/2017 2:22am,Off Campus,Inactive
Sick Person,17-0425,3/16/2017 9:45am,3/16/2017 9:45am,Service Center,Inactive
Damaged Property,17-0426,3/16/2017 4:34pm,3/16/2017 4:55pm,Bookstore,Inactive
Fire Alarm Activation,17-0427,3/16/2017 5:08pm,3/16/2017 4:00pm,Student Health Clinic,Inactive
Found Property,17-0428,3/17/2017 7:37am,3/17/2017 7:37am,College Hall South,Inactive
Sick Person,17-0429,3/17/2017 4:39pm,3/17/2017 4:20pm,HU Hospital,Inactive
Miscellaneous,17-0430,3/17/2017 6:49pm,3/17/2017 6:35pm,HU Hospital,Inactive
Sick Person,17-0431,3/18/2017 1:01pm,3/18/2017 11:00am,HU Hospital,Inactive
Fire Alarm Activation,17-0432,3/18/2017 2:41pm,3/18/2017 2:20pm,Social Work,Inactive
Kidnapping,17-0433,3/18/2017 3:32pm,3/18/2017 3:32pm,College Hall North,Active
Theft 1,17-0434,3/18/2017 10:54pm,3/18/2017 10:50pm,Drew Hall,Active
Lost Property,17-0435,3/19/2017 11:04am,3/19/2017 9:00am,HU Hospital,Inactive
Fire Alarm Activation,17-0436,3/19/2017 10:51pm,3/19/2017 10:45pm,Cook Hall,Inactive
Sick Person,17-0437,3/20/2017 11:20am,3/20/2017 11:20am,Quadrangle Hall,Inactive
Indecent Exposure,17-0438,3/20/2017 12:30pm,3/20/2017 12:30pm,Chemistry Building,Active
Damaged Property,17-0439,3/20/2017 3:31pm,3/20/2017 3:45pm,Greene Stadium,Inactive
Stolen Auto,17-0440,3/20/2017 6:13pm,3/20/2017 6:30pm,Banneker South Parking Lot,Active
Theft 2,17-0441,3/21/2017 11:00am,3/21/2017 9:50am,HU Hospital,Active
Damaged Property,17-0442,3/21/2017 11:50am,3/21/2017 11:56am,Greene Stadium,Inactive
Injured Person,17-0443,3/21/2017 10:44pm,3/20/2017 10:45pm,Mental Health Clinic,Active
Credit Card Fraud,17-0444,3/21/2017 1:27pm,3/21/2017 1:30pm,Quadrangle Hall,Active
Theft 1,17-0445,3/21/2017 1:52pm,3/21/2017 1:55pm,Bethune Annex,Active
Lost Property,17-0446,3/21/2017 3:51pm,3/21/2017 3:55pm,Drew Hall,Inactive
Fire Alarm Activation,17-0447,3/21/2017 3:48pm,3/21/2017 3:53pm,Cook Hall,Inactive
Drug Possession,17-0448,3/21/2017 7:58pm,3/21/2017 7:50pm,HU Hospital,Active
Theft from Auto,17-0449,3/22/2017 10:01am,3/22/2017 9:40am,Off Campus,Inactive
Sick Person,17-0450,3/22/2017 1:17pm,3/22/2017 1:18pm,Drew Hall,Inactive
Miscellaneous,17-0451,3/22/2017 6:34pm,3/22/2017 6:34pm,Wonder Plaza,Inactive
Sick Person,17-0452,3/22/2017 8:38pm,3/22/2017 8:00pm,HU Hospital,Inactive
Injured Person,17-0453,3/22/2017 8:44pm,3/19/2017 10:58pm,Service Center,Active
Fire Alarm Activation,17-0454,3/22/2017 11:51pm,3/22/2017 11:51pm,College Hall South,Inactive
Fire Alarm Activation,17-0455,3/23/2017 12:40am,3/23/2017 12:40am,Bethune Annex,Inactive
Suspicious Odor,17-0456,3/23/2017 5:25am,3/23/2017 5:26am,Drew Hall,Active
Lost Property,17-0457,3/23/2017 11:39am,3/23/2017 12:00am,College Hall South,Inactive
Verbal Dispute,17-0458,3/23/2017 2:02pm,3/23/2017 1:12pm,HU Hospital,Active
Sick Person,17-0459,3/23/2017 2:45pm,3/23/2017 2:43pm,Student Health Clinic,Inactive
Theft from Auto,17-0460,3/23/2017 4:05pm,3/23/2017 2:30pm,6th & St. NW,Active
Theft 2,17-0461,3/23/2017 3:25pm,3/23/2017 3:30pm,Wonder Plaza,Active
Sick Person,17-0462,3/23/2017 3:58pm,3/23/2017 3:45pm,Student Health Clinic,Inactive
Vehicle Accident,17-0463,3/24/2017 12:13pm,3/24/2017 1:05pm,Public space,Inactive
Sick Person,17-0464,3/24/2017 7:00pm,3/24/2017 7:00pm,HU Hospital,Inactive
Fire Alarm Activation,17-0465,3/25/2017 7:00pm,3/25/2017 7:11pm,College Hall South,Inactive
Loud Noise,17-0466,3/26/2017 2:14am,3/26/2017 11:59pm,Off Campus,Inactive
Student Misconduct,17-0467,3/26/2017 8:27pm,3/26/2017 8:24pm,A-1 Rear Parking Lot,Active
Hazardous Water Leak,17-0468,3/26/2017 1:45pm,3/26/2017 1:46pm,College Of Dentistry,Inactive
Theft from Auto,17-0469,3/27/2017 8:42am,3/27/2017 8:45am,Drew Hall,Active
Lost Property,17-0470,3/28/2017 11:37am,3/28/2017 11:15am,Mudd Building,Inactive
Miscellaneous,17-0471,3/28/2017 3:13pm,3/28/2017 3:39pm,HU Hospital,Inactive
Unlawful Entry,17-0472,3/28/2017 10:15pm,3/27/2017 10:15pm,West Campus,Active
Fire Alarm Activation,17-0473,3/28/2017 10:15pm,3/28/2017 10:15pm,College Hall North,Inactive
Domestic Incident,17-0474,3/29/2017 12:31pm,3/29/2017 12:31pm,Mudd Building,Inactive
Damaged Property,17-0475,3/29/2017 1:05m,3/29/2017 1:05m,Main Yard,Inactive
Sick Person,17-0476,3/29/2017 1:05pm,3/28/2017 11:50am,HU Hospital,Inactive
Miscellaneous,17-0477,3/29/2017 2:21pm,3/29/2017 11:00am,Main Gate,Inactive
Threats to do Bodily Harm,17-0478,3/19/2017 2:05pm,3/29/2017 2:05pm,HU Hospital,Active
Theft 2,17-0479,3/29/2017 5:14pm,3/29/2017 4:07pm,Howard Hospital,Active
Fire Alarm Activation,17-0480,3/30/2017 9:46pm,3/30/2017 7:07pm,Howard Plaza Towers,Inactive
Sick Person,17-0481,3/30/2017 12:26am,3/30/2017 12:32am,HU Hospital,Inactive
Student Misconduct,17-0482,3/30/20171:02am,3/30/2017 1:02am,Howard Plaza Towers,Active
Student Misconduct,17-0483,3/30/2017 1:50am,3/30/2017 1:30am,Howard Plaza Towers,Active
Unlawful Entry,17-0484,3/30/2017 5:16am,3/30/2017 12:40am,HU Hospital,Active
Sick Person,17-0485,3/30/2017 11:12am,3/30/2017 11:12am,HU Hospital,Inactive
Miscellaneous,17-0486,3/30/2017 11:12am,3/30/2017 11:47am,Howard Service Center,Inactive
Unlawful Entry,17-0487,3/30/2017 2:15pm,3/30/2017 12:55pm,"2719 Ga., Ave., NW",Inactive
Verbal Dispute,17-0488,3/30/2017 4:31pm,3/30/2017 4:40pm,Slowe Hall,Active
NO Report,17-0489,3/31/2017 5:23pm,3/31/2017 5:23pm,Howard University Hospital,Active
Found Property,17-0490,3/31/2017 11:44pm,3/31/2017 11:45pm,College Hall South,Inactive
Suspicious Odor,17-0491,3/31/2017 9:11am,3/31/2017 8:30am,Slowe Hall,Active
Indecent Exposure,17-0492,3/31/2017 9:11am,3/31/2017 8:30am,Chemistry Building,Active
Miscellaneous,17-0493,3/31/2017 10:43pm,3/31/2017 10:43pm,College Hall South,Inactive
Miscellaneous,17-0494,3/31/2017 2:54pm,3/31/2017 3:45pm,College Hall North,Inactive
Sick Person,17-0495,3/31/2017 5:00pm,3/31/2017 5:00pm,College Hall South,Inactive
Assault on a Police Officer,17-0496,3/31/2017 9:49pm,3/31/2017 9:27pm,Howard University Hospital,Active
Fire Alarm Activation,17-0497,4/1/2017 12:27am,4/1/2017 12:30am,Wonder Plaza,Inactive
Disoderly Conduct,17-0498,4/1/2017 6:58am,4/1/2017 6:01am,Howard University Hospital,Active
Sick Person,17-0499,4/1/2017 11:53am,4/1/2017 11:45am,Howard University Hospital,Inactive
Damaged Property,17-0500,4/1/2017 12:01pm,4/1/2017 11:55am,College Hall South,Inactive
Hazardous Water Leak,17-0501,4/1/2017 12:20pm,4/1/2017 12:10pm,West Campus,Inactive
Sick Person,17-0502,4/1/2017 1:57pm,4/1/2017 1:50pm,Howard University Hospital,Inactive
Miscellaneous,17-0503,4/1/2017 11:10pm,4/1/2017 11:20pm,Main Gate,Inactive
Student Misconduct,17-0504,4/2/2017 4:02pm,4/2/2017 4:02pm,College Hall North,Inactive
Miscellaneous,17-0505,4/3/2017 1:28am,4/3/2017 1:15am,Howard University Hospital,Inactive
Disorderly Conduct,17-0506,4/3/2017 9:54am,4/3/2017 9:54am,Howard University Hospital,Active
Injured Person,17-0507,4/3/2017 9:57am,4/3/2017 8:48am,Howard University Hospital,Active
Sick Person,17-0508,4/3/2017 1:50pm,4/3/2017 10:50am,Howard University Hospital,Inactive
Domestic Incident,17-0509,4/3/2017 1:12pm,4/3/2017 1:12pm,Stokes Library,Active
Theft 1,17-0510,4/3/2017 4:07pm,4/3/2017 4:20pm,Howard University Hospital,Active
Damaged Property,17-0511,4/3/2017 4:01pm,4/3/2017 4:00pm,WHUT,Inactive
Unlawful Entry,17-0512,4/3/2017 9:12pm,4/3/2017 6:33pm,Howard University Hospital,Active
Found Property,17-0513,4/4/2017 7:41am,4/4/2017 7:41am,Douglass Hall,Inactive
Theft from Auto,17-0514,4/4/2017 12:43pm,4/4/2017 12:44pm,Howard Manor,Active
Damaged Property,17-0515,4/4/2017 2:34pm,4/4/2017 1:03pm,Howard University Hospital,Inactive
Threats,17-0516,4/4/2017 2:20pm,4/4/2017 2:34pm,Douglass Hall,Active
Sick Person,17-0517,4/4/2017 10:08pm,4/4/2017 5:05pm,Howard University Hospital,Inactive
Sick Person,17-0518,4/4/2017 10:11pm,4/4/2017 10:11pm,Howard University Hospital,Inactive
Sick Person,17-0519,4/5/2017 6:43am,4/5/2017 6:50am,HURB-1,Inactive
Suspicious Odor,17-0520,4/5/2017 7:14am,4/5/2017 7:14am,Houston Hall,Active
Injured Person,17-0521,4/5/2017 10:14am,4/5/2017 9:55am,Howard University Hospital,Active
Sick Person,17-0522,4/5/2017 10:49am,4/5/2017 11:00am,Chemistry Building,Inactive
Sick Person,17-0523,4/5/2017 10:58am,4/5/2017 10:58am,Administration Building,Inactive
Vehicle Accident,17-0524,4/5/2017 11:25am,4/5/2017 11:25am,4th St. NW,Active
Sick Person,17-0525,4/5/2017 3:19pm,4/5/2017 2:51pm,Howard University Hospital,Inactive
Damaged Property,17-0526,4/6/2017 8:01am,4/6/2017 11:15am,6th Street NW,Inactive
Injured Person,17-0527,4/6/2017 1:44pm,4/6/2017 11:47am,Howard University Hospital,Inactive
Hazardous Water Leak,17-0528,4/6/2017 1:44pm,4/6/2017 1:44pm,Howard University Hospital,Inactive
Simple Assault,17-0529,4/6/2017 4:04pm,4/6/2017 4:05pm,Quadrangle Hall,Active
Fire Alarm Activation,17-0530,4/6/2017 8:07pm,4/6/2017 8:05pm,Mudd Building,Inactive
Sick Person,17-0531,4/7/2017 10:53am,4/7/2017 10:50am,Howard University Hospital,Inactive
Sick Person,17-0532,4/7/2017 3:16pm,4/7/2017 1:28pm,Howard University Hospital,Inactive
Injured Person,17-0533,4/7/2017 4:32pm,4/7/2017 4:17pm,Administration Building,Active
Injured Person,17-0534,4/7/2017 4:10pm,4/7/2017 4:04pm,Douglass Hall,Active
Sick Person,17-0535,4/7/2017 11:53pm,4/7/2017 12:30am,Blackburn Center,Inactive
Student Misconduct,17-0536,4/8/2017 12:27am,4/8/2017 12;27am,College Hall South,Active
Fire Alarm Activation,17-0537,4/8/2017 1:15am,4/8/2017 1:16am,Quadrangle Hall,Inactive
Attempted Suicide,17-0538,4/8/2017 3:09am,4/8/2017 3:09am,College Hall South,Active
Damaged Property,17-0539,4/8/2017 3:00am,4/8/2017 3:00am,Howard Plaza Towers,Inactive
Student Misconduct,17-0540,4/8/2017 4:31pm,4/8/2017 4:30pm,Quadrangle Hall,Active
Sick Person,17-0541,4/8/2017 6:19pm,4/8/2017 6:20pm,Cramton Auditorium,Inactive
Unlawful Entry,17-0542,4/8/2017 11:37pm,4/9/2017 12:50am,Howard Plaza Towers,Active
Verbal Dispute,17-0543,4/9/2017 1:54pm,4/9/2017 2:16pm,Off Campus,Active
Disorderly Conduct,17-0544,4/9/2017 7:21pm,4/9/2017 6:15pm,Howard University Hospital,Active
Theft 1,17-0545,4/10/2017 2:00am,4/8/2017 2:00am,College Hall South,Active
NO Report,17-0546,4/10/2017 7:39am,4/10/2017 7:39am,On Campus,Inactive
Sick Person,17-0547,4/10/2017 7:39am,4/10/2017 7:39am,Howard Plaza Towers,Inactive
Theft from Auto,17-0548,4/10/2017 6:32pm,4/10/2017 12:00am,2400 blk of 6th Street NW,
Student Misconduct,17-0549,4/10/2017 9:08pm,4/10/2017 9:08pm,Engineering Building,Active
Sick Person,17-0550,4/10/2017 5:18pm,4/10/2017 4:00pm,Howard University Hospital,Inactive
Domestic Violence,17-0551,4/10/2017 9:47pm,4/10/2017 11:34pm,McDonald’s,Inactive
Sick Person,17-0552,4/11/2017 10:36am,4/11/2017 9:50am,Howard University Hospital,Inactive
Sick Person,17-0553,4/11/2017 10:42am,4/11/2017 10:23am,Howard University Hospital,Inactive
Verbal Dispute,17-0554,4/11/2017 11:39am,4/11/2017 11:51am,Slowe Hall,Active
Sick Person,17-0555,4/11/2017 12:36pm,4/11/2017 12:40pm,Bethune Annex,Inactive
Sick Person,17-0556,4/11/2017 1:44pm,4/11/2017 1:12pm,Howard University Hospital,Inactive
Injured Person,17-0557,4/11/2017 12:47pm,4/11/2017 12:47pm,Mudd Building,Active
Vehicle Accident,17-0558,4/11/2017 2:26pm,4/11/2017 2:35pm,Howard University Hospital,Active
Damaged Property,17-0559,4/11/2017 5:57pm,4/11/2017 5;34pm,Howard University Hospital,Inactive
Domestic Violence,17-0560,4/11/2017 9:51pm,4/11/2017 9:51pm,Slowe Hall,Active
Injured Person,17-0561,4/11/2017 10:45pm,4/11/2017 10:20pm,Howard University Hospital,Active
Sick Person,17-0562,4/11/2017 10:49pm,4/11/2017 10:30pm,Howard University Hospital,Inactive
Fire Alarm Activation,17-0563,4/11/2017 11:52pm,4/11/2017 11:54pm,Slowe Hall,Inactive
Sick Person,17-0564,4/12/2017 1:11am,4/12/2017 1:09am,Howard University Hospital,Inactive
Lost Property,17-0565,4/12/2017 11:26am,4/12/2017 11:28pm,I-Lab,Inactive
Miscellaneous,17-0566,4/12/2017 1:22pm,4/12/2017 1:22pm,Mudd Building,Inactive
Theft from Auto,17-0567,4/12/2017 3:06pm,4/12/2017 3:50pm,Upper Campus,Active
Vehicle Accident,17-0568,4/12/2017 4:37pm,4/12/2017 4:30pm,Lower Campus,Active
Theft 1,17-0569,4/12/2017 9:34pm,4/12/2017 8:05pm,Bethune Annex,Active
Theft 2,17-0570,4/12/2017 10:08pm,4/12/2017 6:45pm,Slowe Hall,Active
Miscellaneous,17-0571,4/13/2017 8:42am,4/13/2017 8:30am,Engineering Building,Inactive
NO Report,17-0572,,,,
Injured Person,17-0573,4/13/2017 1:18pm,4/13/2017 1:18pm,Blackburn Center,Active
Found Property,17-0574,4/13/2017 1:55pm,4/13/2017 1:56pm,Blackburn Center,Inactive
Sick Person,17-0575,4/13/2017 2:24pm,4/13/2017 2:15pm,Howard University Hospital,Inactive
Sick Person,17-0576,4/13/2017 7:22pm,4/13/2017 7:15pm,Howard University Hospital,Inactive
Threats to do Bodily Harm,17-0577,4/13/2017 9:31pm,4/13/2017 9:31pm,College of Dentistry,Active
Sick Person,17-0578,4/14/2017 12:09am,4/14/2017 12:11am,Quadrangle Hall,Inactive
Hazardous Water Leak,17-0579,4/14/2017 12:35am,4/14/2017 12:35am,Pharmacy Building,Inactive
Loud Noise,17-0580,4/14/2017 1:57am,4/14/2017 1:57am,Off Campus,Active
Miscellaneous,17-0581,4/14/2017 11:10am,4/14/2017 10:40am,HU Hospital,Inactive
NO Report,17-0582,,,,
Student Misconduct,17-0583,4/14/2017 11:51am,4/14/2017 11:53am,Drew Hall,Active
Domestic Violence,17-0584,4/14/2017 12:11pm,4/14/2017 12:05pm,Howard University Hospital,Active
Lost Property,17-0585,4/14/2017 9:27pm,4/14/2017 9:27pm,Bethune Annex,Inactive
Miscellaneous,17-0586,4/14/2017 8:45pm,4/14/2017 7:35pm,Howard University Hospital,Inactive
Fire Alarm Activation,17-0587,4/14/2017 11:49pm,4/14/2017 11:15pm,Howard University Hospital,Inactive
Sick Person,17-0588,4/15/2017 3:09am,4/15/2017 2:50am,Howard University Hospital,Inactive
Sick Person,17-0589,4/15/2017 10:05am,4/15/2017 9:24am,Howard University Hospital,Inactive
Injured Person,17-0590,4/15/2017 1:24pm,4/16/2017 1:40pm,Chemistry Building,Active
Miscellaneous,17-0591,4/16/2017 9:56am,4/16/2017 10:00am,Bethune Annex,Inactive
Damaged Property,17-0592,4/16/2017 9:59pm,4/16/2017 10:47pm,Upper Campus,Inactive
Attempted Theft,17-0593,4/17/2017 9:42am,4/17/2017 9:43am,Bookstore,Active
Theft from Auto,17-0594,4/17/2017 10:19am,4/17/2017 10:19am,Upper Campus,ACTIVE
Sick Person,17-0595,4/17/2017 11:19am,4/17/2017 11:19am,Student Health Clinic,Inactive
