NATURES OF CRIMES,"CASENUMBERS",DATE/TIME REPORTED,"DATE/TIMEOCCURRED"
Threats to do Bodily Harm,19-0336,03/12/2019 4:57am,03/12/2019 4:39am,Howard University Hospital
Found Property,19-0337,03/12/2019 9:47am,03/12/2019 9:47am,Howard University Hospital
Sick Person,19-0338,03/12/2019 11:34am,03/12/2019 11:34am,Off Campus
Theft 2,19-0339,03/12/2019 1:40pm,03/12/2019 1:09pm,Howard University Hospital
Sick Transport,19-0340,03/12/2019 1:53pm,03/12/2019 1:53pm,Off Campus
Fire Alarm Activation,19-0341,03/12/2019 11:01pm,03/12/2019 10:30pm,West Campus
Damaged Property,19-0342,03/13/2019 9:22am,03/13/2019 8:30am,Lower Campus
Hazardous Odor,19-0343,03/13/2019 1:07pm,03/13/2019 1:07pm,Howard University Hospital
Fire Alarm Activation,19-0344,03/13/2019 7:46pm,03/13/2019 7:46pm,Bethune Annex
Miscellaneous,19-0345,03/13/2019 10:52pm,03/13/2019 9:38pm,Howard University Hospital
Burglary 1,19-0346,03/13/2019 11:46pm,03/13/2019 11:46pm,Howard Plaza Towers East
Sick Person,19-0347,03/14/2019 7:46am,03/14/2019 7:46am,Off Campus
Fire Alarm Activation,19-0348,03/15/2019 2:00am,03/15/2019 2:00am,Bethune Annex
Hazardous Water Leak,19-0349,03/15/2019 11:42am,03/15/2019 11:42am,Chemistry Building
Eloped Patient,19-0350,03/15/2019 12:48pm,03/15/2019 11:08am,Howard University Hospital
Damaged Property,19-0351,03/15/2019 6:24pm,03/15/2019 5:05pm,HU Service Center
Fire Alarm Activation,19-0352,03/16/2019 3:10am,03/16/2019 3:10am,Cook Hall
Damaged Property,19-0353,03/16/2019 12:50pm,03/16/2019 12:50pm,College Hall North
Sick Person,19-0354,03/17/2019 12:48pm,03/17/2019 12:48pm,Cramton Auditorium
Theft 2,19-0355,03/17/2019 6:44pm,03/17/2019 6:44pm,Howard Plaza Towers West
Burlary 2,19-0356,03/18/2019 8:29am,03/18/2019 8:29am,Howard Plaza Towers West
Sick Person,19-0357,03/18/2019 10:53am,03/18/2019 9:28am,Cramton Auditorium
Sick Person,19-0358,03/18/2019 11:10am,03/18/2019 10:30am,Cramton Auditorium
Damaged Property,19-0359,03/18/2019 11:31am,03/18/2019 11:31am,Cramton Auditorium
Missing Person,19-0360,03/18/2019 12:27pm,03/18/2019 12:27pm,Howard Plaza Towers West
Injured Person,19-0361,03/18/2019 11:45am,03/18/2019 11:45am,Cramton Auditorium
Theft From Auto,19-0362,03/18/2019 2:04pm,03/18/2019 10:40am,HU Service Center
Sick Person,19-0363,03/18/2019 10:27pm,03/18/2019 10:27pm,Howard University Hospital
Fire Alarm Activation,19-0364,03/18/2019 11:59pm,03/18/2019 11:59pm,Wonder Plaza
Damaged Property,19-0365,03/19/2019 6:25am,03/19/2019 6:05am,Bethune Annex
Student Misconduct,19-0366,03/19/2019 11:42am,03/19/2019 11:38am,Stokes Library
Disorderly Conduct,19-0367,03/19/2019 1:13pm,03/19/2019 1:13pm,East Towers Parking Lot
Damaged Property,19-0368,03/19/2019 2:06pm,03/19/2019 1:30pm,Just Lot
Harassment 19-0369,,03/19/2019 6:39pm,03/19/2019 6:00pm,College Hall South
Hazardous Elevator 19-0370,,03/20/2019 1:44pm,03/20/2019 1:44pm,Chemical Engineering Building
Vehicle Accident 19-0371,,03/20/2019 9:32am,03/20/2019 9:32am,HU Service Center
Simple Assault 19-0372,,03/20/2019 2:15pm,03/20/2019 1:46pm,Off Campus
Threats 19-0373,,03/20/2019 2:57pm,03/20/2019  2:45pm,Mental Health Clinic
Disorderly Conduct 19-0374,,03/20/2019 3:57pm,03/20/2019 3:51pm,College Hall South
Eloped Patient 19-0375,,03/20/2019 6:29pm,03/20/2019 5:48pm,Howard University Hospital
Damaged Property 19-0376,,03/20/2019 5:50pm,03/20/2019 5:45pm,Wonder Plaza Lot
Theft From Auto 19-0377,,03/20/2019 6:04pm,03/20/2019 5:55pm,2300 Block Georgia Ave. NW
Damaged Property 19-0378,,03/21/2019 5:57pm,03/21/2019 5:29pm,600 Block Howard Place
Vehicle Accident 19-0379,,03/22/2019 1:27am,03/22/2019 1:27am,Lower Campus
Student Misconduct 19-0380,,03/22/2019 1:51am,03/22/2019 1:51am,Howard Plaza Towers West
Sick Person 19-0381,,03/22/2019 9:45am,03/22/2019 9:45am,Medical Arts Building
Breaking & Entering Vending M19a-c0h3in8e2,,03/22/2019 10:02am,03/22/2019 10:00am,Engineering Building
Lost Property 19-0383,,03/22/2019 3:56pm,03/22/2019 3:00PM,Howard Plaza Towers East
Hazardous Elevator 19-0384,,03/22/2019 6:14pm,03/22/2019 6:14pm,Mudd Building
Sick Person 19-0385,,03/23/2019 12:42pm,03/23/2019 11:45am,Bethune Annex
Miscellaneous 19-0386,,03/23/2019 1:01pm,03/23/2019 12:55pm,A1 Rear Parking Lot
Fire Alarm Activation 19-0387,,03/24/2019 2:03am,03/24/2019 2:03am,Howard Plaza Towers West
Found Property 19-0388,,03/24/2019 6:42am,03/24/2019 6:25am,Mudd Building
Shoplifting 19-0389,,03/24/2019 8:50am,03/24/2019 7:47am,Howard University Hospital
Damaged Property 19-0390,,03/25/2019 11:01am,03/25/2019 10:45am,Howard University Hospital
Damaged Property 19-0391,,03/25/2019 11:25am,03/25/2019 11:25am,West Campus
Theft 2 19-0392,,03/25/2019 11:51am,03/25/2019 11:00am,Howard University Hospital
Miscellaneous 19-0393,,03/25/2019 11:51am,03/25/2019 11:51am,Lower Campus
Sick Person 19-0394,,03/25/2019 3:02pm,03/25/2019 3:02pm,Medical Arts Building
Sick Person 19-0395,,03/25/2019 5:52pm,03/25/2019 5:52pm,Burr Gym
Miscellaneous 19-0396,,03/25/2019 7:26pm,03/25/2019 7:26pm,Engineering Building
Hazardous Elevator 19-0397,,03/25/2019 10:53pm,03/25/2019 10:53pm,Drew Hall
Miscellaneous 19-0398,,03/26/2019 10:03am,03/24/2019 3:00pm,Locke Hall
Theft 1 19-0399,,03/26/2019 12:37pm,03/25/2019 5:30pm,Blackburn Center
Sick Person 19-0400,,03/26/2019 2:49pm,03/26/2019 2:49pm,Engineering Building
Miscellaneous 19-0401,,03/26/2019 3:19pm,03/26/2019 3:10pm,Howard University Hospital
Fire Alarm Activation 19-0402,,03/26/2019 4:43pm,03/26/2019 4:43pm,HURB 1
Lost Property,19-0403,03/27/2019 1:57am,03/27/2019 1:57am,College Hall North
Theft 2,19-0404,03/27/2019 10:43am,03/27/2019 10:00am,Drew Hall
Suspicious Odor,19-0405,03/27/2019 11:27am,03/27/2019  8:50am,Howard University Hospital
Vandalism,19-0406,03/27/2019 11:48am,03/27/2019 9:00am,Law Library
Injured Person,19-0407,03/27/2019 6:41pm,03/27/2019 6:41pm,Burr Gym
Sick Person,19-0408,03/27/2019 10:19pm,03/27/2019 10:12pm,Cramton Auditorium
Student Misconduct,19-0409,03/28/2019 12:13am,03/28/2019 12:13am,College Hall North
Disorderly Conduct,19-0410,03/28/2019 11:14am,03/28/2019 11:14am,Howard University Hospital
Sick Person,19-0411,03/28/2019 4:16pm,03/28/2019 4:16pm,College of Dentistry
Theft 2,19-0412,03/28/2019 4:23pm,03/28/20192:45pm,I-lab
Threats to do Bodily Harm,19-0413,03/29/2019 3:12am,03/29/2019 3:12am,College Hall South
Fire,19-0414,03/29/2019 5:23am,03/29/2019 5:23am,Howard University Hospital
Fire Alarm Activation,19-0415,03/29/2019 3:10am,03/29/2019 3:10am,Engineering Building
Lost Property,19-0416,03/29/2019 12:02pm,03/29/2019 11:45am,Architecture and Planning
Injured Person,19-0417,03/29/2019 1:18pm,03/29/2019 1:18pm,College Hall North
Lost Property,19-0418,03/29/2019 4:11pm,03/29/2019 2:00pm,Carnegie Hall
Public Intoxication,19-0419,03/29/2019 9:32pm,03/29/2019 9:32pm,4th & Bryant Street
Miscellaneous,19-0420,03/30/2019 12:35pm,03/30/2019 12:35pm,Howard Plaza Towers East
Fire Alarm Activation,19-0421,03/30/2019 9:39pm,03/30/2019 9:39pm,Howard Plaza Towers West
Student Misconduct,19-0422,03/30/2019 9:54pm,03/30/2019 9:54pm,Drew Hall
Student Misconduct,19-0423,03/31/2019 1:40am,03/31/2019 1:40am,Cook Hall
Found Property,19-0424,03/31/2019 3:37am,03/31/2019 3:37am,Howard Plaza Towers Corridor
Injured Person,19-0425,03/31/2019 5:44pm,03/31/2019 5:44pm,Howard University Hospital
Fire Alarm Activation,19-0426,04/01/2019 4:49am,04/01/2019 4:49am,Howard Plaza Towers West
Burglary 2,19-0427,04/01/2019 9:01am,04/01/2019 9:01am,Engineering Building
Simple Assault,19-0428,04/01/2019 2:53pm,04/01/2019 3:30pm,Off Campus
Shoplifting,19-0429,04/02/2019 8:44am,04/02/2019 8:21am,Howard University Hospital
Theft 2,19-0430,04/02/2019 11:08am,04/01/2019 5:00pm,College Hall South
Theft 1,19-0431,04/02/2019 1:26pm,04/02/2019 1:26pm,Engineering Building
Lost Property,19-0432,04/02/2019  1:42pm,04/02/2019 7:55am,College of Dentistry
Vehicle Accident,19-0433,04/02/2019 4:57pm,04/02/2019 4:57pm,4th & Bryant Street
Damaged Property,19-0434,04/02/2019 5:19pm,04/02/2019 5:00pm,A1 Rear Parking Lot
Sick Person,19-0435,04/03/2019 12:23am,04/03/2019 12:23am,College Hall South
Fire Alarm Activation,19-0436,04/03/2019 1:09am,04/03/2019 12:59am,College Hall South
Injured Person,19-0437,04/03/2019 9:23am,04/03/2019 9:23am,Bethune Annex
Miscellaneous,19-0438,04/03/2019 10:50am,04/01/2019 2:30pm,West Campus
Fire Alarm Activation,19-0439,04/03/2019 2:56pm,04/03/2019 1:05pm,Howard University Hospital
Credit Card Fraud,19-0440,04/03/2019 3:11pm,04/03/2019 3:00pm,Wonder Plaza
Harassment,19-0441,04/03/2019 2:50pm,04/03/2019 1:30pm,Quadrangle
Sick Person,19-0442,04/03/2019 3:40pm,04/03/2019 3:40pm,Fine Arts
Hazardous Elevator,19-0443,04/04/2019 12:26am,04/04/2019 12:26am,Howard University Hospital
Fire Alarm Activation,19-0444,04/04/2019 3:48pm,04/04/2019 3:48pm,Bethune Annex
Hazardous Elevator,19-0445,04/04/2019 8:34pm,04/04/2019 8:08pm,Howard University Hospital
Sick Person,19-0446,04/04/2019 11:18pm,04/04/2019 11:18pm,Howard Plaza Towers East
Health & Welfare Check,19-0447,04/05/2019 1:03pm,04/05/2019 1:03pm,Howard Plaza Towers West
Sick Person,19-0448,04/05/2019 4:12pm,04/05/2019 4:12pm,Howard Plaza Towers West
Lost Property,19-0449,04/05/2019 5:09pm,04/03/2019 12:00pm,College Hall South
Suspicious Odor,19-0450,04/08/2019 11:19am,04/08/2019 11:11am,Howard University Hospital
Lost Property,19-0451,04/06/2019 11:04am,04/06/2019 11:04am,Mudd Building
Damaged Property,19-0452,04/06/2019 6:23pm,04/6-/2019 3:50pm,Upper Campus
Sick Person,19-0453,04/06/2019 7:16pm,04/06/2019 7:16pm,Cook Hall
Fire Alarm Activation,19-0454,04/06/2019 9:14pm,04/06/2019 9:14pm,College Hall North
Miscellaneous,19-0455,04/07/2019 1:47am,04/07/2019 1:00am,Howard University Hospital
Theft 1,19-0456,04/07/2019 5:36pm,04/07/2019 5:00pm,Howard Plaza Towers West
Sick Person,19-0457,04/07/2019 9:37pm,04/07/2019 9:37pm,Cramton Auditorium
Found Property,19-0458,04/08/2019 1:22pm,04/08/2019 1:22pm,Lower Campus
Sick Person,19-0459,04/08/2019 12:29pm,04/08/2019 12:20pm,Fine Arts
Theft 1,19-0460,04/08/2019 3:51pm,04/08/2019 8:51am,College Hall North
Found Property,19-0461,04/08/2019 6:40pm,04/08/2019 6:00pm,Off Campus
Eloped Patient,19-0462,04/08/2019 6:48pm,04/08/2019 5:35pm,Howard University Hospital
Fire Alarm Activation,19-0463,04/09/2019 6:41am,04/09/2019 6:41am,Bethune Annex
Fire Alarm Activation,19-0464,04/09/2019 11:05am,04/09/2019 10:53am,Howard University Hospital
Miscellaneous,19-0465,04/09/2019 10:45am,04/09/2019 10:45am,Howard Plaza Towers West
Lost Property,19-0466,04/09/2019 1:10pm,04/09/2019 12:00pm,Off Campus
Miscellaneous,19-0467,04/09/2019 3:03pm,04/09/2019 2:30pm,Howard University Hospital
Sick Transport,19-0468,04/09/2019 6:27pm,04/09/2019 6:27pm,CB Powell Building
Fire Alarm Activation,19-0469,04/09/2019 8:04pm,04/09/2019 8:04pm,College Hall South
Miscellaneous,19-0470,04/10/2019 9:51am,04/10/2019 9:45am,HU Service Center
Fire Alarm Activation,19-0471,04/10/2019 12:23pm,04/10/2019 12:23pm,Bethune Annex
Damaged Property,19-0472,04/10/2019 4:01pm,04/10/2019 4:01pm,CB Powell Building
Suspicious Odor,19-0473,04/10/2019 4:55pm,04/10/2019 4:55pm,Howard Plaza Towers West
Sick Person,19-0474,04/10/2019 8:02pm,04/10/2019 8:02pm,Main Yard
Fire Alarm Activation,19-0475,04/10/2019 8:03pm,04/10/2019 8:03pm,Cramton Auditorium
Lost Property,19-0476,04/10/2019 8:15pm,04/10/2019 8:15pm,Blackburn Center
Found Property,19-0477,04/11/2019 3:22pm,04/11/2019 11:45am,Howard University Hospital
Damaged Property,19-0478,04/11/2019 4:13pm,04/11/2019 4:13pm,HU Service Center
Damaged Property,19-0479,04/11/2019 4:14pm,04/05/2019 7:00pm,East Towers Parking Lot
Theft 2,19-0480,04/10/2019 10:55pm,04/11/2019 9:30pm,Howard Plaza Towers West
Damaged Property,19-0481,04/12/2019 3:45am,04/12/2019 3:45am,CB Powell Building
Student Misconduct,19-0482,04/12/2019 5:53pm,04/12/2019 5:53pm,Howard Plaza Towers West
Injured Person,19-0483,04/12/2019 7:27am,04/12/2019 7:27am,HU Service Center
Damaged Property,19-0484,04/12/2019 10:06am,04/12/2019 10:06am,Founders Lot
Armed Robbery,19-0485,04/12/2019 9:49am,04/11/2019 8:00pm,Off Campus
Threats,19-0486,04/13/2019 5:53am,04/13/2019 5:11am,Howard University Hospital
Fire Alarm Activation,19-0487,04/13/2019 8:44am,04/13/2019 8:44am,Bethune Annex
Sick Person,19-0488,04/13/2019 8:19am,04/13/2019 8:19am,2200 Block Sherman Avenue
Domestic Violence,19-0489,04/13/2019 11:24pm,04/13/2019 11:24pm,Howard Plaza Towers East
Unlawful Entry,19-0490,04/14/2019 6:09pm,04/14/2019 6:09pm,HURB 1
Student Misconduct,19-0491,04/14/2019 8:39pm,04/14/2019 8:39pm,Stokes Library
Injured Person,19-0492,04/15/2019 3:32pm,04/15/2019 2:22pm,Howard University Hospital
Fraud,19-0493,04/15/2019 8:13pm,04/15/2019 4:16pm,College Hall South
Hazardous Elevator,19-0494,04/15/2019 7:51pm,04/15/2019 7:51pm,West Campus
Domestic Violence,19-0495,04/16/2019 7:49am,04/05/2019 3:26pm,Off Campus
Fire Alarm Activation,19-0496,04/16/2019 9:56am,04/16/2019 9:56am,Bethune Annex
Theft 2,19-0497,04/16/2019 10:13am,04/16/2019 10:13am,Quadrangle
Theft From Auto,19-0498,04/16/2019 12:53pm,04/16/2019 10:40am,500 Block Gresham Place
Miscellaneous,19-0499,04/16/2019 1:25pm,04/16/2019 1:25pm,Bethune Annex
Credit Card Fraud,19-0500,04/16/2019 2:14pm,04/10/12:11pm,Fine Arts
Found Property,19-0501,04/16/2019 2:13pm,04/16/2019 2:13pm,Mudd Building
Hazardous Elevator,19-0502,04/16/2019 5:51pm,04/16/2019 5:51pm,Blackburn Center
Miscellaneous,19-0503,04/16/2019 6:57pm,04/16/2019 5:55pm,Howard University Hospital
Sick Person,19-0504,04/17/2019 11:09am,04/17/2019 11:09am,Social Work
Sick Person,19-0505,04/17/2019 2:01pm,04/17/2019 2:01pm,Engineering Building
Theft 1,19-0506,04/17/2019 9:05pm,04/17/2019 8:00pm,Biology Building
Fire Alarm Activation,19-0507,04/17/2019 10:08pm,04/17/2019 10:08pm,College Hall South
Sick Person,19-0508,04/18/2019 3:32pm,04/18/2019 3:32pm,Howard Plaza Towers East
Theft 2,19-0509,04/19/2019 12:39am,04/19/2019 12:11am,Howard University Hospital
Found Property,19-0510,04/19/2019 4:34am,04/19/2019 4:34am,Architecture and Planning
Found Property,19-0511,04/19/2019 8:53am,04/18/2019 11:00pm,Founders Library
Disorderly Conduct,19-0512,04/19/2019 9:47am,04/19/2019 9:47am,Academic Support Building B
Domestic Violence,19-0513,04/19/2019 10:59am,04/19/2019 9:00am,Howard University Hospital
Sick Person,19-0514,04/19/2019 11:51am,04/19/2019 11:45am,Blackburn Center
Vehicle Accident,19-0515,04/19/2019 2:48pm,04/19/2019 2:40pm,HUIRB Research Building
Damaged Property,19-0516,04/19/2019 6:17pm,04/19/2019 5:55pm,College Hall North
Lost Property,19-0517,04/19/2019 6:53pm,04/19/2019 10:00am,Fine Arts
Eloped Patient,19-0518,04/20/2019 12:58am,04/20/2019 12:35am,Howard University Hospital
Damaged Property,19-0519,04/20/2019 3:19am,04/20/2019 3:19am,Chemistry Building
Sick Person,19-0520,04/20/2019 3:53am,04/20/2019 3:53am,Howard Plaza Towers East
Fire Alarm Activation,19-0521,04/20/2019 5:18pm,04/20/2019 5:18pm,College Hall North
Fire Alarm Activation,19-0522,04/21/2019 2:48pm,04/21/2019 2:48pm,Bethune Annex
Fire Alarm Activation,19-0523,04/21/2019 3:22pm,04/21/2019 3:22pm,College Hall South
Fire Alarm Activation,19-0524,04/21/2019 5:47pm,04/21/2019 5:47pm,Howard Plaza Towers West
Hazardous Elevator,19-0525,04/22/2019 8:13am,04/22/2019 8:13am,Truth Hall
Eloped Patient,19-0526,04/22/2019 7:26am,04/22/2019 4:10pm,Howard University Hospital
Fire Alarm Activation,19-0527,04/22/2019 10:23pm,04/22/2019 10:23pm,Howard Plaza Towers West
Student Misconduct,19-0528,04/22/2019 10:12pm,04/22/2019 10:12pm,I-Lab
Student Misconduct,19-0529,04/23/2019 9:55pm,04/23/2019 9:30pm,Founders Library
Found Property,19-0530,04/24/2019 6:18am,04/24/2019 6:04am,Howard University Hospital
Verbal Dispute,19-0531,04/24/2019 2:26pm,04/24/2019 11:00am,Howard University Hospital
Simple Assault,19-0532,04/24/2019 3:05pm,04/12/2019 11:00pm,Off Campus
Hazardous Elevator,19-0533,04/24/2019 3:21pm,04/24/2019 3:21pm,Medical Arts Building
Credit Card Fraud,19-0534,04/24/2019 6:06pm,04/24/2019 10:30am,Howard Center
Simple Assault,19-0535,04/24/2019 11:50pm,04/20/2019 11:50pm,Howard Plaza Towers Corridor
Assault on a Police Officer,19-0536,04/25/2019 3:19am,04/25/2019 3:05am,Howard University Hospital
Theft 1,19-0537,04/25/2019 8:19am,04/25/2019 6:30am,Pharmacy
Suspicious Package,19-0538,04/25/2019 12:45pm,04/20/2019 12:25pm,HU Service Center
Theft 2,19-0539,04/25/2019 2:07pm,04/25/2019 2:07pm,Bethune Annex
Lost Property,19-0540,04/25/2019 3:41pm,04/24/2019 12:00pm,HU Service Center
Burglary 2,19-0541,04/25/2019 7:50pm,04/25/2019 7:50pm,Mental Health Clinic
Theft 2,19-0542,04/26/2019 4:02am,04/26/2019 1:37pm,Howard University Hospital
Theft 2,19-0543,04/26/2019 4:28pm,04/26/2019 2:45pm,Howard University Hospital
Theft 2,19-0544,04/26/2019 4:49pm,04/26/2019 3:45pm,Howard University Hospital
Injured Person,19-0545,04/26/2019 6:27pm,04/26/2019 6:27pm,I-Lab
Sick Person,19-0546,04/26/2019 7:22pm,04/26/2019 7:22pm,College Hall North
Student Misconduct,19-0547,04/26/2019 8:03pm,04/26/2019 8:03pm,College Hall North
Fire Alarm Activation,19-0548,04/26/2019 11:42pm,04/26/2019 11:42pm,Wonder Plaza
Destruction of Property,19-0549,04/27/2019 4:50pm,04/27/2019 4:45pm,2400 Block 6th Street NW
Injured Person,19-0550,04/27/2019 4:12pm,04/27/2019 4:12pm,Architecture and Planning
Simple Assault,19-0551,04/28/2019 12:53am,04/28/2019 12:53am,6th & Bryant Street NW
Fire Alarm Activation,19-0552,04/28/2019 10:47am,04/28/2019 10:35am,A-2 Garage
Theft From Auto,19-0553,04/28/2019 12:21pm,04/28/2019 12:21pm,2100 Block Georgia Avenue
Student Misconduct,19-0554,04/28/2019 6:42pm,04/28/2019 6:42pm,Bethune Annex
Suspicious Person,19-0555,04/28/2019 10:22pm,04/28/2019 10:22pm,Mudd Building
Suspicious Person,19-0556,04/20/2019 12:19am,04/20/2019 12:19am,College Hall North
Destruction of Property,19-0557,04/29/2019 12:51am,04/29/2019 12:51am,Academic Support Building A
Sick Person,19-0558,04/29/2019 1:35am,04/28/2019 1:07pm,College Hall South
Miscellaneous,19-0559,04/29/2019 8:21am,04/29/2019 8:21am,Bethune Annex
Found Property,19-0560,04/29/2019 11:28am,04/29/2019 10:47am,Fine Arts
Fire Alarm Activation,19-0561,04/29/2019 2:44pm,04/29/2019 2:44pm,Bethune Annex
Simple Assault,19-0562,04/29/2019 3:24pm,04/29/2019 2:15pm,Off Campus
Fire Alarm Activation,19-0563,04/29/2019 4:32pm,04/29/2019 4:32pm,College Hall South
Simple Assault,19-0564,04/29/2019 8:15pm,04/29/2019 8:15pm,Howard University Hospital
Vehicle Accident,19-0565,04/30/2019 4:37am,04/30/2019 4:37am,HU Service Center
Hazardous Odor,19-0566,04/30/2019 1:40pm,04/30/2019 1:40pm,HU Service Center
Disorderly Conduct,19-0567,04/30/2019 4:15pm,04/30/2019 4:15pm,Howard Plaza Towers West
Student Misconduct,19-0568,04/30/2019 9:41pm,04/30/2019 12:00pm,Off Campus
ADW/Knife,19-0569,05/01/2019 3:42am,05/01/2019 3:42am,Howard Plaza Towers West
Credit Card Fraud,19-0570,05/01/2019 12:27pm,04/30/2019 8:45pm,Wonder Plaza
Vehicle Accident,19-0571,05/01/2019 12:43pm,05/01/2019 12:40pm,4th & Bryant Street
Threats to do Bodily Harm,19-0572,05/01/2019 4:40pm,04/30/2019 3:30am,College Hall North
Fire Alarm Activation,19-0573,05/01/2019 8:11pm,05/01/2019 8:11pm,Bethune Annex
Missing Person,19-0574,05/01/2019 9:33pm,05/01/2019 12:00pm,Cook Hall
Simple Assault,19-0575,05/02/2019 9:50am,05/02/2019 9:15am,Howard University Hospital
Vehicle Accident,19-0576,05/02/2019 8:04am,05/02/2019 8:00am,Georgia & Barry Place
Theft 2,19-0577,05/02/2019 2:13pm,05/02/2019 2:00pm,Howard University Hospital
Hazardous Elevator,19-0578,05/02/2019 3:22pm,05/02/2019 3:10pm,Howard University Hospital
Hazardous Water Leak,19-0579,05/02/2019 5:24pm,05/02/2019 5:24pm,Engineering Building
Fire Alarm Activation,19-0580,05/02/2019 6:55pm,05/02/2019 6:55pm,Bethune Annex
Disorderly Conduct,19-0581,05/03/2019 2:57am,05/03/2019 2:30am,Howard University Hospital
Damaged Property,19-0582,05/03/2019 10:52am,05/03/2019 10:52am,CB Powell Building
Sick Person,19-0583,05/03/2019 11:32am,05/03/2019 11:32am,College Hall South
Sick Person,19-0584,05/03/2019 1:06pm,05/03/2019 1:06pm,Bethune Annex
Fraud,19-0585,05/03/2019 2:49pm,04/09/2019 8:00pm,HU Service Center
Sick Person,19-0586,05/03/2019 6:49pm,05/03/2019 6:49pm,Bethune Annex
Fire Alarm Activation,19-0587,05/03/2019 6:20pm,05/03/2019 6:20pm,Howard Plaza Towers West
Fire,19-0588,05/03/2019 11:00pm,05/03/2019 10:48pm,Howard University Hospital
Fire Alarm Activation,19-0589,05/03/2019 11:19pm,05/03/2019 11:19pm,College Hall North
Lost Property,19-0590,05/04/2019 10:28pm,05/04/2019 6:00am,College Hall South
Fire Alarm Activation,19-0591,05/04/2019 11:22pm,05/04/2019 11:22pm,Howard Plaza Towers West
Hazardous Water Leak,19-0592,05/05/2019 12:30am,05/05/2019 12:30am,Chemical Engineering Building
Miscellaneous,19-0593,05/05/2019 1:05am,05/04/2019 11:58pm,Howard University Hospital
Unlawful Entry,19-0594,05/05/2019 2:25am,05/05/2019 2:25am,Engineering Building
Student Misconduct,19-0595,05/05/2019 3:03am,05/05/2019 3:03am,Cook Hall
Vehicle Accident,19-0596,05/05/2019 7:02pm,05/05/2019 7:02pm,Off Campus
Fire Alarm Activation,19-0597,05/05/2019 11:45pm,05/05/2019 11:45pm,College Hall South
Fire Alarm Activation,19-0598,05/06/2019 4:35pm,05/06/2019 4:35pm,Howard Plaza Towers West
Fire Alarm Activation,19-0599,05/06/2019 8:19pm,05/06/2019 8:19pm,Bethune Annex
Fire Alarm Activation,19-0600,05/06/2019 9:21pm,05/06/2019 9:21pm,Bethune Annex
Eloped Patient,19-0601,05/06/2019 11:08pm,05/06/2019 10:00pm,Howard University Hospital
Vehicle Accident,19-0602,05/07/2019 4:52pm,05/07/2019 4:15pm,Georgia & Bryant Street
Theft 2,19-0603,05/08/2019 7:57am,05/07/2019 4:30pm,Howard University Hospital
Theft 2,19-0604,05/08/2019 11:17am,05/08/2019 11:17am,Bookstore
Theft From Auto,19-0605,05/08/2019 10:30am,05/08/2019 10:30am,Georgia & Howard Place
Sick Person,19-0606,05/08/2019 3:44pm,05/08/2019 3:44pm,Medical Arts Building
Found Property,19-0607,05/09/2019 9:48am,05/09/2019 9:30am,Howard University Hospital
Sick Person,19-0608,05/10/2019 11:01am,05/10/2019 10:55am,Burr Gym
Theft From Auto,19-0609,05/10/2019 1:49pm,05/10/2019 1:40pm,Georgia Ave. Lot
Theft From Auto,19-0610,05/10/2019 2:00pm,05/10/2019 1:45pm,Georgia Ave. Lot
Found Property,19-0611,05/10/2019 7:25pm,05/10/2019 7:25pm,Burr Gym
Sick Person,19-0612,05/11/2019 3:47am,05/11/2019 3:47am,Howard Plaza Towers West
Damaged Property,19-0613,05/11/2019 4:04am,05/11/2019 3:20am,Howard University Hospital
Sick Person,19-0614,05/11/2019 1:05pm,05/11/2019 12:00pm,Main Yard
Threats,19-0615,05/11/2019 12:59pm,05/11/2019 11:56am,Howard University Hospital
Found Property,19-0616,05/11/2019 9:41pm,05/11/2019 9:41pm,Burr Gym
Lost Property,19-0617,05/12/2019 12:51am,05/12/2019 12:51am,Howard Plaza Towers West
Fire Alarm Activation,19-0618,05/12/2019 3:35pm,05/12/2019 3:35pm,College Hall South
Disorderly Conduct,19-0619,05/13/2019 10:18am,05/13/2019 10:15am,Howard University Hospital
Harassment,19-0620,05/13/2019 10:51am,05/13/2019 3:50am,HURB 1 Lot
Damaged Property,19-0621,05/13/2019 3:32pm,05/13/2019 3:32pm,Cook Hall
Theft From Auto,19-0622,05/13/2019 5:07pm,05/13/2019 5:00pm,Childers Lot
Found Property,19-0623,05/13/2019 7:57pm,05/13/2019 6:16pm,Howard University Hospital
Threats,19-0624,05/14/2019 2:14am,05/14/2019 2:14am,Howard University Hospital
Burglary 2,19-0625,05/14/2019 5:14pm,05/14/2019 5:14pm,Howard Plaza Towers West
Miscellaneous,19-0626,05/15/2019 9:24am,05/15/2019 9:24am,Lower Campus
Theft 2,19-0627,05/15/2019 3:02pm,05/15/2019 1:50pm,Howard University Hospital
Theft 1,19-0628,05/5-/2019 4:54pm,05/5-/2019 4:54pm,Howard University Hospital
Theft 1,19-0629,05/16/2019 6:01pm,05/16/2019 6:00pm,Howard Plaza Towers West
Vehicle Accident,19-0630,05/16/2019 12:41pm,05/16/2019 12:41pm,Off Campus
Disorderly Conduct,19-0631,05/16/2019 9:46pm,05/16/2019 3:55pm,Howard University Hospital
Found Property,19-0632,05/18/2019 4:27pm,5/18/2019  4:10pm,Howard University Hospital
Student Misconduct,19-0633,05/18/2019 10:43pm,05/18/2019 10:43pm,College Hall South
Miscellaneous,19-0634,05/19/2019 8:54pm,05/19/2019 8:40pm,Howard University Hospital
