NATURES OF CRIMES,CASE NUMBERS,"DATE/TIMEREPORTED","DATE/TIMEOCCURRED",GENERAL LOCATION
Fire Alarm Activation,16-0360,03-20-16/0724,03-20-16/0724,Cook Hall,Inactive
Fire Alarm Activation,16-0361,03-20-16/1453,03-20-16/1453,Cook Hall,Inactive
Fire Alarm Activation,16-0362,03-20-16/1624,03-20-16/1622,Cook Hall,Inactive
Fire Alarm Activation,16-0363,03-21-16/0422,03-21-16/0419,Cook Hall,Inactive
Hazardous Water Leak,16-0364,03-21-16/0454,03-21-16/0400,Howard Hospital,Inactive
Injured Person,16-0365,03-21-16/1122,03-21-16/1122,Quadrangle Hall,Active
Sick Transport,16-0366,03-21-16/1755,03-21-16/1708,C.B. Powell Building,Inactive
Sick Person,16-0367,03-21-16/2100,03-21-16/2049,College Hall South,Inactive
Fire Alarm Activation,16-0368,03-22-16/0125,03-22-16/0108,Howard Hospital,Inactive
Harassment,16-0369,03-22-16/0426,03-22-16/0425,Cook Hall,Active
Vehicle Accident,16-0370,03-22-16/1050,03-22-16/1050,Middle School,Active
NO REPORT,16-0371,03-22-16/,03-22-16/,,
Damaged Property,16-0372,03-22-16/1629,03-22-16/1610,Howard Service Center,Inactive
Theft from Auto,16-0373,03-22-16/1928,03-22-16/1925,Upper Campus,Active
Sick Person,16-0374,03-22-16/2113,03-22-16/2112,Quadrangle Hall,Inactive
Sick Transport,16-0375,03-22-16/2140,03-22-16/2059,Drew Hall,Inactive
Miscellaneous,16-0376,03-23-16/1315,03-23-16/0811,College Hall South,Inactive
Theft from Auto,16-0377,03-23-16/1009,03-23-16/0923,Greene Stadium,Active
Vehicle Accident,16-0378,03-23-16/1250,03-23-16/1244,Howard Hospital,Active
Sick Person,16-0379,03-23-16/1406,03-23-16/1404,Quadrangle Hall,Inactive
Miscellaneous,16-0380,03-24-16/0807,03-24-16/0807,Florida Ave. Lot,Inactive
Damaged Property,16-0381,03-24-16/1005,03-24-16/1002,I-LAB,Inactive
NO REPORT,16-0382,03-24-16/,03-24-16/,,
NO REPORT,16-0383,03-24-16/,03-24-16/,,
NO REPORT,16-0384,03-24-16/,03-24-16/,,
NO REPORT,16-0385,03-24-16/,03-24-16/,,
NO REPORT,16-0386,03-24-16/,03-24-16/,,
NO REPORT,16-0387,03-24-16/,03-24-16/,,
NO REPORT,16-0388,03-24-16/,03-24-16/,,
NO REPORT,16-0389,03-24-16/,03-24-16/,,
NO REPORT,16-0390,03-24-16/,03-24-16/,,
Sick Transport,16-0391,03-24-16/1101,03-24-16/1101,College Hall North,Inactive
Student Misconduct,16-0392,03-24-16/1602,03-24-16/1559,College Hall South,Active
Sexual Assault,16-0393,03-24-16/1753,03-24-16/1753,Bethune Hall Annex,Active
Theft 1,16-0394,03-24-16/1725,03-24-16/1725,Locke Hall,Active
Found Property,16-0395,03-24-16/2008,03-24-16/1901,Wonder Plaza,Inactive
Miscellaneous,16-0396,03-24-16/2236,03-24-16/2232,Howard Plaza Towers,Inactive
Hazardous Elevator,16-0397,03-25-16/0732,03-25-16/0732,Howard Plaza Towers,Inactive
Theft 2,16-0398,03-25-16/0832,03-25-16/0832,College Hall North,Active
Threats,16-0399,03-25-16/1605,03-25-16/1555,Blackburn Center,Active
Lost Property,16-0400,03-25-16/2110,03-25-16/2047,Drew Hall,Inactive
Vehicle Accident,16-0401,03-26-16/0231,03-26-16/0231,511 Harvard Street NW,Active
Found Property,16-0402,03-26-16/1636,03-26-16/1630,Burr Gym,Inactive
Harassment,16-0403,03-26-16/1643,03-26-16/1500,Main Yard,Active
Student Misconduct,16-0404,03-26-16/2040,03-26-16/2039,Slowe Hall,Active
Loud Noise,16-0405,03-27-16/0037,0327-16/0035,Howard Plaza Towers,Inactive
Verbal Dispute,16-0406,03-27-16/0517,03-27-16/0512,Howard Plaza Towers,Active
Sick Transport,16-0407,03-28-16/0153,03-28-16/0153,Howard Plaza Towers,Inactive
NO REPORT,16-0408,03-28-16/,03-28-16/,,
Theft from Auto,16-0409,03-28-16/1330,03-28-16/1002,Banneker North Parking Lot,Active
NO REPORT,16-0410,03-28-16/,03-28-16/,,
Miscellaneous,16-0411,03-28-16/2047,03-28-16/1307,Ira Aldridge Theatre,Inactive
Sick Person,16-0412,03-28-16/1242,03-28-16/1239,Bethune Hall Annex,Inactive
Theft 2,16-0413,03-28-16/1600,03-28-16/1613,Quadrangle Hall,Active
NO REPORT,16-0414,03-28-16/,03-28-16/,,
Injured Person,16-0415,03-28-16/2335,03-28-16/2335,Drew Hall,Active
Damaged Property,16-0416,03-29-16/0424,03-29-16/0424,Blackburn Center,Inactive
Theft 1,16-0417,03-29-16/1217,03-29-16/1214,College of Dentistry,Active
Miscellaneous,16-0418,03-29-16/1235,03-29-16/1206,Slowe Hall,Inactive
NO REPORT,16-0419,00-/,00-/,,
Lost Property,16-0420,03-29-16/1524,03-29-16/1145,College Hall South,Inactive
Lost Property,16-0421,03-29-16/2025,03-29-16/2021,Blackburn Center,Inactive
Hazardous Water Leak,16-0422,03-29-16/2004,03-29-16/1957,Pharmacy Building,Inactive
Sick Person,16-0423,03-30-16/0143,03-30-16/0143,Quadrangle Hall,Inactive
Theft 2,16-0424,03-30-16/0159,03-30-16/0149,Howard Plaza Towers,Active
Barring Notice,16-0425,03-30-16/1251,03-30-16/1240,Blackburn Center,Active
Harassment,16-0426,03-30-16/1457,03-30-16/1457,Blackburn Center,Active
Sick Person,16-0427,03-30-16/1752,03-30-16/1740,Quadrangle Hall,Inactive
Theft from Auto,16-0428,03-30-16/1809,03-30-16/1804,Childers Lot,Active
Missing Person,16-0429,03-30-16/2156,03-30-16/2147,College Hall North,Active
Disorderly,16-0430,03-30-16/2317,03-30-16/2315,Howard Plaza Towers,Active
Miscellaneous,16-0431,03-30-16/1923,03-30-16/1923,Wonder Plaza,Inactive
Sick Person,16-0432,03-31-16/2140,03-31-16/2125,Quadrangle Hall,Inactive
Theft from Auto,16-0433,03-31-16/2215,03-31-16/2215,2216 6th St. NW,Active
Loud Noise,16-0434,04-01-16/0007,04-01-16/0006,440 Irving Street NW,Active
Sexual Assault,16-0435,03-31-16/2330,03-31-16/2321,Off  Campus,Inactive
Fire Alarm Activation,16-0436,04-01-16/1151,04-01-16/1151,Pharmacy Building,Inactive
Theft from Auto,16-0437,04-01-16/1609,04-01-16/1609,Miner Lot,Active
Found Property,16-0438,04-01-16/1606,04-01-16/1516,Bethune Hall Annex,Inactive
Found Property,16-0439,04-01-16/1713,04-01-16/1700,Off Campus,Inactive
Damaged Property,16-0440,04-01-16/1710,04-01-16/1656,Miner Lot,Inactive
Theft from Auto,16-0441,04-01-16/1741,04-01-16/1741,Greene Stadium Lot,Active
Sick Person,16-0442,04-01-16/1942,04-01-16/1950,Howard Plaza Towers,Inactive
Sick Person,16-0443,04-01-16/1932,04-01-16/1932,Wonder Plaza,Inactive
Loud Noise,16-0444,04-02-16/0028,04-02-16/0028,154 W Street NW,Active
Sick Person,16-0445,04-02-16/1809,04-02-16/1804,Stokes Library,Inactive
Lost Property,16-0446,04-03-16/0227,04-03-16/0200,College Hall South,Inactive
Injured Person,16-0447,04-03-16/1539,04-03-16/1540,Quadrangle Hall,Active
Student Misconduct,16-0448,04-03-16/2208,04-03-16/2200,Founders Library,Active
Injured Person,16-0449,04-04-16/0210,04-04-16/0206,Engineering Building,Active
Theft 2,16-0450,04-04-16/1710,04-04-16/0706,College Hall South,Active
Damaged Property,16-0451,04-04-16/1205,04-04-16/1120,Burr Gymnsaium,Inactive
Sick Person,16-0452,04-04-16/1250,04-04-16/1248,Blackburn Center,Inactive
Theft 1,16-0453,04-04-16/1457,04-04-16/1457,Blackburn Center,Active
Domestic Violence,16-0454,04-04-16/1526,04-04-16/1430,161 Adams St NW,Inactive
Destruction of Property,16-0455,04-04-16/1550,04-04-16/1519,Greene Stadium,Active
Sick Person,16-0456,04-04-16/1556,04-04-16/1546,Quadrangle Hall,Inactive
Theft 2,16-0457,04-04-16/1605,04-04-16/1531,College of Dentistry,Active
Theft from Auto,16-0458,04-04-16/1925,04-04-16/1901,4th & College St. NW,Active
Simple Assault,16-0459,04-04-16/1940,04-04-16/1919,Quadrangle Hall,Active
Student Misconduct,16-0460,04-04-16/2050,04-04-16/2041,Bethune Hall Annex,Active
Theft from Auto,16-0461,04-04-16/2205,04-04-16/2158,Miner Lot,Active
Injured Person,16-0462,04-05-16/1333,04-05-16/1300,Service Center,Active
Fire Alarm Activation,16-0463,04-05-16/1352,04-05-16/1352,College Hall North,Inactive
Theft 1,16-0464,04-05-16/1717,04-05-16/1555,College Hall South,Active
Theft from Auto,16-0465,04-05-16/1747,04-05-16/1719,2400 block Georigia Ave. NW,Active
Unlawful Entry,16-0466,04-05-16/1720,04-05-16/1718,Howard Plaza Towers,Active
Vehicle Accident,16-0467,04-05-16/1706,04-05-16/1706,6th Fairmont NW,Active
Hazardous Water Leak,16-0468,04-05-16/2020,04-05-16/1941,School of Business,Inactive
Destruction of Property,16-0469,04-05-16/2150,04-05-16/2146,Miner Lot,Active
Miscellaneous,16-0470,04-05-16/2339,04-05-16/2311,Plaza Towers,Inactive
Theft from Auto,16-0471,04-05-16/2335,04-05-16/2333,Burr Gym Lot,Active
Fire Alarm Activation,16-0472,04-06-16/0953,04-06-16/0953,Georgia Ave NW,Inactive
Found Property,16-0473,04-06-16/1132,04-06-16/1132,Banneker South Parking Lot,Inactive
Damaged Property,16-0474,04-06-16/1230,04-06-16/1210,Off Campus,Inactive
Lost Property,16-0475,04-06-16/1255,04-06-16/1254,Chemistry Building,Inactive
Lost Property,16-0476,04-06-16/1315,04-06-16/1311,Fine Arts Building,Inactive
Vehicle Accident,16-0477,04-06-16/1727,04-06-16/1726,Van Ness St. NW,Active
Sick Person,16-0478,04-06-16/1849,04-06-16/1849,Bethune Hall Annex,Inactive
Sick Person,16-0479,04-07-16/0107,04-07-16/0049,College Hall South,Inactive
Disorderly,16-0480,04-07-16/0702,04-07-16/0702,Quadrangle Hall,Active
Sick Person,16-0481,04-07-16/1050,04-07-16/1049,Plaza Towers,Inactive
Damaged Property,16-0482,04-07-16/1255,04-07-16/1251,Childers Lot,Inactive
Lost Property,16-0483,04-07-16/1540,04-07-16/1504,Biology Building,Inactive
Student Misconduct,16-0484,04-07-16/1830,04-07-16/1830,College Hall South,Active
Miscellaneous,16-0485,04-08-16/0704,04-08-16/0610,HU Hospital,Inactive
Theft from Auto,16-0486,04-08-16/1000,04-08-16/0934,Mental Health Clinic,Active
Miscellaneous,16-0487,04-08-16/1020,04-08-16/1014,Enterprise Tec. Service,Inactive
Vehicle Accident,16-0488,04-08-16/1455,04-08-16/1452,Bethune Hall Annex,Active
Student Misconduct,16-0489,04-08-16/1625,04-08-16/1623,College Hall South,Active
Hazardous Elevator,16-0490,04-08-16/1914,04-08-16/1914,Plaza Towers,Inactive
Hazardous Water Leak,16-0491,04-09-16/0142,04-09-16/0142,Academic Support Building A,Inactive
Sick Person,16-0492,04-09-16/0306,04-09-16/0229,HU Hospital,Inactive
NO REPORT,16-0493,04-09-16/,04-09-16/,,
Hazardous Water Leak,16-0494,04-09-16/1126,04-09-16/1123,Georgia Ave. NW,Inactive
Fire Alarm Activation,16-0495,04-09-16/1316,04-09-16/1215,Slowe Hall,Inactive
Hazardous Elevator,16-0496,04-09-16/1712,04-09-16/1710,Plaza Towers,Inactive
Fire Alarm Activation,16-0497,04-09-16/1802,04-09-16/1802,Cook Hall,Inactive
Fire Alarm Activation,16-0498,04-09-16/2145,04-09-16/2140,Quadrangle Hall,Inactive
Unlawful Entry,16-0499,04-09-16/2328,04-09-16/2210,Quadrangle Hall,Active
Student Misconduct,16-0500,04-09-16/2338,04-09-16/2159,Quadrangle Hall,Active
Unlawful Entry,16-0501,04-10-16/0020,04-10-16/0020,College Hall South,Active
Sick Person,16-0502,04-10-16/0051,04-10-16/0050,College Hall South,Inactive
Loud Noise,16-0503,04-10-16/0230,04-10-16/0212,Off Campus,Active
Sick Person,16-0504,04-10-16/0220,04-10-16/0220,Quadrangle Hall,Inactive
Fire Alarm Activation,16-0505,04-10-16/0227,04-10-16/0227,Cook Hall,Inactive
Theft from Auto,16-0506,04-10-16/1830,04-10-16/1827,Off Campus,Inactive
Missing Person,16-0507,04-11-16/0834,04-11-16/0834,Off Campus,Inactive
Hazardous Elevator,16-0508,04-11-16/1120,04-11-16/1107,Engineering Parking Lot,Inactive
Theft from Auto/Destruction of Property,16-0509,04-11-16/1212,04-11-16/1212,Main Gate,Active
Threats,16-0510,04-11-16/1550,04-11-16/1550,College Hall North,Active
Vehicle Accident,16-0511,04-11-16/1717,04-11-16/1715,400 block 4th St. NW,Active
Injured Person,16-0512,04-11-16/1842,04-11-16/1842,Burr Bymnasium,Active
Lost Property,16-0513,04-11-16/1907,04-11-16/1843,West Campus,Inactive
Hit & Run,16-0514,04-12-16/0043,04-12-16/0040,Annex 3,Active
Simple Assault,16-0515,04-12-16/0235,04-12-16/0233,HU Hospital,Active
Injured Person,16-0516,04-12-16/0305,04-12-16/0233,HU Hospital,Inactive
NO REPORT,16-0517,04-12-16/,04-12-16/,,
NO REPORT,16-0518,04-12-16/,04-12-16/,,
Threats,16-0519,04-12-16/1720,04-12-16/1720,Blackburn Center,Active
Credit Card Fraud,16-0520,04-12-16/2048,04-12-16/2027,Off Campus,Inactive
Damaged Property,16-0521,04-12-16/2204,04-12-16/2204,Upper Campus,Inactive
NO REPORT,16-0522,04-12-16/,04-12-16/,,
Damaged Property,16-0523,04-12-16/2347,04-12-16/2318,Founders Lot,Inactive
Theft 2,16-0524,04-13-16/1049,04-13-16/1008,Mental Health Clinic,Active
Sick Person,16-0525,04-13-16/1739,04-13-16/1715,College Hall South,Inactive
Hazardous Elevator,16-0526,04-13-16/2245,04-13-16/2233,Howard Plaza Towers,Inactive
Sick Transport,16-0527,04-14-16/0706,04-14-16/0706,College Hall North,Inactive
NO REPORT,16-0528,04-14-16/,04-14-16/,,
Miscellaneous,16-0529,04-14-16/1316,04-14-16/1300,College Hall North,Inactive
NO REPORT,16-0530,04-14-16/,04-14-16/,,
Lost Property,16-0531,04-14-16/1555,04-14-16/1422,Howard Plaza Towers,Inactive
Unlawful Entry,16-0532,04-14-16/1840,04-14-16/1825,Upper Campus,Active
Unlawful Entry,16-0533,04-15-16/1002,04-15-16/1002,College Hall South,Active
Sick Person,16-0534,04-15-16/0952,04-15-16/0952,Biology Building,Inactive
Sick Transport,16-0535,04-15-16/1605,04-15-16/1555,Student Health Clinic,Inactive
Student Misconduct,16-0536,04-15-16/1702,04-15-16/1702,Founder Library,Active
Armed Robbery,16-0537,04-15-16/2307,04-15-16/2255,College Hall South,Active
Loud Noise,16-0538,04-16-16/0208,04-16-16/0205,Off Campus,Active
Loud Noise,16-0539,04-17-16/0114,04-17-16/0018,Off Campus,Active
Robbery Force and Violence,16-0540,04-17-16/0558,04-17-16/0510,College Hall South,Active
Threats,16-0541,04-17-16/1750,04-17-16/1733,Quadrangle Hall,Active
Theft 1,16-0542,04-18-16/1112,04-18-16/1112,College Hall South,
Miscellaneous,16-0543,04-18-16/1323,04-18-16/1323,Stokes Library,Inactive
Theft 1,16-0544,04-18-16/1:59,04-18-16/1:59,Blackburn Center,Active
Sick Person,16-0545,04-18-16/1558,04-18-16/1555,Founder Library,Inactive
Fire Alarm Activation,16-0546,04-18-16/1711,04-18-16/1711,Architecture & Planning,Inactive
Student Misconduct,16-0547,04-18-16/2002,04-18-16/1925,C. B. Powell Building,Active
Theft 1,16-0548,04-19-16/1906,04-19-16/1842,College of Dentistry,Active
Vehicle Accident,16-0549,04-20-16/ 1420,04-20-16/1410,College Hall South,Active
Student Misconduct,16-0550,04-20-16/1914,04-20-16/1907,Cramton Auditorium,Active
Theft 2/ Assault on a Police Officer,16-0551,04-21-16/0108,04-21-16/0101,Business District,Active
Sick Person,16-0552,04-21-16/0245,04-21-16/0245,Bethune Hall Annex,Inactive
Sick Transport,16-0553,04-21-16/0911,04-21-16/0911,Student Health Clinic,Inactive
Sexual Assault,16-0554,04-21-16/0958,04-21-16/0945,Off Campus,Inactive
Sexual Assault,16-0555,04-21-16/1215,04-21-16/1215,Off Campus,Inactive
Miscellaneous,16-0556,04-21-16/1637,04-21-16/1637,Quadrangle Hall,Inactive
Sick Person,16-0557,04-21-16/1936,04-21-16/1925,Greene Stadium,Inactive
Sick Person,16-0558,04-21-16/2243,04-21-16/2243,Wonder Plaza,Inactive
Armed Robbery,16-0559,04-22-16/1445,04-22-16/1445,Upper Campus,Active
Sick Person,16-0560,04-22-16/1627,04-22-16/1621,C.B. Powell Building,Inactive
Theft 2,16-0561,04-22-16/1655,04-22-16/1655,College of Denistry,Active
Theft 2,16-0562,04-22-16/2228,04-22-16/2215,College Hall North,Active
Sick Person,16-0563,04-22-16/2208,04-22-16/2208,HU Hospital,Inactive
Theft 2,16-0564,04-23-16/0130,04-23-16/0100,HU Hospital,Active
Sick Person,16-0565,04-23-16/1936,04-23-16/1936,Quadrangle Hall,Inactive
Aggravated Assault/Unlawful Entry,16-0566,04-24-16/0532,04-24-16/0527,Plaza Towers,Active
Fire Alarm Activation,16-0567,04-24-16/0819,04-24-16/0819,College Hall North,Inactive
Sick Transport,16-0568,04-24-16/1050,04-24-16/1045,Quadrangle Hall,Inactive
Hazardous Water Leak,16-0569,04-24-16/1625,04-24-16/1624,Engineering Building,Inactive
Sick Person,16-0570,04-25-16/1116,04-25-16/1116,Carnegie Hall,Inactive
Injured Person,16-0571,04-25-16/1219,04-25-16/1219,Middle School,Active
Miscellaneous,16-0572,04-25-16/1238,04-25-16/1238,On Campus,Inactive
Destruction of Property,16-0573,04-25-16/1636,04-25-16/1438,Off Campus,Active
Injured Person,16-0574,04-25-16/1520,04-25-16/1527,Academic Support Building B,Active
Fire Alarm Activation,16-0575,04-26-16/0050,04-26-16/0049,Cook Hall,Inactive
Theft 2,16-0576,04-26-16/0252,04-26-16/0252,Plaza Towers,Active
Injured Person,16-0577,04-22-16/2210,04-26-16/0426,HU Hospital,Active
Sick Transport,16-0578,04-26-16/0850,04-26-16/0848,College Hall North,Inactive
Sick Transport,16-0579,04-26-16/1730,04-26-16/1510,Administration Building,Inactive
Injured Person,16-0580,04-26-16/1800,04-26-16/1754,Howard Plaza Towers,Inactive
Sexual Assault,16-0581,04-27-16/0251,04-27-16/2400,Physic Building,Active
Sick Transport,16-0582,04-27-16/0233,04-27-16/0225,Quadrangle Hall,Inactive
Theft 2,16-0583,04-27-16/1900,04-27-16/1033,Wonder Plaza,Active
Found Property,16-0584,04-27-16/1216,04-27-16/0745,Scout 36,Inactive
Miscellaneous,16-0585,04-27-16/1401,04-27-16/1241,East Towers Parking Lot,Inactive
Theft from Auto,16-0586,04-27-16/1533,04-27-16/1520,Cook Hall,Active
Miscellaneous,16-0587,04-27-16/1907,04-27-16/1700,400 block of Bryant Street NW,Inactive
Found Property,16-0588,04-27-16/1752,04-27-16/1552,Annex 1,Inactive
Miscellaneous,16-0589,04-27-16/1930,04-27-16/1920,Slowe Hall,Inactive
Loud Noise,16-0590,04-28-16/0127,04-28-16/0127,Lower Campus,Active
simple Assault,16-0591,04-28-16/0218,04-28-16/0218,Chemistry Building,Active
Fire Alarm Activation,16-0592,04-28-16/1235,04-28-16/1230,College Hall South,Inactive
Theft 1,16-0593,04-28-16/1326,04-28-16/1305,Wonder Plaza,Active
Sick Person,16-0594,04-28-16/1420,04-28-16/1350,Middle School,Inactive
Stalking,16-0595,04-28-16/1627,04-28-16/1627,Howard Plaza Towers,Active
Damaged Property,16-0596,04-28-16/2151,04-28-16/2151,Cook Hall,Inactive
Sick Person,16-0597,04-28-16/2234,04-28-16/2221,Quadrangle Hall,Inactive
Fire Alarm Activation,16-0598,04-29-16/0129,04-29-16/0128,Cook Hall,Inactive
Simple Assault/Domestic Violence,16-0599,04-29-16/1338,04-29-16/1316,College Hall North,Active
Fire Alarm Activation,16-0600,04-30-16/1241,04-30-16/1241,College Hall North,Inactive
ADW/Gun,16-0601,04-30-16/0327,04-30-16/0245,On Campus,Inactive
Fire Alarm Activation,16-0602,04-30-16/1241,04-30-16/1241,College Hall North,Inactive
Miscellaneous,16-0603,04-30-16/2137,04-30-16/2136,Slowe Hall,Inactive
Sick Person,16-0604,05-01-16/0411,05-01-16/0405,Drew Hall,Inactive
Sick Person,16-0605,05-01-16/2256,05-01-16/2253,Bethune Hall Annex,Inactive
Theft 2,16-0606,05-01-16/2348,05-01-16/2348,College Hall South,Active
NO REPORT,16-0607,05-02-16/,05-02-16/,,
Sick Person,16-0608,05-02-16/1156,05-02-16/1150,College Hall North,Inactive
Fire Alarm Activation,16-0609,05-02-16/1440,05-02-16/1433,Cook Hall,Inactive
Fire Alarm Activation,16-0610,05-02-16/1856,05-02-16/1850,Carnegie Hall,Inactive
Theft from Auto,16-0611,05-02-16/1859,05-02-16/1855,2300 6th Street NW,Active
Injured Person,16-0612,05-03-16/0209,05-03-16/0209,Off Campus,Inactive
Miscellaneous,16-0613,05-03-16/0534,05-03-16/0534,Drew Hall,Inactive
Damaged Property,16-0614,05-03-16/1148,05-03-16/1140,Service Center,Inactive
Miscellaneous,16-0615,05-03-16/1306,05-03-16/1306,College Hall South,Inactive
Fire Alarm Activation,16-0616,05-03-16/1346,05-03-16/1346,College Hall North,Inactive
Found Property,16-0617,05-03-16/1736,05-03-16/1736,Banneker Tennis Court area,Inactive
Fire Alarm Activation,16-0618,05-03-16/1905,05-03-16/1905,Cook Hall,Inactive
Theft from Auto,16-0619,05-03-16/1915,05-03-16/1915,6th and Fairmont Street NW,Active
Sick Person,16-0620,05-03-16/2230,05-03-16/2221,Stokes Library,Inactive
Hazardous Elevator,16-0621,05-04-16/0038,05-04-16/0038,Howard Plaza Towers,Inactive
Loud Noise,16-0622,05-04-16/0102,05-04-16/0101,63 Gallatin Street NW,Inactive
Miscellaneous,16-0623,05-04-16/0951,05-04-16/0950,Howard Plaza Towers,Inactive
Unlawful Entry,16-0624,05-04-16/1405,05-04-16/1405,Annex 1,Active
Vehicle Accident,16-0625,05-04-16/1542,05-04-16/1542,front side Towers,Active
Sick Person,16-0626,05-05-16/0328,05-05-16/0328,College Hall South,Inactive
Lost Property,16-0627,05-05-16/0744,05-05-16/0744,Service Center,Inactive
Fire Alarm Activation,16-0628,05-05-16/0938,05-05-16/0934,College Hall South,Inactive
Lost Property,16-0629,05-05-16/1220,05-05-16/1220,Architecture & Planning,Inactive
Lost Property,16-0630,05-05-16/1607,05-05-16/1543,Off Campus,Inactive
Found Property,16-0631,05-05-16/1759,05-05-16/1712,336 Oakdale Street NW,Inactive
Fire Alarm Activation,16-0632,05-05-16/1952,05-05-16/1950,Howard Plaza Towers,Inactive
Credit Card Fraud,16-0633,05-05-16/2255,05-05-16/2245,Quadrangle Hall,Active
Theft from Auto,16-0634,05-06-16/0036,05-06-16/0034,2407 Georgia Avenue NW,Active
Miscellaneous,16-0635,05-06-16/0140,05-06-16/0140,Childers Lot,Inactive
Theft from Auto,16-0636,05-06-16/0254,05-06-16/0040,2407 Georgia Avenue NW,Active
Stolen Auto,16-0637,05-06-16/0230,05-06-16/0238,A1 Rear Parking Lot,Active
Simpe Assault,16-0638,05-06-16/1356,05-06-16/1305,Cramton Auditorium,Active
Aggravated Assault/Loud Noise,16-0639,05-07-16/0017,05-07-16/0017,Off Campus,Active
Unlawful Entry,16-0640,05-07-16/0307,05-07-16/0306,College Hall South,Active
Injured Person,16-0641,05-07-16/0847,05-07-16/0825,Upper Campus,Active
Recovered Property,16-0642,05-06-16/2337,05-07-16/1307,Recovered Property,Inactive
Miscellaneous,16-0643,05-07-16/1320,05-07-16/1320,Lower Campus,Inactive
Theft from Auto,16-0644,05-07-16/1534,05-07-16/1528,6th Street NW,Active
Sick Person,16-0645,05-08-16/0408,05-08-16/0408,Howard Plaza Towers,Inactive
Vehicle Accident,16-0646,05-08-16/1546,05-08-16/1539,Howard Plaza Towers,Active
Lost Property,16-0647,05-08-16/2230,05-08-16/2230,Service Center,Inactive
Found Property,16-0648,05-08-16/2130,05-09-16/0829,2200 block of 4th street NW,Inactive
Sick Person,16-0649,05-07-16/1230,05-09-16/1005,600 block Fairmont Street NW,Inactive
Theft from Auto,16-0650,05-09-16/1231,05-09-16/0915,Howard Center,Active
Theft 1,16-0651,05-09-16/1530,05-09-16/1518,Service Center,Active
Theft 1,16-0652,05-08-16/2210,05-08-16/2210,Howard Plaza Towers,Active
Miscellaneous,16-0653,05-09-16/1640,05-09-16/1632,Howard Center,Inactive
Theft 2,16-0654,05-09-16/1805,05-09-16/1754,Howard Plaza Towers,Active
APO/Threats to do Bodily Harm,038-16,05-06-16/1148,05-06-16/1125,HU Hospital,Active
Damaged Property,16-0655,05-12-16/1317,05-12-16/1700,Douglass Hall,Inactive
Lost Property,16-0656,05-13-16/1237,05-13-16/1151,College of Dentistry,Inactive
Recovered Property,16-0657,05-14-16/1345,05-07-16/0159,Fine Arts Building,Inactive
Disorderly,16-0658,05-14-16/0256,05-14-16/0256,Wonder Plaza,Active
Fire Alarm Activation,16-0659,05-14-16/0337,05-14-16/0337,Carnegie Hall,Inactive
Theft from Auto,16-0660,05-14-16/1600,05-14-16/1600,Bryant Street NW,Active
Theft fromt Auto,16-0661,05-14-16/1623,05-14-16/1620,Bryant Street NW,Active
Simple Assault,16-0662,05-14-16/1917,05-14-16/1730,HU Hospital,Active
Fire Alarm Activation,16-0663,05-16-16/0226,05-16-16/0224,College Hall South,Inactive
Miscellaneous,16-0664,05-16-16/1205,05-16-16/0630,Gnome Building,Inactive
Fire Alarm Activation,16-0665,05-17-16/0753,05-17-16/0753,Carnegie Hall,Inactive
Theft 2,16-0666,05-17-16/1640,05-17-16/1620,Blackburn Center,Active
Vehicle Accident,16-0667,05-18-16/1836,05-18-16/1830,Student Health Clinic,Active
Vehicle Accident,16-0668,05-19-16/0908,05-19-16/0908,4th Street Gate,Active
Unlawful Entry,16-0669,05-19-16/1151,05-19-16/1143,Bethune Hall Annex,Active
Miscellaneous,16-0670,05-19-16/1306,05-19-16/0950,Service Center,Inactive
Damaged Property,16-0671,05-20-16/1314,05-20-16/0930,Upper Campus,Inactive
Simple Assault,16-0672,05-20-16/1552,05-20-16/1545,Lower Campus,Active
Fire Alarm Activation,16-0673,05-21-16/0920,05-21-16/0908,Architecture & Planning,Inactive
Miscellaneous,16-0674,05-21-16/1748,05-21-16/1748,Stokes Library,Inactive
Damaged Property,16-0675,05-23-16/1306,05-23-16/1302,Banneker South Parking Lot,Inactive
Theft from Auto,16-0676,05-23-16/1252,05-23-16/1252,2500 block Georgia Ave,Active
Found Property,16-0677,05-23-16/1355,05-23-16/1348,Main Gate,Inactive
Destruction of Property,16-0678,05-23-16/1609,05-23-16/1515,West Campus,Active
Hazardous Water Leak,16-0679,05-23-16/1950,05-23-16/1949,Chemistry Building,Inactive
Sick Person,16-0680,05-23-16/2353,05-23-16/2346,HU Hospital,Inactive
Damaged Property,16-0681,05-24-16/0346,05-24-16/0305,Chemistry Building,Inactive
Found Property,16-0682,05-24-16/1120,05-24-16/1119,Bethune Hall Annex,Inactive
Theft from Auto,16-0683,05-24-16/1305,05-24-16/1254,Founders Lot,Active
Theft 1,16-0684,05-24-16/1421,05-24-16/1359,College of Dentistry,Active
Lost Property,16-0685,05-24-16/1915,05-24-16/1842,College of Dentistry,Inactive
Hazardous Water Leak,16-0686,05-25-16/0556,05-25-16/0556,Howard Center,Inactive
Damaged Property,16-0687,05-26-16/0908,05-26-16/0907,6th & W Street NW,Inactive
Damaged Property,16-0688,05-26-16/1004,05-26-16/1004,Howard Plaza Towers,Inactive
Barring Notice,16-0689,05-26-16/1438,05-26-16/1435,Founders Library,Active
