NATURES OF CRIMES,CASE NUMBERS,"DATE/TIMEREPORTED","DATE/TIMEOCCURRED",GENERAL LOCATION
Sick Person,14-0347,03-31-14/2235,03-31-14/2235,Bethune Annex,Inactive
Loud Noise,14-0348,04-01-14/0246,04-01-14/0243,16th St. NW,Inactive
Hazardous Elevator,14-0349,04-01-14/0458,04-01-14/0455,Meridian Hill,Inactive
Sick Person,14-0350,04-01-14/0726,04-01-14/0726,Plaza Towers,Inactive
Sick Transport,14-0351,04-01-14/0846,04-01-14/0850,Student Health Center,Inactive
Injured Person,14-0352,04-01-14/0903,04-01-14/0904,Howard Center Lot,Inactive
Sick Person,14-0353,04-01-14/1557,04-01-14/1558,Blackburn Center,Inactive
Student Misconduct,14-0354,04-01-14/1757,04-01-14/1755,Meridian Hill,Active
Fire Alarm Activation,14-0355,04-01-14/2005,04-01-14/1955,Meridian Hill,Inactive
Fire Alarm Activation,14-0356,04-02-14/1331,04-02-14/1331,Slowe Hall,Inactive
Damaged Property,14-0357,04-02-14/1425,04-02-14/1425,East Campus,Inactive
Miscellaneous,14-0358,04-02-14/1430,04-02-14/1430,Carver Hall,Inactive
Vehicle Accident,14-0359,04-02-14/1553,04-02-14/1618,16th St. NW,Active
Miscellaneous,14-0360,04-02-14/1618,04-02-14/1618,Douglass Hall,Inactive
Miscellaneous,14-0361,04-02-14/1825,04-02-14/1825,Blackburn Center,Inactive
Simple Assault,14-0362,04-02-14/2151,04-02-14/2145,Burr Gymnasium,Active
Loud Noise,14-0363,04-02-14/2318,04-02-14/2319,525 Harvard St. NW,Inactive
Lost Property,14-0364,04-03-14/0722,03-27-14/0722,"2301 Ga. Ave., NW",Inactive
Lost Property,14-0365,04-03-14/0944,04-03-14/0915,Burr Gymnasium,Inactive
Lost Property,14-0366,04-03-14/1009,04-03-14/1009,Cramton Auditorium,Inactive
Sick Transport,14-0367,04-03-14/1007,04-03-14/1023,Drew Hall,Inactive
Lost Property,14-0368,04-03-14/1532,04-03-14/1548,Douglass Hall,Inactive
Simple Assault,14-0369,04-03-14/1424,04-03-14/1424,Quadrangle Hall,Active
Theft II,14-0370,04-03-14/1731,04-03-14/1733,Service Center,Active
Student Misconduct,14-0371,04-03-14/2300,04-03-14/2243,Meridian Hill,Active
Fire Alarm Activation,14-0372,04-03-14/2223,04-03-14/2223,Plaza Towers,Inactive
Suspicious Odor,14-0373,04-03-14/2248,04-03-14/2248,Slowe Hall,Inactive
Suspicious Odor,14-0374,04-04-14/2248,04-04-14/2248,Slowe Hall,Inactive
Loud Noise,14-0375,04-04-14/0032,04-04-14/0032,526 Harvard Pl. NW,Inactive
Hit and Run,14-0376,04-04-14/0221,04-04-14/0302,Plaza Towers,Active
Injured Person,14-0377,04-04-14/0858,04-04-14/0858,Plaza Towers,Inactive
Miscellaneous,14-0378,04-04-14/0938,04-04-14/0938,Douglass Hall,Inactive
Vehicle Accident,14-0379,04-04-14/1022,04-04-14/1006,Engineering Building,Active
Student Misconduct,14-0380,04-04-14/1131,04-04-14/1138,Slowe Hall,Active
Disoderly,14-0381,04-04-14/1433,04-04-14/1433,Douglass Hall,Inactive
Injured Person,14-0382,04-04-14/1520,04-04-14/1520,Mudd Building,Inactive
Lost Property,14-0383,04-04-14/1729,04-04-14/1743,Quadrangle Hall,Inactive
No Report,14-0384,04-04-14/,04-04-14/,,
Found Property,14-0385,04-05-14/0002,04-03-14/1800,Ira Aldrige Theatre,Inactive
Hazardous Elevator,14-0386,04-05-14/2352,04-05-14/2352,Plaza Towers,Inactive
Hazardous Water Leak,14-0387,04-05-14/0847,04-05-14/0834,Dental School,Inactive
Loud Noise,14-0388,04-05-14/1930,04-05-14/1930,2230 Randolph St.NE,Inactive
Loud Noise,14-0389,04-05-14/2255,04-05-14/2308,4th St. NW,Inactive
Miscellaneous,14-0390,04-05-14/2245,04-05-14/2245,Quadrangle Hall,Inactive
Assault,14-0391,04-06-14/0224,04-06-14/0224,Main Gate,Active
Simple Assault,14-0392,04-06-14/0224,04-06-14/0224,600 Howard Pl. NW,Active
Student Misconduct,14-0393,04-06-14/1733,04-06-14/1741,Carver Hall,Active
Miscellaneous,14-0394,04-06-14/1800,04-06-14/1800,Architecture & Planning,Inactive
Injured Person,14-0395,04-06-14/2004,04-06-14/2015,Plaza Towers,Inactive
Student Misconduct,14-0396,04-06-14/2009,04-06-14/2035,Quadrangle Hall,Active
Sick Transport,14-0397,04-07-14/1329,04-07-14/1325,Bethune Annex,Inactive
Sick Transport,14-0398,04-07-14/1535,04-07-14/1611,Student Health Center,Inactive
Lost Property,14-0399,04-07-14/1741,04-07-14/1720,Service Center,Inactive
Lost Property,14-0400,04-07-14/1623,04-07-14/1650,Plaza Towers,Inactive
Injured Person,14-0401,04-07-14/2016,04-07-14/2000,Blackburn Center,Inactive
Lost Property,14-0402,04-07-14/2111,04-07-14/2112,Bethune Annex,Inactive
Sick Person,14-0403,04-07-14/2127,04-07-14/2127,Quadrangle Hall,Inactive
Fire Alarm Activation,14-0404,04-08-14/0155,04-08-14/0200,Plaza Towers,Inactive
Sick Person,14-0405,04-08-14/1031,04-08-14/1033,Plaza Towers,Inactive
Theft from Auto,14-0406,04-08-14/1511,04-08-14/1455,2401 10th St. NW,Active
Hit and Run,14-0407,04-08-14/1501,04-08-14/1545,Engineering Building,Active
Lost Property,14-0408,04-08-14/1859,04-08-14/1859,Service Center,Inactive
Fire Alarm Activation,14-0409,04-08-14/1909,04-08-14/1909,Quadrangle Hall,Inactive
Lost Property,14-0410,04-08-14/2028,04-08-14/2028,Bethune Annex,Inactive
Vehicle Accident,14-0411,04-08-14/2116,04-08-14/2116,4th St.NW,Active
Lost Property,14-0412,04-08-14/2217,04-08-14/2205,Meridian Hill,Inactive
Injured Person,14-0413,04-09-14/0657,04-09-14/0655,Architecture & Planning,Inactive
Sick Transport,14-0414,04-09-14/1001,04-09-14/1002,C.B. Powell Building,Inactive
Sick Person,14-0415,04-09-14/1011,04-09-14/1011,Blackburn Center,Inactive
Lost Property,14-0416,04-09-14/1127,04-09-14/1127,Service Center,Inactive
Lost Property,14-0417,04-09-14/1208,04-09-14/1217,Howard Center,Inactive
Miscellaneous,14-0418,04-09-14/1437,04-09-14/1433,Howard Center,Inactive
Theft I,14-0419,04-09-14/1610,04-09-14/1619,Whut Station,Active
Simple Assault,14-0420,04-09-14/1815,04-09-14/1815,Blackburn Center,Active
Vehicle Accident,14-0421,04-10-14/0837,04-10-14/0837,Mackey Lot,Inactive
Found Property,14-0422,04-10-14/1050,04-10-14/1045,Wonder Plaza,Inactive
Hazardous Elevator,14-0423,04-10-14/1613,04-10-14/1619,Plaza Towers,Inactive
Theft from Auto,14-0424,04-10-14/1623,04-10-14/1625,Upper Campus,Active
Miscellaneous,14-0425,04-10-14/1820,04-10-14/1820,Cramton Auditorium,Inactive
Injured Person,14-0426,04-10-14/1823,04-10-14/1828,Social Work,Inactive
Sick Person,14-0427,04-10-14/2050,04-10-14/2050,Bethune Annex,Inactive
Vehicle Accident,14-0428,04-10-14/2315,04-10-14/2300,Meridian Hill,Active
Student Misconduct,14-0429,04-10-14/2350,04-10-14/2350,Drew Hall,Active
Vandalism,14-0430,04-11-14/0843,04-11-14/0843,Chemistry Building,Active
Unlawful Entry,14-0431,04-11-14/1228,04-11-14/1230,Plaza Towers,Active
Vehicle Accident,14-0432,04-11-14/1330,04-11-14/1340,Blackburn Center,Active
Theft I,14-0433,04-11-14/2305,04-11-14/2330,Plaza Towers,Active
Sick Person,14-0434,04-12-14/1202,04-12-14/0002,8th St. NW,Inactive
Theft from Auto,14-0435,04-12-14/0550,04-12-14/0530,Banneker South Lot,Active
Hazardous Water Leak,14-0436,04-12-14/0631,04-12-14/0510,HURB-1,Inactive
Sick Person,14-0437,04-12-14/0612,04-12-14/2330,HU Hospital,Inactive
Injured Person,14-0438,04-12-14/1819,04-12-14/1817,Drew Hall,Inactive
Lost Property,14-0439,04-12-14/2128,04-12-14/2213,Blackburn Center,Inactive
Sick Person,14-0440,04-13-14/0035,04-13-14/0035,Plaza Towers,Inactive
Student Misconduct,14-0441,04-13-14/0122,04-13-14/0122,Plaza Towers,Active
Domestic,14-0442,04-13-14/0153,04-13-14/0205,Plaza Towers,Inactive
Sick Person,14-0443,04-13-14/0541,04-13-14/0547,Quadrangle Hall,Inactive
Student Misconduct,14-0444,04-13-14/1037,04-13-14/1037,Plaza Towers,Active
Student Misconduct,14-0445,04-13-14/1500,04-13-14/1520,Slowe Hall,Active
Miscellaneous,14-0446,04-13-14/1609,04-13-14/1609,Mudd Building,Inactive
Student Misconduct,14-0447,04-14-14/0111,04-14-14/0114,Wonder Plaza,Active
Unlawful Entry,14-0448,04-14-14/0835,04-14-14/0835,Plaza Towers,Active
Sick Person,14-0449,04-14-14/1056,04-14-14/1057,Burr Gymnasium,Inactive
Suspicious Odor,14-0450,04-14-14/1141,04-14-14/1145,Douglass Hall,Inactive
Sick Transport,14-0451,04-14-14/1343,04-14-14/1345,Plaza Towers,Inactive
Damaged Property,14-0452,04-14-14/1416,04-14-14/1416,Howard Center Lot,Inactive
Destruction of Property,14-0453,04-14-14/1450,04-12-14/1450,Plaza Towers,Active
Damaged Property,14-0454,04-14-14/1419,04-14-14/1420,Miner Lot,Inactive
Suspicious Package,14-0455,04-14-14/1546,04-14-14/1950,Cramton Auditorium,Active
Sick Person,14-0456,04-14-14/1639,04-14-14/1642,Quadrangle Hall,Inactive
Sick Person,14-0457,04-14-14/2231,04-14-14/2230,Slowe Hall,Inactive
Domestic,14-0458,04-15-14/0218,04-15-14/0055,Quadrangle Hall,Inactive
Sick Transport,14-0459,04-15-14/0234,04-15-14/0230,Quadrangle Hall,Inactive
Fire Alarm Activation,14-0460,04-15-14/0316,04-15-14/0328,Blackburn Center,Inactive
Lost Property,14-0461,04-15-14/1455,04-15-14/1230,Plaza Towers,Inactive
Sick Person,14-0462,04-15-14/2345,04-15-14/2349,Bethune Annex,Inactive
Sick Person,14-0463,04-16-14/0730,04-16-14/0740,Blackburn Center,Inactive
Theft II,14-0464,04-16-14/1003,04-16-14/1017,Mudd Building,Active
Fire Alarm Activation,14-0465,04-16-14/1109,04-16-14/1120,Slowe Hall,Inactive
Unlawful Entry,14-0466,04-16-14/1445,04-16-14/1445,Howard Plaza Towers,Active
Sick Person,14-0467,04-16-14/1518,04-16-14/1538,Quadrangle Hall,Inactive
Sick Person,14-0468,04-16-14/1649,04-16-14/1647,Meridian Hill,Inactive
Sick Person,14-0469,04-16-14/2037,04-16-14/2020,Howard Plaza Towers,Inactive
Recovered Property,14-0470,04-16-14/2343,04-16-14/2235,Main Gate,Inactive
Destruction of Property,14-0471,04-16-14/2320,04-17-14/1230,Quadrangle Hall,Active
Damaged Property,14-0472,04-17-14/0935,04-17-14/0940,Upper Campus Lot,Inactive
Vehicle Accident,14-0473,04-17-14/1011,04-17-14/1017,Lower Campus,Inactive
Student Misconduct,14-0474,04-17-14/1102,04-17-14/1400,Founder Library,Active
Suspicious Odor,14-0475,04-17-14/1104,04-17-14/1100,Dental School,Inactive
Damaged Property,14-0476,04-17-14/1553,04-17-14/1600,Locke Hall,Inactive
Sick Person,14-0477,04-17-14/2233,04-17-14/2233,Quadrangle Hall,Inactive
Student Misconduct,14-0478,04-18-14/0040,04-18-14/0040,C.B. Powell Building,Active
Domestic Violence,14-0479,04-18-14/0102,04-18-14/0102,Quadrangle Hall,Inactive
Lost Property,14-0480,04-18-14/1001,04-18-14/1001,Architecture & Planning,Inactive
Fire Alarm Activation,14-0481,04-18-14/1030,04-18-14/1030,Cook Hall,Inactive
Miscellaneous,14-0482,04-18-14/1606,04-18-14/1610,Administration Building,Inactive
Lost Property,14-0483,04-18-14/1624,04-18-14/1625,Administration Building,Inactive
Miscellaneous,14-0484,04-18-14/1807,04-18-14/1807,Cook Hall,Inactive
Fire Alarm Activation,14-0485,04-18-14/2110,04-18-14/2110,Slowe Hall,Inactive
Lost Property,14-0486,04-18-14/2250,04-18-14/2250,Fine Art Building,Inactive
Hazardous Water Leak,14-0487,04-18-14/2323,04-18-14/2223,School of Business,Inactive
Lost Property,14-0488,04-19-14/0053,04-19-14/2400,Carver Hall,Inactive
Sick Person,14-0489,04-19-14/0516,04-19-14/0510,Drew Hall,Inactive
Fire Alarm Activation,14-0490,04-19-14/1340,04-19-14/1335,Meridian Hill,Inactive
Stolen Auto,14-0491,04-19-14/1528,04-19-14/1530,Plaza Towers,Unfounded
Loud Noise,14-0492,04-19-14/1832,04-19-14/1832,off Campus,Inactive
Sick Person,14-0493,04-20-14/0032,04-20-14/0030,Meridian Hill,Inactive
Damaged Property,14-0494,04-20-14/2132,04-20-14/1900,Quadrangle Hall,Inactive
Injured Person,14-0495,04-21-14/0756,04-21-14/0755,Founders Library,Active
Vehicle Accident,14-0496,04-21-14/1445,04-21-14/1440,Howard Center,Active
Sick Person,14-0497,04-21-14/2030,04-21-14/2030,East Campus,Inactive
Damaged Property,14-0498,04-22-14/0749,04-22-14/0750,Quadrangle Hall,Inactive
Lost Property,14-0499,04-22-14/1910,04-22-14/1843,Main Gate,Inactive
Burglary II,14-0500,04-22-14/2115,04-22-14/2030,Meridian Hill,Active
Sick Person,14-0501,04-23-14/0307,04-23-14/0307,Bethune Annex,Inactive
Damaged Property,14-0502,04-23-14/1233,04-23-14/1237,Locke Hall,Inactive
Sick Person,14-0503,04-23-14/1645,04-23-14/1645,Engineering Building,Inactive
Miscellaneous,14-0504,04-23-14/1643,04-23-14/1643,HU Bookstore,Inactive
Lost Property,14-0505,04-23-14/1842,04-23-14/1817,Slowe Hall,Inactive
Lost Property,14-0506,04-23-14/1857,04-23-14/1645,West Campus,Inactive
Sick Person,14-0507,04-23-14/1942,04-23-14/1945,Burr Gymnasium,Inactive
Miscellaneous,14-0508,04-23-14/2333,04-23-14/2135,Business District,Inactive
Sick Person,14-0509,04-24-14/0333,04-24-14/0331,Bethune Annex,Inactive
Theft I,14-0510,04-24-14/0711,04-24-14/0710,Student Health Clinic,Active
Theft II,14-0511,04-24-14/1404,04-24-14/1420,Quadrangle Hall,Active
Sick Person,14-0512,04-24-14/1448,04-24-14/1450,Lower campus,Inactive
Fire Alarm Activation,14-0513,04-24-14/1843,04-24-14/1849,Cook Hall,Inactive
Sick Transport,14-0514,04-25-14/1208,04-25-14/1210,Student Health Clinic,Inactive
Miscellaneous,14-0515,04-25-14/1938,04-25-14/1938,Wonder Plaza,Inactive
Damaged Property,14-0516,04-25-14/2337,04-25-14/2245,"2300 Ga., NW",Inactive
Lost Property,14-0517,04-26-14/0147,04-26-14/0150,Bethune Annex,Inactive
Sick Person,14-0518,04-26-14/0236,04-26-14/0236,Cook Hall,Inactive
Injured Person,14-0519,04-26-14/2209,04-26-14/2208,Drew Hall,Inactive
Simple Assault,14-0520,04-26-14/2322,04-26-14/2320,Carver Hall,Active
Loud Noise,14-0521,04-27-14/0138,04-27-14/0138,Off Campus,Inactive
Found Property,14-0522,04-27-14/0211,04-27-14/0211,Plaza Towers,Inactive
Fire Alarm Activation,14-0523,04-27-14/0310,04-27-14/0310,Plaza Towers,Inactive
Student Misconduct,14-0524,04-27-14/1045,04-27-14/1104,Plaza Towers,Active
Theft from Auto,14-0525,04-27-14/1925,04-27-14/1943,East Campus,Active
Fire Alarm Activation,14-0526,04-27-14/2114,04-27-14/2114,Plaza Towers,Inactive
Sick Person,14-0527,04-28-14/1307,04-28-14/1315,Blackburn Center,Inactive
Theft II,14-0528,04-28-14/1752,04-28-14/1800,Cook Hall,Active
Student Misconduct,14-0529,04-28-14/1849,04-28-14/1850,Plaza Towers,Inactive
Damaged property,14-0530,04-28-14/2134,04-28-14/1400,West Campus,Inactive
Theft II,14-0531,04-29-14/1450,04-29-14/1450,Service Center,Active
Injured Person,14-0532,04-29-14/1732,04-29-14/1732,Blackburn Center,Inactive
Miscellaneous,14-0533,04-29-14/1817,04-29-14/1817,Plaza Towers,Inactive
Found Property,14-0534,04-29-14/1910,04-29-14/1910,Slowe Hall,Inactive
Miscellaneous,14-0535,04-30-14/0209,04-30-14/0200,Meridian Hill,Inactive
Damaged Property,14-0536,04-30-14/1605,04-30-14/1335,West Campus,Inactive
Hazardous Water Leak,14-0537,04-30-14/1836,04-30-14/1836,School of Business,Inactive
Theft I,14-0538,04-30-14/1904,04-30-14/1904,Drew Hall,Active
Unlawful Entry,14-0539,05-01-14/0230,05-01-14/0230,Carver Hall,Active
Damaged Property,14-0540,05-01-14/0717,05-01-14/0771,Banneker South Lot,Inactive
Injured Person,14-0541,05-01-14/1235,05-01-14/1230,Ira Aldridge Theatre,Inactive
Lost Property,14-0542,05-01-14/1314,05-01-14/1230,Mudd Building,Inactive
Fire Alarm Activation,14-0543,05-01-14/1738,05-01-14/1725,Meridian Hill,Inactive
Loud Noise,14-0544,05-01-14/2252,05-01-14/2252,2214 10th St. NW,Inactive
Fire Alarm Activation,14-0545,05-02-14/0159,05-02-14/0159,Quadrangle Hall,Inactive
Student Misconduct,14-0546,05-02-14/0253,05-02-14/0255,Plaza Towers,Inactive
Vehicle Accident,14-0547,05-02-14/0922,05-02-14/0922,Howard Center,Inactive
Robbery Fear,14-0548,05-02-14/1323,05-02-14/0315,"2301 Georgia Avenue, NW",Active
Fire Alarm Activation,14-0549,05-02-14/1514,05-02-14/1400,Meridian Hill,Inactive
Threats,14-0550,05-02-14/1513,05-02-14/1518,Lower Campus,Active
Injured Person,14-0551,05-02-14/1903,05-02-14/1930,Blackburn Center,Inactive
Sick Person,14-0552,05-03-14/0021,05-03-14/0021,Plaza Towers,Inactive
Sick Person,14-0553,05-03-14/0130,05-03-14/0130,Plaza Towers,Inactive
Missing Person,14-0554,05-03-14/0124,05-03-14/0124,Plaza Towers,Inactive
Sick Person,14-0555,05-04-14/1941,05-04-14/1941,Plaza Towers,Inactive
Injured Person,14-0556,05-04-14/2332,05-04-14/2332,Meridian Hill,Inactive
Hazardous Water Leak,14-0557,05-05-14/0208,05-05-14/0208,Bethune Annex,Inactive
Injured Person,14-0558,05-05-14/0847,05-05-14/0850,HUSC Garage,Active
Sick Transport,14-0559,05-05-14/0940,05-05-14/0942,Student Health Center,Inactive
Destruction of Property,14-0560,05-05-14/1005,05-05-14/0630,Chemistry Building,Inactive
Damaged Property,14-0561,05-05-14/1403,05-05-14/1404,"Georgia Ave., St. NW",Inactive
Theft I,14-0562,05-05-14/1820,05-05-14/1840,Drew Hall,Active
Lost Property,14-0563,05-05-14/1943,05-05-14/1945,Drew Hall,Inactive
Sick Person,14-0564,05-05-14/2006,05-05-14/2000,Plaza Towers,Inactive
Loud Noise,14-0565,05-05-14/1954,05-05-14/1954,765 Harvard St. NW,Inactive
Sick Person,14-0566,05-05-14/2035,05-05-14/2038,Bethune Annex,Inactive
Fire Alarm Activation,14-0567,05-05-14/2119,05-05-14/2125,Plaza Towers,Inactive
Sick Person,14-0568,05-05-14/21119,05-05-14/2119,Drew Hall,Inactive
Sick Person,14-0569,05-06-14/0043,05-06-14/0043,Plaza Towers,Inactive
Theft II,14-0570,05-06-14/1252,05-06-14/1252,Enterprise Tech. Service,Active
Found Property,14-0571,05-06-14/1525,05-06-14/1000,Adams Building,Inactive
Lost Property,14-0572,05-07-14/0300,05-07-14/0300,Bethune Annex,Inactive
Found Property,14-0573,05-07-14/0645,05-07-14/0215,Slowe Hall,Inactive
Lost Property,14-0574,05-07-14/0730,05-06-14/1800,Plaza Towers,Inactive
Miscellaneous,14-0575,05-07-14/1226,05-06-14/1600,Quadrangle Hall,Inactive
Vandalism,14-0576,05-07-14/1647,05-07-14/1500,West Campus,Active
Damaged Property,14-0577,05-07-14/1912,05-07-14/1835,HURB-1,Inactive
Injured Person,15-0578,05-08-14/0551,05-08-14/0133,Stokes Library,Inactive
Aggravated Assault/APO,15-0579,05-08-14/2314,05-08-14/0133,Locke Hall,Inactive
Miscellaneous,15-0580,05-08-14/0944,05-08-14/0605,Douglass Hall,Inactive
Vehicle Accident,15-0581,05-08-14/0947,05-08-14/0945,Plaza Towers,Active
Sick Transport,15-0582,05-08-14/0952,05-08-14/0954,Student Health Clinic,Inactive
Sick Person,15-0583,05-08-14/1418,05-08-14/1418,Academic A,Inactive
Sick Person,14-0584,05-09-14/0219,05-09-14/0226,Drew Hall,Inactive
Hazardous Water Leak,14-0585,05-09-14/0957,05-09-14/0957,HUSC Garage,Inactive
Fire Alarm Activation,14-0586,05-09-14/1122,05-09-14/1130,Quadrangle Hall,Inactive
Theft II,14-0587,05-09-14/1143,05-09-14/1143,Social Work,Active
Lost Property,14-0588,05-09-14/1434,05-09-14/1410,6th St. NW,Inactive
Sick Person,14-0589,05-09-14/1735,05-09-14/1735,Burr Gymnasium,Inactive
Lost Property,14-0590,05-09-14/1900,05-09-14/1852,Carver Hall,Inactive
Hazardous Elevator,14-0591,05-09-14/1816,05-09-14/1816,Plaza Towers,Inactive
Theft from Auto,14-0592,05-10-14/0032,05-10-14/0030,Banneker South Lot,Active
Lost Property,14-0593,05-10-14/1355,05-10-14/1357,Main Yard,Inactive
Missing Person,14-0594,05-11-14/1145,05-11-14/1143,Plaza Towers,Inactive
Lost Property,14-0595,05-12-14/1441,05-12-14/1442,Plaza Towers,Inactive
Damaged Property,14-0596,05-12-14/2149,05-12-14/2149,Plaza Towers,Inactive
No Reports,,5/13/2014,,,
Theft II,14-0597,05-14-14/1508,05-14-14/1506,Locke Hall,Active
Lost Property,14-0598,05-14-14/1542,05-14-14/1525,Wonder Plaza,Inactive
Miscellaneous,14-0599,05-14-14/1645,05-14-14/1717,Plaza Towers,Inactive
Fire Alarm Activation,14-0600,05-14-14/2213,05-14-14/2215,Cook Hall,Inactive
Damaged Property,14-0601,05-15-15/0652,05-15-15/0650,Bryant St. NW,Inactive
Theft II,14-0602,05-15-15/1456,05-15-15/1447,Dental School,Active
Hazardous Elevator,14-0603,05-15-15/1911,05-15-15/1911,Plaza Towers,Inactive
Hazardous Water Leak,14-0604,05-16-14/0307,05-16-14/0307,Annex I,Inactive
Theft II,14-0605,05-16-14/0750,05-16-14/0750,C.B. Powell Building,Active
Found Property,14-0606,05-16-14/0805,05-16-14/0805,Dental School,Inactive
Miscellaneous,14-0607,05-16-14/1217,05-16-14/1217,Bookstore,Inactive
Miscellaneous,14-0608,05-16-14/1217,05-16-14/1217,Bookstore,Inactive
Lost Property,14-0609,05-17-14/1728,05-17-14/1745,Quadrangle Hall,Inactive
No Report,,05-18-14/,,,
Miscellaneous,14-0610,05-19-14/2213,05-19-14/2213,HU Hospital,Inactive
Sick Person,14-0611,05-20-14/0741,05-20-14/0745,9th St. NW (corner),Inactive
Fire Alarm Activation,14-0612,05-20-14/0934,05-20-14/0940,Service Center,Inactive
Lost Property,14-0613,05-20-14/1016,05-20-14/1052,Plaza Towers,Inactive
Lost Property,14-0614,05-20-14/1230,05-20-14/1235,Off Campus,Inactive
Miscellaneous,14-0615,05-20-14/1603,05-20-14/1603,Bookstore,Inactive
Theft from Auto,14-0616,05-20-14/1654,05-20-14/1654,Bannker South Lot,Active
Hazardous Elevator,14-0617,05-20-14/1704,05-20-14/1710,Plaza Towers,Inactive
Destruction of Property,14-0618,05-21-14/0629,05-21-14/0628,Greene Stadium,Active
Sick Person,14-0619,05-21-14/0954,05-21-14/0955,Dental School,Inactive
Theft from Auto,14-0620,05-21-14/0844,05-21-14/0725,600 block Bryant St. NW,Active
Hazardous Elevator,14-0621,05-21-14/1322,05-21-14/1327,576 W St. NW,Inactive
Fire Alarm Activation,14-0622,05-21-14/1635,05-21-14/1636,Stokes Library,Inactive
Sick Person,14-0623,05-22-14/0929,05-22-14/0929,Administration Building,Inactive
Miscellaneous,14-0624,05-22-14/1458,05-22-14/1458,Founders Library,Inactive
Lost Property,14-0625,05-23-14/1545,05-23-14/1530,C.B. Powell Building,Inactive
Miscellaneous,14-0626,05-23-14/1738,05-23-14/1640,Mental Health Clinic,Inactive
Fire Alarm Activation,14-0627,05-24-14/0034,05-24-14/0034,Plaza Towers,Inactive
Unlawful Entry,14-0628,05-24-14/1046,05-24-14/1027,C.B. Powell Building,Inactive
Sick Person,14-0629,05-25-14/1210,05-25-14/1215,East Campus,Inactive
Student Misconduct,14-0630,05-25-14/2048,05-25-14/2045,Plaza Towers,Active
Miscellaneous,14-0631,05-27-14/2157,05-27-14/2130,Public Space,Inactive
Unlawful Entry,14-0632,05-28-14/0027,05-28-14/2345,Plaza Towers,Active
Injured Person,14-0633,05-28-14/0758,05-28-14/0800,Architect & Planning,Inactive
Sick Person,14-0634,05-28-14/1023,05-28-14/1025,Service Center,Inactive
Sick Person,14-0635,05-29-14/0056,05-29-14/0056,Plaza Towers,Inactive
Vehicle Accident,14-0636,05-29-14/1635,05-29-14/1335,Howard Center Lot,Active
Lost Property,14-0637,05-30-14/1709,05-30-14/1715,Plaza Towers,Inactive
Miscellaneous,14-0638,05-30-14/2226,05-30-14/2226,2700 block of Girard,Inactive
No Report,,5/31/2014,,,
No Report,,6/1/2014,,,
Sick Transport,14-0639,06-02-14/1347,06-02-14/1350,Cook Hall,Inactive
Theft from Auto,14-0640,06-03-14/1201,06-03-14/1200,"Ga., Ave., Lot",Active
Miscellaneous,14-0641,06-03-14/1201,06-03-14/1201,"Ga., Ave., Lot",Inactive
Damaged Property,14-0642,06-03-14/1536,06-03-14/1546,"2400 block of Ga., Ave., NW",Inactive
Theft II,14-0643,06-04-14/1022,06-04-14/1022,Cramton Auditorium,Active
Lost Property,14-0644,06-04-14/1411,06-04-14/1400,Service Center,Inactive
Burglary II,14-0645,06-05-14/0957,06-05-14/0930,HU Research Lab,Active
Sick Person,14-0646,06-06-14/0319,06-06-14/0319,Carnegie Hall,Inactive
Vehicle Accident,14-0647,06-06-14/0841,06-06-14/0841,Main Gate,Active
Fire Alarm Activation,14-0648,06-06-14/0854,06-06-14/0854,Bethune Annex,Inactive
Fire Alarm Activation,14-0649,06-06-14/0905,06-06-14/0905,Service Center,Inactive
Fire Alarm Activation,14-0650,06-07-14/0922,06-07-14/0922,Cook Hall,Inactive
Damaged Property,14-0651,06-07-14/1327,06-07-14/1257,Adams Building,Inactive
Miscellaneous,14-0652,06-08-14/0023,06-08-14/0023,Dispatch /SOC,Inactive
Found Property,14-0653,06-08-14/1051,06-08-14/1051,Main Gate,Inactive
Hazardous Elevator,14-0654,06-09-14/0713,06-09-14/0713,Plaza Towers,Inactive
Sick Person,14-0655,06-09-14/1315,06-09-14/1315,Admin. Bldg.,Inactive
Hazardous  Odor,14-0656,06-09-14/1304,06-09-14/1304,Howard Center,Inactive
Fire Alarm Activation,14-0657,06-10-14/0533,06-10-14/0533,Drew Hall,Inactive
Theft from Auro,14-0658,06-10-14/1145,06-10-14/1145,Burr Gymnasium,Active
Sick Person,14-0659,06-11-14/1529,06-11-14/1529,Rankin Chapel,Inactive
Fire Alarm Activation,14-0660,06-11-14/2200,06-11-14/2200,Miner Building,Inactive
Hazardous Water Leak,14-0661,06-12-14/0413,06-12-14/0413,Annex I,Inactive
Hazardous Water Leak,14-0662,06-12-14/1642,06-12-14/1642,Service Center,Inactive
Hazardous Water Leak,14-0663,06-13-14/0004,06-12-14/2352,Engineering Building,Inactive
Destruction of Property,14-0664,06-13-14/0246,06-13-14/0249,Howard Manor,Active
Disorderly,14-0665,06-13-14/1207,06-13-14/1200,Dental School,Active
Fire Alarm Activation,14-0666,06-13-14/1342,06-13-14/1342,Service Center,Inactive
Injured Person,14-0667,06-14-14/1450,06-14-14/1450,Founders Library,Inactive
Founders Libray,14-0668,06-14-14/1828,06-14-14/1830,Cramton Auditorium,Inactive
NO Report,,06-15-14/,,,
Hazardous Elevator,14-0669,06-16-14/0044,06-16-14/0044,Plaza Towers,Inactive
