report_date,incident,incident_narrative,incident_number,date_occured,time_occured,general_location,disposition
"april 19, 2018",stalking,"  a student reported thatthey received several unwantedtext, emails, and a package from aknown associate",18-000586,"april 18, 2018",1500,village c west,case pending investigation
"april 20, 2018",theft, a  staff member reported thetheft of a parking pass,18-000590,"april 18, 2018",1830,leavey garage,case pending investigation
"april 20, 2018",theft, a  student reported the theftof a laptop,18-000592,"april 20, 2018",1734,copley hall,case pending investigationhandled by mpd ccn 18-063260 / case unfoundedcomplainant locatedproperty
"april 21, 2018",burglary, a gu staff memberreported that an unknownsubject(s) entered a unsecuredlocker-room with the intent to stealproperty,18-000599,"april 21, 2018",1514,mcdonoughgymnasium,case closed with arrestccn 18-063784
"april 21, 2018",alcohol violation, a underagestudent was found in possession ofa alcoholic beverage,18-000601,"april 21, 2018",1733,new south hall,case referred to studentconduct
"april 22, 2018",burglary, a gu staff memberreported that an unknown subjectentered their unsecured office andstole property,18-000610,"april 20, 2018",1600,medical & dentalbuilding,case pending investigationhandled by mpd ccn 18-064164
"april 23, 2018",burglary, a gu staff memberreported that an unknown subjectentered their unsecured classroomand stole property,18-000614,"april 23, 2018",0833,reiss science,case pending investigation
"april 24, 2018",theft, a  student reported the theftof a bicycle,18-000624,"april 24, 2018",1330,darnall hall,case pending investigation
"april 24, 2018",theft, a  student reported the theftof a cellular phone,18-000627,"april 20, 2018",2000,1200 block 36thstreet northwest,case pending investigation
"april 24, 2018",dating violence sexual assault, astudent repoted that they weresexually assaulted (fondling),tix-271,"april 18, 2018",NA,isaac hawkins hall,case pending investigation
"april 25, 2018",drug violation, a student wasfound in possession of marijuana,18-000630,"april 25, 2018",2219,observatory,case referred to studentconduct
"april 25, 2018",sexual assault, a student repotedthat they were sexually assaulted,tix-272,"april 7, 2018",NA,on campushousing,case pending investigation
"april 27, 2018",drug violation, a student wasfound in possession of marijuana,18-000644,"april 27, 2018",1200,lxr,case referred to studentconduct
"april 27, 2018",drug violation, a student wasfound in possession of marijuana,18-000645,"april 27, 2018",1200,village a,case referred to studentconduct
"april 27, 2018",drug violation, a student wasfound in possession of marijuana,18-000651,"april 27, 2018",1339,lxr,case referred to studentconduct
"april 28, 2018",theft, a  non affiliate reported thetheft of a wallet,18-000667,"april 28, 2018",1700,lauinger library,case pending investigationhandled by mpd ccn 18-067865
"april 30, 2018",unlawful entry,  a gupd officerreported that they located aunauthorized non affiliate oncampus who had been previouslybarred,18-000679,"april 30, 2018",1923,car barn,case closed with arrestccn: 18-069029
"april 30, 2018",assault, a staff member reportedthat they were physically assaulted,18-000680,"april 27, 2018",1520,village a,case referred to studentconduct
"april 2, 2019",theft, a  student reported the theft of abicycle,19-000463,"april 2, 2019",1729,lauinger library,case pending investigation
"april 2, 2019",sexual assault, a student reported that theywere sexually assaulted,tix-461,"march 2, 2018",NA,new south hall,case pending investigation
"april 4, 2019",urinating in public, a student wasobserving urinating in public,19-000467,"april 4, 2019",0035,healy circle,case referred to student conduct
"april 4, 2019",theft, a  student reported the theft ofpersonal property,19-000473,"april 4, 2019",1845,leavey center,case pending investigation
"april 7, 2019",destruction of property, a  student reportedthat an unknown subject vandalizeduniversity property,19-000483,"april 7, 2019",1755,healy family studentcenter,case closed with arrest ccn: 19-058848
"april 10, 2019",burglary, a staff member reported that anunknown suspect(s) gained access to theirunsecured offices and stole personalproperty,19-000501,"april 9, 2019",1800,new research building,case pending investigation
"april 11, 2019",drug violation, a student was found inpossession of marijuana,19-000505,"april 11, 2019",1750,lxr,case referred to student conduct
"april 12, 2019",drug violation, a student was found inpossession of marijuana,19-000509,"april 12, 2019",0028,village a,case referred to student conduct
"april 15, 2019",domestic violence assault, a studentreported that they were physicallyassaulted.,19-000534,"march 1, 2019",0000,mccarthy hall,case referred to student conduct
"april 17, 2019",drug violation, a student was found inpossession of marijuana,19-000544,"april 17, 2019",0858,village a,case referred to student conduct
"april 18, 2019",theft, a  student reported the theft of abicycle,19-000552,"april 16, 2019",1100,darnall hall,case pending investigation
"april 20, 2019",drug violation, a student was found inpossession of marijuana,19-000557,"april 20, 2019",2143,reynold hall,case referred to student conduct
"april 21, 2019",burglary, a  gupd officer reported that anon gu affiliated subject entered a securedoffice with the intent to steal personalproperty,19-000560,"april 21, 2019",1906,icc,case pending investigation
"april 23, 2019",drug violation, a student was found inpossession of marijuana,19-000566,"april 23, 2019",1920,lxr,case closed with arrest ccn: 19-069221 /casereferred to student conduct
"april 23, 2019",drug violation, a student was found inpossession of cocaine,19-000,"april 23, 2019",1920,lxr,case closed with arrest ccn: 19-069221 /casereferred to student conduct
"april 24, 2019",drug violation, a student was found inpossession of marijuana,19-000569,"april 24, 2019",1836,nevils,case referred to student conduct
"april 27, 2019",drug violation, a non gu affiliate was foundin possession of marijuana,19-000586,"april 27, 2019",2050,cooper field,case closed subjects barred
"april 29, 2019",theft stolen auto, a  student reported thetheft of a moped scooter,19-000601,"april 29, 2019",1430,36th & prospect streetnorthwest,case handled by mpd ccn: 19-072904
"april 29, 2019",domestic violence stalking, a studentreported the that they were stalked,19-000602,"april 29, 2019",1217,arrupe hall,case referred to student conduct/ case handled by mpd ccn: 19-072956
"april 29, 2019",theft, a  student reported the theft of aprescription drug,19-000603,"april 13, 2019",NA,village c west,case referred to student conduct
"april 30, 2019",fondling, a hospital patient reported theywere fondled,19-0596 (gumh),"april 30, 2019",1552,gumh,case closed handled by gumhprotective services
"april 6, 2020",destruction of property,a gupd officer reported that anunknown suspect vandalized anexterior door,20-000498,"april 6, 2020",0705,reiss sciencebuilding,case pending investigation
"april 7, 2020",unlawful entry,a gupd officer  reported that theylocated a unauthorized non affiliateon campus who had previouslybeen barred,20-000502,"april 7, 2020",2345,leavey center,case closed with arrestccn: 20-056244
"april 10, 2020",burglary,a staff member reported that anunknown suspect gained access totheir unsecured residence and stoleus currency and alcohol,20-000508,"april 9, 2020",0015,harbin hall,case pending investigation
"april 11, 2020",drug violation,a student was found in possessionof marijuana,20-000510,"april 11, 2020",2202,alumni square,case referred to studentconduct
"april 11, 2020",destruction of property,a gupd officer reported that anunknown suspect vandalized aresidence,20-000511,"april 12, 2020",0452,"village ""a""",case pending investigation
"april 21, 2020",destruction of property,a gupd officer reported that anunknown suspect vandalized aninterior room,20-000522,"april 21, 2020",0150,new south hall,case referred to studentconduct
"april 21, 2020",unlawful entry,a gupd officer  reported that theylocated a unauthorized non affiliateon campus who had previouslybeen barred,20-000523,"april 21, 2020",1010,canal road,case closed with arrestccn: 20-061586
"april 22, 2020",burglary,a staff member reported that anunknown suspect gained access totheir secured office and stole acomputer monitor,20-000526,"april 21, 2020",1400,yates field house,unfounded computermonitor was returned04/23/2020
"april 26, 2020",unlawful entry,a gupd officer  reported that theylocated a unauthorized non affiliateon campus who had previouslybeen barred,20-000533,"april 26, 2020",1651,leavey center,case pending investigation
"april, 2021",NA,NA,NA,NA,NA,NA,NA
4-1-2021,unlawful entry,a gu affiliate reported that anaramark employee had reportedseeing two unauthorized subjectssleeping in the faculty club,21-000309,3/30/2021,0600,leavey centerfaculty club,pending furtherinvestigation
4-5-2021,theft,a gu staff member reported thetheft of cash from their backpack,21-000322,4/5/2021,0900,david performingarts center,pending furtherinvestigation
4-7-2021,theft,a gu staff member reported thetheft of personal items,21-000336,3/28/2021 - 4/3/2021,0900,cooper field,case closed: subjectidentified and terminatedfrom gu empolyment
4-7-2021,stalking,a gu student reported beingstalked and receiving unwantedemails from an ex-boyfriend,21-000338,september 2020 and4/5/2021,0400,online,pending furtherinvestigation
4-8-2021,burglary,"a gu student reported than anunknown individual entered theirunsecured townhouse, touched thestudent, and removed items fromthe residence before leaving",fi21-000030,4/8/2021,0630,1200 block of 35thst nw,pending furtherinvestigation handled bympd ccn: 21-044565
4-8-2021,unlawful entry,a gu student reported that anunknown individual entered theirresidence,fi21-000031,4/8/2021,0540,1900 block of 38thst nw,pending furtherinvestigation handled bympd ccn: 21-044496
4-12-2021,burglary,a gu staff member reported thetheft of his personal laptop from anunsecured room,21-000355,4/12/2021,1100,meddent,pending furtherinvestigation
4-12-2021,theft,a gu athletic staff memberreported the theft of an aed,21-000356,4/12/2021,1230,cooper field,pending furtherinvestigation
4-21-2021,theft,a gu hospital employee reportedthe theft of a bicycle,21-000379,4/21/2021,1216,reynolds hall bikerack,pending furtherinvestigation
4-23-2021,theft,a student reported the theft of abicycle,21-000381,4/20/2021,1208,o'donovan hallbike rack,pending furtherinvestigation
4-27-2021,theft,a gu affiliate reported the theft ofclothing and jewelry from theiroffice,21-000387,09/29/2020 and04/27/2021,1230,harris building,pending furtherinvestigation handled bympd ccn: 21-053716
4-29-2021,theft,a gu student reported the theft ofclothing,21-000391,04/27/2021 and04/28/2021,1900,davis performingarts center,pending furtherinvestigation
"august 1, 2017",theft, a gu affiliate reported thetheft of a parking permit,17-001068,"august 1, 2017",0700,parking lot g,case pending investigation
"august 1, 2017",theft, a gu affiliate reported thetheft of a bicycle,17-001073,"august 1, 2017",1845,hariri building,case pending investigation
"august 2, 2017",theft, a gu affiliate reported thetheft of a wallet,17-001076,"august 2, 2017",1400,healy familystudent center,case pending investigation
"august 3, 2017",theft, a gu staff member reportedthe theft of a bicycle,17-001079,"august 3, 2017",1654,gervase hall,case pending investigation
"august 5, 2017",destruction of property,  a gupdofficer reported that someonevandalized the elevator,17-001088,"august 5, 2017",0033,st mary's,case pending investigation
"august 5, 2017",burglary, a gu student reportedthat an unknown subject enteredtheir secured residence hall roomand stole a camera,17-001089,"august 5, 2017",1550,kennedy hall,case pending investigation
"august 7, 2017",disorderly conduct, a gu studentreported that while riding therosslyn shuttle towards the metrostation they were jostled by anunknown subject as the shuttlecrossed the key bridge,17-001091,"june 22, 2017",1945,key bridge,case pending investigation
"august 9, 2017",destruction of property,  a gupdaffiliate reported that someonevandalized the exterior of the carbarn,17-001096,"august 7, 2017",0700,car barn,case pending investigation
"august 10, 2017",theft, a gu staff member reportedthe theft of a parking permit,17-001100,"august 10, 2017",1630,hariri building,case pending investigation
"august 14, 2017",theft, a gu student reported thetheft of a bicycle,17-001105,"august 14, 2017",1920,kennedy hall,case pending investigation
"august 15, 2017",theft, a contractor reported thetheft of a dolly,17-001107,"august 15, 2017",1030,walsh courtyard,case pending investigation
"august 16, 2017",theft, a staff member reported thetheft of a bicycle,17-001110,"august 16, 2017",1140,gervase hall,case pending investigation
"august 17, 2017",theft, a staff member reported thetheft of a bicycle,17-001115,"august 17, 2017",1640,regents hall,case pending investigation
"august 18, 2017",theft, a non gu affiliate reportedthe theft of a jacket,17-001122,"august 18, 2017",1730,leavey center,case pending investigation
"august 21, 2017",theft, a staff member reported thetheft of a bicycle,17-001128,"august 14, 2017",1800,regents hall,case pending investigation
"august 24, 2017",theft, a contractor reported thetheft of a cellular phone,17-001143,"august 24, 2017",1820,o'donovan hall,case pending investigation
"august 25, 2017",theft, a student reported the theftof a bicycle,17-001149,"august 25, 2017",1140,hariri building,case pending investigation
"august 26, 2017",drug violation, a student wasfound in possession of marijuana,17-001157,"august 26, 2017",2312,"3600 block ""n""street northwest",case referred to studentconduct
"august 27, 2017",drug violation, a student wasfound in possession of marijuana,17-001165,"august 27, 2017",1328,village a,case referred to studentconduct
"august 27, 2017",drug violation, a student wasfound in possession of marijuana,17-001168,"august 27, 2017",2113,reynolds hall,case referred to studentconduct
"august 28, 2017",theft, a student reported the theftof us currency,17-001173,"august 28, 2017",1204,village c west,case pending investigation
"august 28, 2017",theft, a student reported the theftof personal property,17-001174,"august 24, 2017",1600,village a,case pending investigation
"august 29, 2017",alcohol violation, a underagestudent was in possession of aopen container of beer,17-001180,"august 29, 2017",0038,library walk,case referred to studentconduct
"august 29, 2017",theft, a hoya kids parent reportedthe theft of a stroller,17-001182,"august 29, 2017",0810,poulton hall,case pending investigation
"august 29, 2017",theft, a student reported the theftof a cellular phone,17-001185,"august 29, 2017",1530,new south hall,case pending investigation
"august 29, 2017",drug violation, a student wasfound in possession of marijuana,17-001186,"august 29, 2017",2131,reynolds hall,case referred to studentconduct
"august 31, 2017",theft, a gu student reported thetheft of a bicycle,17-001194,"august 30, 2017",0800,o'donovan hall,case pending investigation
"august 31, 2017",theft, a gu staff member reportedthe theft of a chair,17-001197,"august 31, 2017",1353,leavey center,case pending investigation
"august 31, 2017",identity theft, a officer stopped asuspicious person that presentedan identification with the name ofan known gu affiliate,17-001199,"august 31, 2017",1506,med dent,case pending investigation
"august 3, 2018",theft, a  gu affiliate reported thetheft of a laptop,18-000993,"august 2, 2018",0830,mccarthy hall,case pending investigation
"august 4, 2018",theft, a  gu affiliate reported thetheft of personal property,18-000994,"august 4, 2018",1530,healy familystudent center,case pending investigation/ unfounded property waslocated
"august 6, 2018",assault, a student reported thatthey were physically assaulted  andthreatened,18-001012,"august 5, 2018",1200,alumni square,case pending investigation
"august 6, 2018",dv aggravated assault, a studentreported that they were physicallyassaulted,tix-332,"august 5, 2018",NA,on campushousing,case pending investigation
"august 7, 2018",theft, a  gu affiliate reported thetheft of personal property,18-001005,"august 7, 2018",1200,pre-clinicalscience,case pending investigationhandled by mpd ccn; 18-130805
"august 8, 2018",burglary, a  staff member reportedthat an unknown suspect(s) gainedaccess to a secure area within thelibrary and attempted to pry open ainterior door.,18-001010,"august 8, 2018",1515,lauinger library,case pending investigation
"august 9, 2018",theft, a  student reported the theftof a bicycle,18-001013,"august 9, 2018",1000,o'donovan hall,case pending investigation
"august 10, 2018",theft, a  student reported the theftof electronic devices,18-001015,"august 10, 2018",1125,mccarthy hall,case pending investigation
"august 11, 2018",theft, a  gu affiliate reported thetheft of a wallet,18-001018,"august 11, 2018",1325,healy familystudent center,case pending investigation
"august 13, 2018",burglary, a  student reported thatan unknown suspect(s) gainedaccess to their unsecuredresidence and stole a television.,18-001022,"august 12, 2018",0800,henle village,case pending investigation
"august 15, 2018",burglary, a faculty memberreported that an unknownsuspect(s) gained access to theirsecured office and stole a laptop.,18-001028,"august 15, 2018",1530,davis performingarts center,case pending investigation
"august 15, 2018",burglary, a student reported thatan unknown suspect(s) gainedaccess to their secured residenceand stole golf clubs.,18-001029,"august 15, 2018",1700,3600 block ofprospect streetnorthwest,case pending investigation
"august 16, 2018",theft, a  gu affiliate reported thetheft of a bicycle,18-001030,"august 16, 2018",1520,yates field house,case pending investigation
"august 16, 2018",theft, a student reported the theftof a bicycle,18-001031,"august 16, 2018",1230,alumni square,case pending investigation
"august 18, 2018",drug violation, a student wasfound in possession of marijuana,18-001032,"august 18, 2018",0254,lisner,case referred to studentconduct
"august 18, 2018",theft, a student reported the theftof a bicycle,18-001034,"august 18, 2018",1830,leavey center,case pending investigation
"august 19, 2018",theft, a student reported the theftof a bicycle,18-001036,"august 19, 2018",1851,hariri building,case pending investigation
"august 22, 2018",uttering, a staff member reportedthat an unknown subject passed acounterfeit bill as payment forservices,18-001043,"august 22, 2018",1324,southwest quadgarage,case pending investigation
"august 22, 2018",theft, a staff member reported thetheft of a bicycle,18-001045,"august 22, 2018",1730,darnall hall,case pending investigation
"august 22, 2018",sexual assault, a student repotedthat they were sexually assaulted,tix-336,"december 18, 2017",NA,public propertyadjacent to oncampus (houseprospect street),case pending investigation
"august 23, 2018",burglary, a  student reported thatan unknown suspect(s) gainedaccess to a unsecured residenceand stole a couch.,18-001050,"august 23, 2018",1630,"3600 block of ""n""street northwest",unfounded property wasremoved by facilities andowner will be reimbursedcost
"august 23, 2018",burglary, a  student reported thatan unknown suspect(s) gainedaccess to a secured residence andstole electronic devices.,18-001051,"august 23, 2018",2000,"3600 block of ""n""street northwest",case pending investigation
"august 24, 2018",burglary, a  student reported thatan unknown suspect(s) gainedaccess to their secured residenceand stole a wallet.,18-001053,"august 24, 2018",1030,nevils kober,case pending investigationhandled by mpd ccn; 18-141377
"august 24, 2018",burglary, a  gu affiliate reportedthat an unknown suspect(s) gainedaccess to a unsecured office andstole wallets.,18-001054,"august 24, 2018",1400,medical & dentalbuilding,case pending investigationhandled by mpd ccn; 18-141511
"august 24, 2018",theft, a staff member reported thetheft of a cellular phone,18-001059,"august 24, 2018",2230,southwest quadgarage,case pending investigation
"august 25, 2018",theft, a gu affiliate reported thetheft of merchandise,18-001065,"august 25, 2018",1350,leavey centerbookstore,case pending investigation
"august 25, 2018",theft, a student reported the theftof personal property,18-001065,"august 24, 2018",1430,village c west,case pending investigation
"august 26, 2018",theft, a student reported the theftof a key,18-001070,"august 22, 2018",1500,alumni square,case pending investigation
"august 27, 2018",destruction of property, a gupdofficer reported that an unknownsubject vandalized the buildingwith spray paint.,18-001073,"august 27, 2018",0353,"village ""a""",case pending investigation
"august 29, 2018",theft, a staff member reported thetheft of clothing and shoes,18-001091,"august 21, 2018",2230,"building ""d""",case pending investigation
"august 29, 2018",stalking / harassment,  a studentreported that they had receivedseveral unwanted text messagesfrom an associate,18-001095,"august 29, 2018",2100,darnall hall,case pending investigation
"august 30, 2018",theft, a gu affiliate reported thetheft of merchandise,18-001098,"august 30, 2018",1010,leavey centerbookstore,case pending investigation
"august 30, 2018",drug violation, a student wasfound in possession of marijuana,18-001100,"august 30, 2018",1729,lisner,case referred to studentconduct
"august 31, 2018",drug violation, a student wasfound in possession of marijuana /assault,18-001110,"august 31, 2018",2230,lisner,case closed with onearrest ccn: 18-146400 /case referred to studentconduct
"august 2, 2019",burglary, a staff member reportedthat an unknown suspect gainedaccess to their secured office andstole a laptop,19-000983,"august 2, 2019",0705,car barn,case pending investigationhandled by mpd ccn: 19-132965
"august 3, 2019",stolen motor scooter, a studentreported the theft of a motorscooter,19-000985,"august 3, 2019",0600,new south hall,case pending investigation
"august 3, 2019",stolen motor scooter, a studentreported the theft of a motorscooter,19-000986,"august 2, 2019",2314,thompson athleticcenter,case pending investigation
"august 3, 2019",burglary, a summer studentreported that an unknown suspectgained access to their unsecuredresidence and stole a pairheadphones and a speaker,19-000987,"august 3, 2019",1720,kennedy hall,case pending investigation
"august 4, 2019",burglary, a student reported that anunknown suspect gained access totheir unsecured residence and stolea wallet,19-000989,"august 4, 2019",2130,copley hall,case pending investigation
"august 5, 2019",fraud (identity theft), a studentreported that they were the victim ofidentity theft,19-000991,"august 5, 2019",1030,copley hall,case pending investigationhandled by mpd ccn: 19-137792
"august 6, 2019",burglary, a student reported that anunknown suspect gained access totheir secured residence and stole awallet and laptop,19-000995,"june 25, 2019",2000,1400 block 37thstreet northwest,case pending investigation
"august 7, 2019",burglary, a staff member reportedthat an unknown suspect gainedaccess to their secured office andstole a figurine,19-000997,"august 7, 2019",0830,lauinger library,case pending investigation
"august 9, 2019",theft, a student reported the theftof a bicycle,19-001001,"august 9, 2019",1830,lauinger library llbike rack,case pending investigation
"august 13, 2019",theft, a staff member reported thetheft of two tents,19-001006,"august 12, 2019",0730,cooper field,case pending investigation
"august 14, 2019",threats, a staff member reportedthe they were verbally threatened,19-001011,"august 5, 2019",0800,mccarthy hall,case pending investigation
"august 14, 2019",theft, a student reported the theftof a bicycle,19-001013,"august 14, 2019",2400,hariri,case pending investigation
"august 15, 2019",burglary, a staff member reportedthat an unknown suspect gainedaccess to their secured office andattempted to steal personalproperty,19-001017,"august 14, 2019",1200,old north,case pending investigation
"august 16, 2019",burglary, a staff member reportedthat an unknown suspect gainedaccess to their secured office andstole a laptop,19-001021,"august 16, 2019",0653,new north,case pending investigationhandled by mpd ccn: 19-144782
"august 18, 2019",theft, a student reported the theftof a bicycle,19-001028,"august 18, 2019",1900,hariri,case pending investigation
"august 18, 2019",burglary, a staff member reportedthat an unknown suspect gainedaccess to their secured office andstole a laptop,19-001029,"august 18, 2019",1945,car barn,case pending investigationhandled by mpd ccn: 19-146504
"august 19, 2019",credit card fraud, a staff memberreported multiple unauthorizedtransactions on a university creditcard,19-001030,"august 9, 2019",0900,new research,case pending investigationhandled by mpd ccn: 19-146902
"august 19, 2019",credit card fraud, a staff memberreported multiple unauthorizedtransactions on a university creditcard,19-001031,"august 7, 2019",0900,new research,case pending investigationhandled by mpd ccn: 19-146902
"august 20, 2019",fraud, a student reported that theywere the victim of a check scam,19-001036,"august 20, 2019",0900,on campus,case pending investigation
"august 22, 2019",theft, a gu affiliate reported thetheft of food items,19-001042,"august 22, 2019",1940,darnall hall(epicureanrestaurant),complainant declined tomake criminal reportsubject was identified andbarred
"august 23, 2019",theft, a student reported the theftof a wallet,19-001044,"august 23, 2019",1150,mcdonoughgymnasium,case pending investigation
"august 23, 2019",theft, a student reported the theftof a cellular phone,19-001045,"august 23, 2019",1200,mcdonoughgymnasium,case pending investigation
"august 23, 2019",theft, a student reported the theftof a laptop,19-001049,"august 23, 2019",1250,leavey center,case pending investigation
"august 24, 2019",drug violation,  a student wasfound in possession of marijuana,19-001055,"august 24, 2019",2235,copley hall,case referred to studentconduct
"august 25, 2019",theft, a non affiliate reported thetheft of a wallet,19-001060,"august 25, 2019",0920,lauinger library,case pending investigation
"august 27, 2019",sexual assault, a survivor reportedthat they were sexually assaulted(fondling),tix-502,"august 26, 2019",NA,alumni square,case pending investigation
"august 27, 2019",stalking, a student reported thatthey were being stalked,tix-503,"august 1, 2019",NA,on campus,case pending investigation
"august 28, 2019",theft, a student reported the theftof a wallet,19-001084,"august 28, 2019",1930,icc,case pending investigation
"august 29, 2019",theft, a staff member reported thetheft of a parking pass,19-001086,"august 29, 2019",0830,southwest quadgarage,case pending investigation
"august 29, 2019",burglary, a staff member reportedthat an unknown suspect gainedaccess to their secured office andstole credit cards,19-001088,"august 28, 2019",1500,icc,case pending investigation
"august 29, 2019",burglary, a staff member reportedthat an unknown suspect gainedaccess to their secured office andstole a projector,19-001089,"august 29, 2019",0930,reiss science,case pending investigationhandled by mpd ccn: 19-153131
"august 30, 2019",unlawful entry,  a gupd officerreported that they located aunauthorized non affiliate oncampus who had been previouslybarred,19-001099,"august 30, 2019",1111,leavey center,case closed with arrestccn: 19-153860
august 2021,NA,NA,NA,NA,NA,NA,NA
8/2/2021,drug violation,a student was found in possessionof marijuana,21-000638,8/2/2021,1100,henle village,case referred to studentconduct
8/2/2021,drug violation,students were found in possessionof marijuana,21-000639,8/2/2021,1802,henle village,case referred to studentconduct
8/3/2021,defacing property/hatebias incident,"an unknown subject etched graffitiinto a restroom stall wall andutilized the word ""fag""",21-000644,8/3/2021,2123,lxr,case pending investigation
8/3/2021,rape,a student reported that they weresexually assaulted,NA,11/10/2007,NA,"village ""a""",case handled by mpdccn: 21-108563
8/4/2021,drug violation,a student was found in possessionof marijuana,21-000646,8/4/2021,1120,henle village,case referred to studentconduct
8/5/2021,theft ii,a student reported the theft of anelectronic device,21-000649,8/4/2021,1600,"village ""a""",case pending investigation
8/6/2021,theft ii,a student reported the theft of apurse containing personal items,21-000652,8/4/2021,2130,"village ""c""",case pending investigation
8/11/2021,theft ii,a student reported the theft of anelectronic device,21-000670,8/11/2021,1430,"village ""c""",case pending investigation
8/12/2021,burglary,a student reported that anunknown suspect gained access totheir secured residence and stolepersonal property,21-000675,7/30/2021,1600,henle village,case pending investigation
8/18/2021,possession of aprohibited weapon,a loaded firearm was found in aresidence hall,21-000705,8/18/2021,0953,alumni square,case handled by mpdccn: 21-116769; casereferred to studentconduct
8/19/2021,drug violation,a student was found in possessionof marijuana,21-000708,8/19/2021,0920,reynolds hall,case referred to studentconduct
8/20/2021,theft,a student reported that anunknown suspect gained access tothe secured store and stole varioussnacks,21-000718,8/20/2021,0200,southwest quad,case pending investigation
8/20/2021,burglary,a student reported that anunknown suspect gained access tothe secured store and stole varioussnacks,21-000723,8/20/2021,0729,southwest quad,case pending investigation
8/20/2021,stalking (dv),a non gu affiate reported they theywere being stalked by their ex-boyfriend,21-000719,8/20/2021,1050,o'dpnovan hall,case handled by mpdccn: 21-117576
8/20/2021,theft ii,"a student reported the theft ofcash, keys, and gocard from theirpurse",21-000720,8/20/2021,0845,medical & dentalbuilding,case pending investigation
8/22/2021,theft ii,a student reported the theft of abicycle,21-000732,8/21/2021,0925,darnell hall,case pending investigation
8/24/2021,theft ii,a student reported the theft of abicycle,21-000748,8/23/2021,1430,issac hawkins hall,case pending investigation
8/24/2021,theft ii,a student reported the theft of awallet,21-000749,8/24/2021,1100,epicureanresturant,case pending investigation
8/24/2021,theft ii,a student reported the theft of abackpack containing personalitems,21-000755,8/24/2021,1100,car barn,case pending investigation
8/25/2021,rape,a student reported that they weresexually assaulted,title ix - 810,7/11/2021,NA,"village ""c""",NA
8/26/2021,theft,a gu staff member reported thetheft of an ipad,21-000769,8/26/2021,1315,2115 wisconsinave nw,case pending investigation
8/27/2021,theft ii,a student reported the theft of abicycle,21-000773,8/27/2021,0826,darnell hall,case pending investigation
8/27/2021,theft ii,a gu affliate reported the theft of aparking permit,21-000774,8/26/2021,1200,leavey centergarage,case pending investigation
8/27/2021,simple assault,a student reported that they werephysically assaulted,21-000776,8/23/2021,2200,"village ""a""`",case referred to studentconduct
8/27/2021,theft ii,a student reported the theft of aduffle bag containing personalproperty,21-000778,8/24/2021,2130,leavey centerhotel lobby,case pending investigation
8/28/2021,theft ii,a student reported the theft of abicycle,21-000791,8/28/2021,1330,copley hall,case pending investigation
8/28/2021,theft ii,a student reported the theft of abicycle,21-000792,8/27/2021,1938,leavey centerbicycle rack(tondorf road),case pending investigation
8/29/2021,theft ii,a student reported the theft of abicycle,21-000802,8/28/2021,0155,lauinger librarylower levelbicycle rack,case pending investigation
8/29/2021,theft ii,a student reported the theft of anelectric scooter,21-000805,8/29/2021,1915,lxr (35th streetbicycle rack),case pending investigation
8/30/2021,unlawful entry,a student reported that anunknown person entered herresidence while she was away,21-000811,8/30/2021,1300,arrupe hall,case pending investigation
8/31/2021,harassment,a student reported being harassedby another student,21-000822,8/31/2021,2038,new south hall,case pending investigation
"august 7, 2020",theft i: dc code 22-3211(a),a gu employee reported the theftof a motor scooter,20-000701,"august 2, 2020",1707,lauinger library llbicycle rack,case pending investigation
"august 7, 2020",theft ii: dc code 22-3211(b),a staff member reported the theft ofa cellular phone and gocard,20-000703,"august 7, 2020",1450,southwest quad,case pending investigation
"august 12, 2020",burglary: dc code 22-801 (b),a staff member reported that anunknown suspect gained access toa secured office and stole multipletools,20-000709,"august 12, 2020",0900,new researchbuilding,case pending investigation
"august 12, 2020",theft ii: dc code 22-3211(b),a staff member reported the theft ofa bicycle seat,20-000711,"august 4, 2020",0014,gervase bicyclerack,case pending investigation
"august 13, 2020",burglary: dc code 22-801 (b),a staff member reported that anunknown suspect gained access toa secured office and stole mask,20-000714,"august 12, 2020",0900,medical & dentalbuilding,case pending investigation
"august 13, 2020",burglary: dc code 22-801 (b),a staff member reported that anunknown suspect gained access toa secured office and stole mask,20-000714,"may 1, 2020",0900,medical & dentalbuilding,case pending investigation
"august 14, 2020",theft i: dc code 22-3211(a),a gu affiliate reported the theft of aez-go golf cart,20-000715,"august 14, 2020",0900,harbin hall,case pending investigation
"august 15, 2020",theft ii: dc code 22-3211(b),a student reported the theft of abicycle,20-000717,"august 15, 2020",0001,alumni square,case pending investigation
"august 21, 2020",burglary: dc code 22-801 (b),a staff member reported that anunknown suspect gained access toa secured office and stole a laptopcomputer,20-000726,"august 21, 2020",1015,icc,case pending investigation
"august 22, 2020",theft i: dc code 22-3211(a),a student reported the theft of amotor scooter,20-000729,"august 22, 2020",1720,southwest quado'donovan hallbicycle rack,case pending investigation
"august 23, 2020",burglary: dc code 22-801 (b),a gupd officer reported that anunknown suspect gained access toa secured building and vandalizeda secured cabinet,20-000732,"august 23, 2020",1923,leavey center,case pending investigation
"august 31, 2020",threats to do bodilyharm,a staff member reported that theyreceived a threatening phonemessage,20-000747,"august 27, 2020",2100,medical & dentalbuilding,case pending investigation
"december 6, 2017",theft, a  gu affiliate reported thetheft of merchandise,17-001934,"december 5, 2017",1330,leavey centerbookstore,case closed with (1) arrestccn; 17-210546
