natures_of_crimes,case_numbers,date_reported,time_reported,date_occurred,time_occurred,general_location,disposition,year_reported,year_occured
Fire Alarm Activation,17-0422,NA,6:55am,NA,7:00am,pharmacy,inactive,NA,NA
Injured Person,17-0423,NA,8:48am,NA,8:48am,service center,active,NA,NA
Sick Person,17-0424,NA,9:21am,NA,2:22am,off campus,inactive,NA,NA
Sick Person,17-0425,NA,9:45am,NA,9:45am,service center,inactive,NA,NA
Damaged Property,17-0426,NA,4:34pm,NA,4:55pm,bookstore,inactive,NA,NA
Fire Alarm Activation,17-0427,NA,5:08pm,NA,4:00pm,student health clinic,inactive,NA,NA
Found Property,17-0428,NA,7:37am,NA,7:37am,college hall south,inactive,NA,NA
Sick Person,17-0429,NA,4:39pm,NA,4:20pm,hu hospital,inactive,NA,NA
Miscellaneous,17-0430,NA,6:49pm,NA,6:35pm,hu hospital,inactive,NA,NA
Sick Person,17-0431,NA,1:01pm,NA,11:00am,hu hospital,inactive,NA,NA
Fire Alarm Activation,17-0432,NA,2:41pm,NA,2:20pm,social work,inactive,NA,NA
Kidnapping,17-0433,NA,3:32pm,NA,3:32pm,college hall north,active,NA,NA
Theft 1,17-0434,NA,10:54pm,NA,10:50pm,drew hall,active,NA,NA
Lost Property,17-0435,NA,11:04am,NA,9:00am,hu hospital,inactive,NA,NA
Fire Alarm Activation,17-0436,NA,10:51pm,NA,10:45pm,cook hall,inactive,NA,NA
Sick Person,17-0437,NA,11:20am,NA,11:20am,quadrangle hall,inactive,NA,NA
Indecent Exposure,17-0438,NA,12:30pm,NA,12:30pm,chemistry building,active,NA,NA
Damaged Property,17-0439,NA,3:31pm,NA,3:45pm,greene stadium,inactive,NA,NA
Stolen Auto,17-0440,NA,6:13pm,NA,6:30pm,banneker south parking lot,active,NA,NA
Theft 2,17-0441,NA,11:00am,NA,9:50am,hu hospital,active,NA,NA
Damaged Property,17-0442,NA,11:50am,NA,11:56am,greene stadium,inactive,NA,NA
Injured Person,17-0443,NA,10:44pm,NA,10:45pm,mental health clinic,active,NA,NA
Credit Card Fraud,17-0444,NA,1:27pm,NA,1:30pm,quadrangle hall,active,NA,NA
Theft 1,17-0445,NA,1:52pm,NA,1:55pm,bethune annex,active,NA,NA
Lost Property,17-0446,NA,3:51pm,NA,3:55pm,drew hall,inactive,NA,NA
Fire Alarm Activation,17-0447,NA,3:48pm,NA,3:53pm,cook hall,inactive,NA,NA
Drug Possession,17-0448,NA,7:58pm,NA,7:50pm,hu hospital,active,NA,NA
Theft from Auto,17-0449,NA,10:01am,NA,9:40am,off campus,inactive,NA,NA
Sick Person,17-0450,NA,1:17pm,NA,1:18pm,drew hall,inactive,NA,NA
Miscellaneous,17-0451,NA,6:34pm,NA,6:34pm,wonder plaza,inactive,NA,NA
Sick Person,17-0452,NA,8:38pm,NA,8:00pm,hu hospital,inactive,NA,NA
Injured Person,17-0453,NA,8:44pm,NA,10:58pm,service center,active,NA,NA
Fire Alarm Activation,17-0454,NA,11:51pm,NA,11:51pm,college hall south,inactive,NA,NA
Fire Alarm Activation,17-0455,NA,12:40am,NA,12:40am,bethune annex,inactive,NA,NA
Suspicious Odor,17-0456,NA,5:25am,NA,5:26am,drew hall,active,NA,NA
Lost Property,17-0457,NA,11:39am,NA,12:00am,college hall south,inactive,NA,NA
Verbal Dispute,17-0458,NA,2:02pm,NA,1:12pm,hu hospital,active,NA,NA
Sick Person,17-0459,NA,2:45pm,NA,2:43pm,student health clinic,inactive,NA,NA
Theft from Auto,17-0460,NA,4:05pm,NA,2:30pm,6th & st. nw,active,NA,NA
Theft 2,17-0461,NA,3:25pm,NA,3:30pm,wonder plaza,active,NA,NA
Sick Person,17-0462,NA,3:58pm,NA,3:45pm,student health clinic,inactive,NA,NA
Vehicle Accident,17-0463,NA,12:13pm,NA,1:05pm,public space,inactive,NA,NA
Sick Person,17-0464,NA,7:00pm,NA,7:00pm,hu hospital,inactive,NA,NA
Fire Alarm Activation,17-0465,NA,7:00pm,NA,7:11pm,college hall south,inactive,NA,NA
Loud Noise,17-0466,NA,2:14am,NA,11:59pm,off campus,inactive,NA,NA
Student Misconduct,17-0467,NA,8:27pm,NA,8:24pm,a-1 rear parking lot,active,NA,NA
Hazardous Water Leak,17-0468,NA,1:45pm,NA,1:46pm,college of dentistry,inactive,NA,NA
Theft from Auto,17-0469,NA,8:42am,NA,8:45am,drew hall,active,NA,NA
Lost Property,17-0470,NA,11:37am,NA,11:15am,mudd building,inactive,NA,NA
Miscellaneous,17-0471,NA,3:13pm,NA,3:39pm,hu hospital,inactive,NA,NA
Unlawful Entry,17-0472,NA,10:15pm,NA,10:15pm,west campus,active,NA,NA
Fire Alarm Activation,17-0473,NA,10:15pm,NA,10:15pm,college hall north,inactive,NA,NA
Domestic Incident,17-0474,NA,12:31pm,NA,12:31pm,mudd building,inactive,NA,NA
Damaged Property,17-0475,NA,1:05m,NA,1:05m,main yard,inactive,NA,NA
Sick Person,17-0476,NA,1:05pm,NA,11:50am,hu hospital,inactive,NA,NA
Miscellaneous,17-0477,NA,2:21pm,NA,11:00am,main gate,inactive,NA,NA
Threats to do Bodily Harm,17-0478,NA,2:05pm,NA,2:05pm,hu hospital,active,NA,NA
Theft 2,17-0479,NA,5:14pm,NA,4:07pm,howard hospital,active,NA,NA
Fire Alarm Activation,17-0480,NA,9:46pm,NA,7:07pm,howard plaza towers,inactive,NA,NA
Sick Person,17-0481,NA,12:26am,NA,12:32am,hu hospital,inactive,NA,NA
Student Misconduct,17-0482,NA,NA,NA,1:02am,howard plaza towers,active,NA,NA
Student Misconduct,17-0483,NA,1:50am,NA,1:30am,howard plaza towers,active,NA,NA
Unlawful Entry,17-0484,NA,5:16am,NA,12:40am,hu hospital,active,NA,NA
Sick Person,17-0485,NA,11:12am,NA,11:12am,hu hospital,inactive,NA,NA
Miscellaneous,17-0486,NA,11:12am,NA,11:47am,howard service center,inactive,NA,NA
Unlawful Entry,17-0487,NA,2:15pm,NA,12:55pm,"2719 ga. ave., nw,",inactive,NA,NA
Verbal Dispute,17-0488,NA,4:31pm,NA,4:40pm,slowe hall,active,NA,NA
NO Report,17-0489,NA,5:23pm,NA,5:23pm,howard university hospital,active,NA,NA
Found Property,17-0490,NA,11:44pm,NA,11:45pm,college hall south,inactive,NA,NA
Suspicious Odor,17-0491,NA,9:11am,NA,8:30am,slowe hall,active,NA,NA
Indecent Exposure,17-0492,NA,9:11am,NA,8:30am,chemistry building,active,NA,NA
Miscellaneous,17-0493,NA,10:43pm,NA,10:43pm,college hall south,inactive,NA,NA
Miscellaneous,17-0494,NA,2:54pm,NA,3:45pm,college hall north,inactive,NA,NA
Sick Person,17-0495,NA,5:00pm,NA,5:00pm,college hall south,inactive,NA,NA
Assault on a Police Officer,17-0496,NA,9:49pm,NA,9:27pm,howard university hospital,active,NA,NA
Fire Alarm Activation,17-0497,NA,12:27am,NA,12:30am,wonder plaza,inactive,NA,NA
Disoderly Conduct,17-0498,NA,6:58am,NA,6:01am,howard university hospital,active,NA,NA
Sick Person,17-0499,NA,11:53am,NA,11:45am,howard university hospital,inactive,NA,NA
Damaged Property,17-0500,NA,12:01pm,NA,11:55am,college hall south,inactive,NA,NA
Hazardous Water Leak,17-0501,NA,12:20pm,NA,12:10pm,west campus,inactive,NA,NA
Sick Person,17-0502,NA,1:57pm,NA,1:50pm,howard university hospital,inactive,NA,NA
Miscellaneous,17-0503,NA,11:10pm,NA,11:20pm,main gate,inactive,NA,NA
Student Misconduct,17-0504,NA,4:02pm,NA,4:02pm,college hall north,inactive,NA,NA
Miscellaneous,17-0505,NA,1:28am,NA,1:15am,howard university hospital,inactive,NA,NA
Disorderly Conduct,17-0506,NA,9:54am,NA,9:54am,howard university hospital,active,NA,NA
Injured Person,17-0507,NA,9:57am,NA,8:48am,howard university hospital,active,NA,NA
Sick Person,17-0508,NA,1:50pm,NA,10:50am,howard university hospital,inactive,NA,NA
Domestic Incident,17-0509,NA,1:12pm,NA,1:12pm,stokes library,active,NA,NA
Theft 1,17-0510,NA,4:07pm,NA,4:20pm,howard university hospital,active,NA,NA
Damaged Property,17-0511,NA,4:01pm,NA,4:00pm,whut,inactive,NA,NA
Unlawful Entry,17-0512,NA,9:12pm,NA,6:33pm,howard university hospital,active,NA,NA
Found Property,17-0513,NA,7:41am,NA,7:41am,douglass hall,inactive,NA,NA
Theft from Auto,17-0514,NA,12:43pm,NA,12:44pm,howard manor,active,NA,NA
Damaged Property,17-0515,NA,2:34pm,NA,1:03pm,howard university hospital,inactive,NA,NA
Threats,17-0516,NA,2:20pm,NA,2:34pm,douglass hall,active,NA,NA
Sick Person,17-0517,NA,10:08pm,NA,5:05pm,howard university hospital,inactive,NA,NA
Sick Person,17-0518,NA,10:11pm,NA,10:11pm,howard university hospital,inactive,NA,NA
Sick Person,17-0519,NA,6:43am,NA,6:50am,hurb-1,inactive,NA,NA
Suspicious Odor,17-0520,NA,7:14am,NA,7:14am,houston hall,active,NA,NA
Injured Person,17-0521,NA,10:14am,NA,9:55am,howard university hospital,active,NA,NA
Sick Person,17-0522,NA,10:49am,NA,11:00am,chemistry building,inactive,NA,NA
Sick Person,17-0523,NA,10:58am,NA,10:58am,administration building,inactive,NA,NA
Vehicle Accident,17-0524,NA,11:25am,NA,11:25am,4th st. nw,active,NA,NA
Sick Person,17-0525,NA,3:19pm,NA,2:51pm,howard university hospital,inactive,NA,NA
Damaged Property,17-0526,NA,8:01am,NA,11:15am,6th street nw,inactive,NA,NA
Injured Person,17-0527,NA,1:44pm,NA,11:47am,howard university hospital,inactive,NA,NA
Hazardous Water Leak,17-0528,NA,1:44pm,NA,1:44pm,howard university hospital,inactive,NA,NA
Simple Assault,17-0529,NA,4:04pm,NA,4:05pm,quadrangle hall,active,NA,NA
Fire Alarm Activation,17-0530,NA,8:07pm,NA,8:05pm,mudd building,inactive,NA,NA
Sick Person,17-0531,NA,10:53am,NA,10:50am,howard university hospital,inactive,NA,NA
Sick Person,17-0532,NA,3:16pm,NA,1:28pm,howard university hospital,inactive,NA,NA
Injured Person,17-0533,NA,4:32pm,NA,4:17pm,administration building,active,NA,NA
Injured Person,17-0534,NA,4:10pm,NA,4:04pm,douglass hall,active,NA,NA
Sick Person,17-0535,NA,11:53pm,NA,12:30am,blackburn center,inactive,NA,NA
Student Misconduct,17-0536,NA,12:27am,NA,12;27am,college hall south,active,NA,NA
Fire Alarm Activation,17-0537,NA,1:15am,NA,1:16am,quadrangle hall,inactive,NA,NA
Attempted Suicide,17-0538,NA,3:09am,NA,3:09am,college hall south,active,NA,NA
Damaged Property,17-0539,NA,3:00am,NA,3:00am,howard plaza towers,inactive,NA,NA
Student Misconduct,17-0540,NA,4:31pm,NA,4:30pm,quadrangle hall,active,NA,NA
Sick Person,17-0541,NA,6:19pm,NA,6:20pm,cramton auditorium,inactive,NA,NA
Unlawful Entry,17-0542,NA,11:37pm,NA,12:50am,howard plaza towers,active,NA,NA
Verbal Dispute,17-0543,NA,1:54pm,NA,2:16pm,off campus,active,NA,NA
Disorderly Conduct,17-0544,NA,7:21pm,NA,6:15pm,howard university hospital,active,NA,NA
Theft 1,17-0545,NA,2:00am,NA,2:00am,college hall south,active,NA,NA
NO Report,17-0546,NA,7:39am,NA,7:39am,on campus,inactive,NA,NA
Sick Person,17-0547,NA,7:39am,NA,7:39am,howard plaza towers,inactive,NA,NA
Theft from Auto,17-0548,NA,6:32pm,NA,12:00am,2400 blk of 6th street nw,NA,NA,NA
Student Misconduct,17-0549,NA,9:08pm,NA,9:08pm,engineering building,active,NA,NA
Sick Person,17-0550,NA,5:18pm,NA,4:00pm,howard university hospital,inactive,NA,NA
Domestic Violence,17-0551,NA,9:47pm,NA,11:34pm,mcdonald’s,inactive,NA,NA
Sick Person,17-0552,NA,10:36am,NA,9:50am,howard university hospital,inactive,NA,NA
Sick Person,17-0553,NA,10:42am,NA,10:23am,howard university hospital,inactive,NA,NA
Verbal Dispute,17-0554,NA,11:39am,NA,11:51am,slowe hall,active,NA,NA
Sick Person,17-0555,NA,12:36pm,NA,12:40pm,bethune annex,inactive,NA,NA
Sick Person,17-0556,NA,1:44pm,NA,1:12pm,howard university hospital,inactive,NA,NA
Injured Person,17-0557,NA,12:47pm,NA,12:47pm,mudd building,active,NA,NA
Vehicle Accident,17-0558,NA,2:26pm,NA,2:35pm,howard university hospital,active,NA,NA
Damaged Property,17-0559,NA,5:57pm,NA,5;34pm,howard university hospital,inactive,NA,NA
Domestic Violence,17-0560,NA,9:51pm,NA,9:51pm,slowe hall,active,NA,NA
Injured Person,17-0561,NA,10:45pm,NA,10:20pm,howard university hospital,active,NA,NA
Sick Person,17-0562,NA,10:49pm,NA,10:30pm,howard university hospital,inactive,NA,NA
Fire Alarm Activation,17-0563,NA,11:52pm,NA,11:54pm,slowe hall,inactive,NA,NA
Sick Person,17-0564,NA,1:11am,NA,1:09am,howard university hospital,inactive,NA,NA
Lost Property,17-0565,NA,11:26am,NA,11:28pm,i-lab,inactive,NA,NA
Miscellaneous,17-0566,NA,1:22pm,NA,1:22pm,mudd building,inactive,NA,NA
Theft from Auto,17-0567,NA,3:06pm,NA,3:50pm,upper campus,active,NA,NA
Vehicle Accident,17-0568,NA,4:37pm,NA,4:30pm,lower campus,active,NA,NA
Theft 1,17-0569,NA,9:34pm,NA,8:05pm,bethune annex,active,NA,NA
Theft 2,17-0570,NA,10:08pm,NA,6:45pm,slowe hall,active,NA,NA
Miscellaneous,17-0571,NA,8:42am,NA,8:30am,engineering building,inactive,NA,NA
NO Report,17-0572,NA,NA,NA,NA,,NA,NA,NA
Injured Person,17-0573,NA,1:18pm,NA,1:18pm,blackburn center,active,NA,NA
Found Property,17-0574,NA,1:55pm,NA,1:56pm,blackburn center,inactive,NA,NA
Sick Person,17-0575,NA,2:24pm,NA,2:15pm,howard university hospital,inactive,NA,NA
Sick Person,17-0576,NA,7:22pm,NA,7:15pm,howard university hospital,inactive,NA,NA
Threats to do Bodily Harm,17-0577,NA,9:31pm,NA,9:31pm,college of dentistry,active,NA,NA
Sick Person,17-0578,NA,12:09am,NA,12:11am,quadrangle hall,inactive,NA,NA
Hazardous Water Leak,17-0579,NA,12:35am,NA,12:35am,pharmacy building,inactive,NA,NA
Loud Noise,17-0580,NA,1:57am,NA,1:57am,off campus,active,NA,NA
Miscellaneous,17-0581,NA,11:10am,NA,10:40am,hu hospital,inactive,NA,NA
NO Report,17-0582,NA,NA,NA,NA,,NA,NA,NA
Student Misconduct,17-0583,NA,11:51am,NA,11:53am,drew hall,active,NA,NA
Domestic Violence,17-0584,NA,12:11pm,NA,12:05pm,howard university hospital,active,NA,NA
Lost Property,17-0585,NA,9:27pm,NA,9:27pm,bethune annex,inactive,NA,NA
Miscellaneous,17-0586,NA,8:45pm,NA,7:35pm,howard university hospital,inactive,NA,NA
Fire Alarm Activation,17-0587,NA,11:49pm,NA,11:15pm,howard university hospital,inactive,NA,NA
Sick Person,17-0588,NA,3:09am,NA,2:50am,howard university hospital,inactive,NA,NA
Sick Person,17-0589,NA,10:05am,NA,9:24am,howard university hospital,inactive,NA,NA
Injured Person,17-0590,NA,1:24pm,NA,1:40pm,chemistry building,active,NA,NA
Miscellaneous,17-0591,NA,9:56am,NA,10:00am,bethune annex,inactive,NA,NA
Damaged Property,17-0592,NA,9:59pm,NA,10:47pm,upper campus,inactive,NA,NA
Attempted Theft,17-0593,NA,9:42am,NA,9:43am,bookstore,active,NA,NA
Theft from Auto,17-0594,NA,10:19am,NA,10:19am,upper campus,active,NA,NA
Sick Person,17-0595,NA,11:19am,NA,11:19am,student health clinic,inactive,NA,NA
Simple Assault,17-0596,NA,4:11pm,NA,3:45pm,off campus,active,NA,NA
Sick Person,17-0597,NA,6:12pm,NA,4:20pm,howard university hospital,inactive,NA,NA
Unlawful Entry,17-0598,NA,3:16pm,NA,3:25pm,slowe hall,active,NA,NA
Damaged Property,17-0599,NA,9:11pm,NA,5:56pm,a-1 rear parking lot,inactive,NA,NA
Sexual Assault,17-0600,NA,7:59am,NA,7:59am,off campus,active,NA,NA
Found Property,17-0601,NA,10:04am,NA,10:05am,main gate,inactive,NA,NA
Fire Alarm Activation,17-0602,NA,9:05am,NA,9:05am,founders library,inactive,NA,NA
Theft from Auto,17-0603,NA,6:22pm,NA,6:20pm,300 block of college st.,active,NA,NA
Sick Person,17-0604,NA,3:56pm,NA,4:40pm,howard university hospital,inactive,NA,NA
Damaged Property,17-0605,NA,8:30pm,NA,8:30pm,burr gymnasium ,inactive,NA,NA
Sick Transport,17-0606,NA,12:01am,NA,12:04am,upper campus ,inactive,NA,NA
Fire Alarm Activation,17-0607,NA,2:57pm,NA,2:58pm,cook hall ,inactive,NA,NA
Sick Person,17-0608,NA,5:39pm,NA,5:29pm,howard university hospital ,inactive,NA,NA
Lost Property,17-0609,NA,6:21pm,NA,6:34pm,bethune annex ,inactive,NA,NA
Simple Assault,17-0610,NA,12:01am,NA,11:50pm,quadrangle hall ,active,NA,NA
Miscellaneous,17-0611,NA,5:44am,NA,5:30am,howard university hospital ,inactive,NA,NA
Fire Alarm Activation,17-0612,NA,10:21am,NA,10:20am,service center ,active,NA,NA
Student Misconduct,17-0613,NA,11:17am,NA,10:00am,howard university service cen ,active,NA,NA
Lost Property,17-0614,NA,2:12pm,NA,11:50am,howard university hospital ,inactive,NA,NA
Theft 2,17-0615,NA,2:14pm,NA,2:51pm,locke hall ,active,NA,NA
Threats,17-0616,NA,5:43pm,NA,5:43pm,annex 1 ,active,NA,NA
Lost Property,17-0617,NA,5:46pm,NA,5:50pm,school of business ,inactive,NA,NA
Fire Alarm Activation,17-0618,NA,6:55pm,NA,6:55pm,cook hall ,inactive,NA,NA
Student Misconduct,17-0619,NA,11:45am,NA,11:45am,service center ,active,NA,NA
Fire Alarm Activation,17-0620,NA,1:00pm,NA,1:00pm,college hall south ,inactive,NA,NA
Damaged Property,17-0621,NA,1:33pm,NA,1:40pm,mackey lot ,inactive,NA,NA
Sick Person,17-0622,NA,5:14pm,NA,5:11pm,howard university hospital ,inactive,NA,NA
Found Property,17-0623,NA,5:16pm,NA,5:25pm,service center ,inactive,NA,NA
Suspicious Odor,17-0624,NA,5:57pm,NA,7:51pm,student health center ,active,NA,NA
NO Report,17-0625,NA,NA,NA,NA,NA,NA,NA,NA
Sick Person,17-0626,NA,1:59am,NA,1:50pm,howard university hospital ,inactive,NA,NA
Stolen Auto,17-0627,NA,5:15pm,NA,5:45pm,howard plaza towers/east ,active,NA,NA
NO Report,17-0628,NA,NA,NA,NA,NA,NA,NA,NA
Sick Person,17-0629,NA,1:00am,NA,1:00pm,drew hall ,inactive,NA,NA
Lost Property,17-0630,NA,11:58pm,NA,11:58pm,lower campus ,inactive,NA,NA
Theft from Auto,17-0631,NA,7:40am,NA,7:50am,college hall south ,active,NA,NA
NO Report,17-0632,NA,NA,NA,NA,NA,NA,NA,NA
Lost Property,17-0633,NA,3:25pm,NA,4:20pm,howard plaza towers ,inactive,NA,NA
Theft 2,17-0634,NA,3:49pm,NA,5:04pm,college hall south ,active,NA,NA
Miscellaneous,17-0635,NA,8:40pm,NA,8:40pm,i-lab ,inactive,NA,NA
Hazardous Elevator,17-0636,NA,7:35am,NA,7:35am,carnegie building ,inactive,NA,NA
NO Report,17-0637,NA,NA,NA,NA,NA,NA,NA,NA
Sick Person,17-0638,NA,8:16am,NA,12:20pm,quadrangle hall ,inactive,NA,NA
Theft 2,17-0640,NA,1:12pm,NA,12:36pm,howard university hospital,active,NA,NA
Fire Alarm Activation,17-0641,NA,6:01pm,NA,6:00pm,college hall north,inactive,NA,NA
Found Property,17-0642,NA,10:18pm,NA,9:55pm,blackburn center,inactive,NA,NA
Fire Alarm Activation,17-0643,NA,9:53am,NA,9:08am,howard university hospital,inactive,NA,NA
Hazardous Elevator,17-0644,NA,12:08pm,NA,12:08pm,howard plaza towers,inactive,NA,NA
Fire Alarm Activation,17-0645,NA,2:24pm,NA,2:35pm,cook hall,inactive,NA,NA
Fire Alarm Activation,17-0646,NA,7:29pm,NA,7:31pm,college hall south,inactive,NA,NA
Loud Noise,17-0647,NA,5:27am,NA,3:00am,off campus,active,NA,NA
Damaged Property,17-0648,NA,10:11a,NA,1:24pm,howard university hospital,inactive,NA,NA
Sick Person,17-0649,NA,10:11am,NA,1:24pm,bookstore,inactive,NA,NA
Theft 2,17-0650,NA,10:16am,NA,12:11pm,howard center,active,NA,NA
Sick Person,17-0651,NA,11:31am,NA,11:20am,howard university hospital,inactive,NA,NA
Lost Property,17-0652,NA,2:19pm,NA,2:25pm,school of business,inactive,NA,NA
Damaged Property,17-0653,NA,10:13am,NA,9:53am,howard university hospital,inactive,NA,NA
Fire Alarm Activation,17-0654,NA,11:31am,NA,11:31am,college hall north,inactive,NA,NA
Damaged Property,17-0655,NA,9:54am,NA,9:25am,howard university hospital,inactive,NA,NA
Indecent Exposure,17-0656,NA,11:12am,NA,11:00am,chemistry building,active,NA,NA
Lost Property,17-0657,NA,2:20pm,NA,3:00pm,off campus,inactive,NA,NA
Unlawful Entry,17-0658,NA,3:53pm,NA,3:53pm,locke hall,active,NA,NA
Miscellaneous,17-0659,NA,10:07am,NA,5:05pm,business district,inactive,NA,NA
NO Report,17-0660,NA,NA,NA,NA,,NA,NA,NA
Injured Person,17-0661,NA,1:54pm,NA,1:54pm,mackey lot,active,NA,NA
Miscellaneous,17-0662,NA,4:51pm,NA,9:15pm,off campus,inactive,NA,NA
Sick Person,17-0663,NA,5:38pm,NA,5:32pm,huh child care,inactive,NA,NA
Theft from Auto,17-0664,NA,8:38pm,NA,8:38pm,upper campus,active,NA,NA
Student Misconduct,17-0665,NA,10:24pm,NA,10:20pm,engineering building,active,NA,NA
Loud Noise,17-0666,NA,12:36am,NA,12:37am,off campus,active,NA,NA
Lost Property,17-0667,NA,8:01am,NA,8:06am,banneker field,inactive,NA,NA
Miscellaneous,17-0668,NA,8:33am,NA,8:45am,admininstration building,inactive,NA,NA
NO Report,17-0669,NA,NA,NA,NA,,NA,NA,NA
Fire Alarm Activation,17-0670,NA,4:23pm,NA,4:23pm,founders library,inactive,NA,NA
Sick Person,17-0671,NA,10:15pm,NA,10:10pm,howard university hospital,inactive,NA,NA
Miscellaneous,17-0672,NA,12:59am,NA,12:59am,bethune annex,inactive,NA,NA
Disoderly Conduct,17-0673,NA,4:04am,NA,3:50am,cook hall,active,NA,NA
Damaged Property,17-0674,NA,11:35am,NA,9:30am,a-1 rear parking lot,inactive,NA,NA
NO Report,17-0675,NA,NA,NA,NA,,NA,NA,NA
Burlgary 1,17-0676,NA,4:12pm,NA,4:12pm,off campus,active,NA,NA
Lost Property,17-0677,NA,2:12am,NA,1:30pm,howard plaza towers,inactive,NA,NA
NO Report,17-0678,NA,NA,NA,NA,,NA,NA,NA
Sick Person,17-0679,NA,1:19pm,NA,7:48am,howard university hospital,inactive,NA,NA
Lost Property,17-0680,NA,1:59pm,NA,2:02pm,cook hall,inactive,NA,NA
Damaged Property,17-0681,NA,3:17pm,NA,1:30pm,howard university hospital,inactive,NA,NA
Found Property,17-0682,NA,5:11pm,NA,5:11pm,wonder plaza,inactive,NA,NA
Disoderly Conduct,17-0683,NA,10:58pm,NA,10:55pm,college hall south,active,NA,NA
NO Report,17-0684,NA,NA,NA,NA,,NA,NA,NA
Fire Alarm Activation,17-0685,NA,3:41am,NA,3:41am,cook hall,inactive,NA,NA
Sick Person,17-0686,NA,10:46am,NA,10:41am,howard university hospital,inactive,NA,NA
Sick Person,17-0687,NA,12:26pm,NA,12:12pm,howard university hospital,inactive,NA,NA
Sick Person,17-0688,NA,12:54pm,NA,12:40pm,howard university hospital,inactive,NA,NA
Domestic Violence,17-0689,NA,6:06pm,NA,6:06pm,off campus,active,NA,NA
Sick Person,17-0690,NA,2:45am,NA,2:45am,college hall north,inactive,NA,NA
Unlawful Entry,17-0691,NA,6:40am,NA,6:41am,banneker south parking,active,NA,NA
Damaged Property,17-0692,NA,10:00am,NA,10:03am,husc garage,inactive,NA,NA
Barring Notice,17-0693,NA,10:04pm,NA,9:15pm,howard university hospital,active,NA,NA
Sick Person,17-0694,NA,11:09am,NA,11:56am,physic building,inactive,NA,NA
Theft from Auto,17-0695,NA,11:45am,NA,11:45am,old sub-station,active,NA,NA
Assault on a Police Officer,17-0696,NA,2:15am,NA,2:10am,howard university hospital,active,NA,NA
Simple Assault,17-0697,NA,3:32am,NA,2:40am,howard university hospital,active,NA,NA
Fire Alarm Activation,17-0698,NA,10:34AM,NA,9:39am,carnegie hall,inactive,NA,NA
Fire Alarm Activation,17-0699,NA,12:59pm,NA,1:08pm,quadrangle hall,inactive,NA,NA
Damaged Property,17-0700,NA,1:15pm,NA,1:30pm,a-2 garage,inactive,NA,NA
NO Report,17-0701,NA,NA,NA,NA,,NA,NA,NA
Injured Person,17-0702,NA,1:54pm,NA,1:49pm,howard university hospital,active,NA,NA
Vehicle Accident,17-0703,NA,7:47pm,NA,7:47pm,"ga. ave., nw,",active,NA,NA
Theft from Auto,17-0704,NA,8:14pm,NA,8:13pm,administration building,active,NA,NA
Sick Person,17-0705,NA,1:50am,NA,1:33am,howard university hospital,inactive,NA,NA
Fire Alarm Activation,17-0706,NA,3:03am,NA,3:03am,bethune annex,inactive,NA,NA
Sick Person,17-0708,NA,10:30am,NA,10:31am,student health clinic ,inactive,NA,NA
Found Property,17-0709,NA,9:30pm,NA,8:30pm,howard university hospital ,inactive,NA,NA
NO Report,17-0710,NA,NA,NA,NA,NA,NA,NA,NA
Sick Person,17-0711,NA,1:46am,NA,1:58am,engineering building ,inactive,NA,NA
Sick Person,17-0712,NA,12:48pm,NA,12:52pm,bethune annex ,inactive,NA,NA
Miscellaneous,17-0713,NA,3:11pm,NA,3:00pm,howard university hospital ,inactive,NA,NA
Vehicle Accident,17-0714,NA,3:51pm,NA,3:51pm,childers lot ,active,NA,NA
Simple Assault,17-0715,NA,6:08pm,NA,5:33pm,howard university hospital ,active,NA,NA
Vehicle Accident,17-0716,NA,9:01pm,NA,9:01pm,2300 block nw ,active,NA,NA
Fire Alarm Activation,17-0717,NA,2:49am,NA,2:49am,howard plaza towers ,inactive,NA,NA
Sick Person,17-0718,NA,4:31am,NA,3:49am,howard university hospital ,inactive,NA,NA
Hazardous Elevator,17-0719,NA,7:31am,NA,7:25am,west campus ,inactive,NA,NA
Found Property,17-0720,NA,9:30am,NA,9:41am,cramton auditorium ,inactive,NA,NA
Theft 1,17-0721,NA,1:18pm,NA,2:30pm,cramton auditorium ,active,NA,NA
Miscellaneous,17-0722,NA,4:43am,NA,4:43am,howard plaza towers ,inactive,NA,NA
Unlawful Entry,17-0723,NA,2:2am,NA,2:26am,college hall south ,active,NA,NA
Miscellaneous,17-0724,NA,8:34am,NA,8:34am,annex 2 ,inactive,NA,NA
Fire Alarm Activation,17-0725,NA,11:01am,NA,11:04am,cook hall ,inactive,NA,NA
Theft from Auto,17-0726,NA,12:16pm,NA,12:16pm,lower campus ,active,NA,NA
Theft from Auto,17-0727,NA,1:32pm,NA,2:00pm,banneker south parking lot ,active,NA,NA
Unlawful Entry,17-0728,NA,5:02pm,NA,5:00pm,douglass hall ,active,NA,NA
Barring Notice,17-0729,NA,6:43pm,NA,6:45pm,quadrangle hall ,active,NA,NA
ADW/Gun,17-0730,NA,8:34am,NA,8:08am,off campus ,active,NA,NA
Unlawful Entry,17-0731,NA,4:48pm,NA,4:45pm,slowe hall ,active,NA,NA
Unlawful Entry,17-0732,NA,6:53pm,NA,6:53pm,drew hall ,active,NA,NA
Fire Alarm Activation,17-0733,NA,8:25pm,NA,8:25pm,howard plaza towers ,inactive,NA,NA
Miscellaneous,17-0734,NA,10:09am,NA,10:13am,blackburn center ,inactive,NA,NA
