report_date,incident,incident_narrative,incident_number,date_occured,time_occured,general_location,disposition,year_occured,year_reported
2016-10-16,alcohol violation, an underagestudent was in possession of anopen container of alcohol.,16-001709,2016-10-16,0224,library walk,referred to studentconduct,2016,2016
2016-10-16,alcohol violation, an underagestudent was in possession of anopen container of alcohol.,16-001710,2016-10-16,0042,36th & n st,referred to studentconduct,2016,2016
2016-10-16,alcohol violation, underagestudents were in possession ofopen containers of alcohol.,16-001713,2016-10-16,0140,library walk,referred to studentconduct,2016,2016
2016-10-16,alcohol violation, an underagestudent was drinking in public.,16-001714,2016-10-16,0210,henle village,referred to studentconduct,2016,2016
2016-10-16,drug violation, drugs and drugparaphernalia were recovered froma residence.,16-001716,2016-10-16,0223,lxr,referred to studentconduct,2016,2016
2016-10-18,theft, a student reported the theftof an unattended laptop and wallet.,16-001724,2016-10-18,0807,hariri building,case pending investigation,2016,2016
2016-10-18,credit card fraud, a student filed areport alleging credit card fraudfrom his campus bank account.,16-001726,2016-10-17,1700,leavey centercredit union,case pending investigation,2016,2016
2016-10-18,theft, a student reported the theftof a bicycle.,16-001728,2016-10-18,2100,red square,case pending investigation,2016,2016
2016-10-19,drug violation, drugs and drugparaphernalia were recovered froma residence.,16-001730,2016-10-19,0038,3624 n st,referred to studentconduct,2016,2016
2016-10-19,theft, a staff member reported thethefts of two university laptops.,16-001734,2016-10-17,0830,640 massachusettsave,case pending investigation,2016,2016
2016-10-20,alcohol violation, an underagestudent was in possession of twobottles containing alcoholicbeverages.,16-001742,2016-10-20,1810,darnall hall,case pending investigation,2016,2016
2016-10-22,alcohol violation, an underagestudent was in possession of anopen container of alcohol.,16-001749,2016-10-22,0040,henle village,referred to studentconduct,2016,2016
2016-10-22,burglary, a burglary was reportedfrom a residence.,16-001752,2016-10-22,0600,3625 prospect st,mpd was responded and ishandling the investigation,2016,2016
2016-10-23,disorderly conduct, officers madecontact with a student who wascausing a disturbance.,16-001759,2016-10-23,0001,alumni square,case pending investigation,2016,2016
2016-10-24,theft, an affiliate reported a theftfrom the listed location.,16-001765,2016-10-24,1143,leavey centerbookstore,case pending investigation,2016,2016
2016-10-24,drug violation, drugs wererecovered from a residence.,16-001770,2016-10-24,1609,new south,referred to studentconduct,2016,2016
2016-10-28,burglary, a burglary was reportedfrom an office.,16-001794,2016-10-28,1300,healy hall,case pending investigation,2016,2016
2016-10-28,alcohol violation, an underagestudent was in possession of anopen container of alcohol.,16-001797,2016-10-28,2216,healy circle,referred to studentconduct,2016,2016
2016-10-28,alcohol violation, an underagestudent was in possession of anopen container of alcohol.,16-001798,2016-10-28,2220,library walk,referred to studentconduct,2016,2016
2016-10-28,alcohol violation, an underagestudent was oberserved drinkingfrom an open container of alcoholin public.,16-001799,2016-10-28,2241,library walk,referred to studentconduct,2016,2016
2016-10-30,sexual assault, a student reportedbeing sexually assaulted while at arooftop party.,16-001819,2016-10-30,0130,village a,case pending investigation,2016,2016
2016-10-30,theft, a student reported the theftof a bicycle.,16-001818,2016-10-25,1440,lxr,case pending investigation,2016,2016
2016-10-31,theft, a student reported the theftof a wallet.,16-001834,2016-10-31,1040,lauinger library,case pending investigation,2016,2016
2016-11-01,theft, an affiliate reported the theftof a bicycle.,16-001837,2016-10-19,1500,o'donovan hall,case pending investigation,2016,2016
2016-11-02,theft, a student reported the theftof a chicago cubs flag.,16-001841,2016-11-01,2100,village a,case pending investigation,2016,2016
2016-11-03,theft, a non-affiliate reported thetheft of personal property fom anunattended backpack.,16-001854,2016-11-01,1430,37th & o st,case pending investigation,2016,2016
2016-11-02,hit and run, a contractor reportedthat his vehicle was struck by anunknown vehicle.,16-001846,2016-11-02,2320,davis center,case pending investigation,2016,2016
2016-11-03,disorderly conduct, an officermade contact with students whowere observed being loud andknocking over bicycles.,16-001856,2016-11-03,0223,1200 blk of 36th st,referred to studentconduct,2016,2016
2016-11-04,alcohol violation, alcoholicbeverages were found in a roomoccupied by students who wereunderage.,16-001858,2016-11-04,0316,lxr,referred to studentconduct,2016,2016
2016-11-04,alcohol violation, alcoholicbeverages were found in a roomoccupied by students who wereunderage.,16-001859,2016-11-04,0400,lxr,referred to studentconduct,2016,2016
2016-11-04,motor vehicle theft, a studentreported the theft of a motorscooter.,16-001861,2016-11-04,1330,3519 prospect st,case pending investigation,2016,2016
2016-11-04,theft, a student reported theft of awallet.,16-001863,2016-11-04,1430,nevils,case pending investigation,2016,2016
2016-11-04,destruction of property, a reportwas taken for destruction ofuniversity property.,16-001868,2016-11-04,2224,henle village,referred to studentconduct,2016,2016
2016-11-05,theft, a staff member reported thetheft of a digital camera,16-001871,2016-11-05,1058,pre clinicalscience building,case pending investigation,2016,2016
2016-11-05,drug violation,  contraband wasfound in a room occupied bystudents.,16-001875,2016-11-05,2241,mccarthy hall,referred to studentconduct,2016,2016
2016-11-06,theft, a student reported the theftof a bicycle.,16-001878,2016-11-05,1815,healy familystudent center,case pending investigation,2016,2016
2016-11-06,theft, a student reported the theftof a wallet that was left unattended,16-001881,2016-11-05,2309,village a,case pending investigation,2016,2016
2016-11-07,theft, a student reported the theftof a bicycle.,16-001886,2016-11-07,0845,o'donovan hall,case pending investigation,2016,2016
2016-11-08,motor vehicle theft, a studentreported the theft of a motor,16-001891,2016-11-08,1505,car barn,case pending investigation,2016,2016
2016-11-09,dscrouogt verio. lation, students werefound in possession of drugs anddrug paraphernalia,16-001893,2016-11-09,0200,exterior of darnallhall,referred to studentconduct,2016,2016
2016-11-10,credit card fraud, a student filed acredit card fraud report.,16-001905,2016-11-10,1400,leavy centercredit union,case pending investigation,2016,2016
2016-11-11,suspicious person, gupd madecontact with a non-affilate who wassleeping in eupicurean. the subjecthad been given two prior verbalwarnings that she could  not sleepat that location.,16-001913,2016-11-11,2311,eupicurean & co,case closed with a barring,2016,2016
2016-11-14,drug violation,  students werefound in possession of drugs anddrug paraphernalia.,16-001925,2016-11-14,0046,copley hall,referred to studentconduct,2016,2016
2016-11-14,unlawful entry, gupd madecontact with a non-affilate sleepingin a campus building after hours.,16-001927,2016-11-14,0125,arrupe hall,case closed with a barring.,2016,2016
2016-11-14,suspicious person, a non-affiliatedisregarded a  verbal warningabout his disruptive behavior whileattending an on campus event.,16-001935,2016-11-14,1500,old north,case closed with a barring,2016,2016
2016-11-16,theft, a staff member reported thetheft of exercise equipment,16-001944,2016-11-11,1100,john thompsonathletic center,case pending investigation,2016,2016
2016-11-16,assault, a student reported whilewalking down prospect st. she waspushed down by an unknown male.he was accompanied by three othermales.  the four were described aswhite males approximately 18-21years of age.,16-001945,2016-11-13,0100,3700 block ofprospect st nw,case pending investigation,2016,2016
2016-11-17,theft, a student reported the theftof a backpack that was leftunattended.,16-001951,2016-11-17,1200,regents hall,case pending investigation,2016,2016
2016-11-17,theft, a student reported the theftof a backpack that was leftunattended.,16-001952,2016-11-17,1419,davis performingarts center,case pending investigation,2016,2016
2016-11-18,burglary, an unknown person(s)entered into an office and stole aniphone,16-001957,2016-11-08,1200,mcguire,case pending investigation,2016,2016
2016-11-19,theft, a laptop that was leftunattended in a commom area wasstolen,16-001959,2016-11-19,2303,regents hall,case pending investigation,2016,2016
2016-11-20,drug violation, a student wasfound in possession of drugs,16-001962,2016-11-20,0008,mccarthy hall,referred to studentconduct,2016,2016
2016-11-20,unlawful entry, a non-affiliate whowas previously barred wasobserved on campus.,16-001966,2016-11-20,0419,village c west,case closed with an arrest,2016,2016
2016-11-28,theft, a student reported the ofclothing from a laundry room,16-002000,2016-11-22,0830,darnell hall,case pending investigation,2016,2016
2016-11-30,theft, a student reported the theftof cash and other personal itemsfrom an unattended backpack,16-002008,2016-11-29,0900,healy hall,case pending investigation,2016,2016
2016-12-01,unlawful entry, a subject who hadbeen previously arrested forviolating a barring notice wasobserved in the building.,16-002016,2016-12-01,0402,lauinger library,case closed with arrest,2016,2016
2016-12-04,theft, a student reported the theftof a laptop that was left unattended,16-002038,2016-12-04,1600,icc,case pending investigation,2016,2016
2016-12-06,theft, a student reported the theftof a phone that was left with a coatin a common unsecured area.,16-002047,2016-12-06,1549,healy familystudent center,case pending investigation,2016,2016
2016-12-06,credit card fraud, a studentreported fraudlet charges on acredit card,16-002050,2017-12-06,1817,leavey center,case closed with arrest,2017,2016
2016-12-11,drug violation, a student wasfound in possession of drugs,16-002086,2016-12-11,2207,arrupe hall,referred to student conduct,2016,2016
2016-12-14,theft/credit card fraud, a studentreported  the theft of a laptop andwallet containing credit cards. thecredit cards were used to makefraudulent charges,16-002094,2016-12-14,1756,car barn,case pending investigation,2016,2016
2016-12-17,theft, a student reportedelectronics items were stolen froma backpack that was leftunattended.,16-002103,2016-12-17,1721,icc,case pending investigation,2016,2016
2016-12-18,theft, a student reported the theftof a secured bike  from a bike rack,16-002106,2016-11-27,1500,reynolds hall,case pending investigation,2016,2016
2016-12-19,theft, a student reported the theftof a secured bike from a bike rack.,16-002111,2016-12-19,2329,o'donovan hall,case pending investigation,2016,2016
2016-12-23,alcohol violation, an underagedstudent was found in possession ofalcohol.,16-002120,2016-12-23,2300,henle village,referred to student conduct,2016,2016
2016-12-29,burglary, unknown person(s)entered into the building and stoleclothing and a gaming system,16-002122,2016-12-28,1615,john thompson jrathletic center,case pending investigation,2016,2016
2017-04-01,theft, a lap and case that was leftunattended was stolen.,17-000508,2017-04-01,1730,gaston hall,case  pending investigation,2017,2017
2017-04-03,theft, a staff  member reported thetheft of a pair of shoes,17-000516,2017-03-23,1205,lxr,case  pending investigation,2017,2017
2017-04-03,theft, a student reported the theftof a bicycle`,17-000519,2017-04-03,1055,walshbuilding(exterior),case  pending investigation,2017,2017
2017-04-03,fraud, a student received emailscontaining fraudulent materials.,17-000520,2017-03-21,1730,mccarthy hall,case pending investigation,2017,2017
2017-04-04,fraud, a student received emailscontaining fraudulent materials.,17-000526,2017-01-25,1500,village c west,case  pending investigation,2017,2017
2017-04-05,theft, a student reporte the theft ofa bicycle,17-000530,2017-04-05,1050,yates field house,case  pending investigation,2017,2017
2017-04-07,theft, camera equipment that wasleft unattended was stolen,17-000541,2017-04-07,1830,hariri building,case  pending investigation,2017,2017
2017-04-09,theft, an article of clothing thatwas left unattended a washermachine was stolen.,17-000553,2017-04-09,200,mccarthy hall,case  pending investigation,2017,2017
2017-04-09,assault, a student reported beingspat on by another student,17-000555,2017-04-08,0100,main gate,referred to student conduct,2017,2017
2017-04-10,theft, a student reported the theftof a bicycle.,17-000560,2017-04-10,1700,pre clinicalscience bicycle,case pending investigation,2017,2017
2017-04-11,fraud, a student reported afraudulent activity on a credit card.,17-000564,2017-04-03,1913,vriallcakge c west,case pending investigation,2017,2017
2017-04-11,theft,  a student reported the theftof cash,17-000565,2017-04-10,1800,village a,case pending investigation,2017,2017
2017-04-12,theft, a staff member reported thethe theft of a parking from apersonal vehicle.,17-000570,2017-03-29,1000,swq garage,case pending investigation,2017,2017
2017-04-13,theft, a push cart that was leftunattended in the hall was stolen.,17-000575,2017-04-13,1030,building d,case pending investigation,2017,2017
2017-04-13,theft, two parking passes werestolen from an office,17-000581,2017-04-12,1800,mortara building,case pending investigation,2017,2017
2017-04-18,theft/fraud,  a wallet containingcredit cards was stolen. the cardswere used to make fraudulentcharges,17-000589,2017-04-18,1500,icc,case pending investigation,2017,2017
2017-04-19,theft, a laptop that was leftunattened was stolen.,17-000603,2017-03-29,1200,reagent's hall,case pending investigation,2017,2017
2017-04-20,theft, a student reported thef theftof a bicycle,17-000604,2017-04-10,1000,pre clinicalscience bicycle,case pending investigation,2017,2017
2017-04-20,theft,  a student reported the theftof his bicycle.,17-000606,2017-04-19,2000,rackarrupe hall,case pending investigation,2017,2017
2017-04-20,drug violation, students werefound in possession of marijuana,17-000607,2017-04-20,2202,darnall hall,referred to student conduct,2017,2017
2017-04-24,drug violation, marijuana wasfound in the area,17-000627,2017-04-24,1243,harbin hall,referred to student conduct,2017,2017
2017-04-24,assault, during an event oncampus an attendee reported thatone of the protestors stepped onhis foot.,17-000628,2017-04-24,1430,leavey center,case pending investigation,2017,2017
2017-04-24,burglary,  a report was filedregarding forced entry into thearea. door locks and a windowpane  was damged by an unknownsuspect.,17-000629,2017-04-24,2359,observatory,case pending investigation,2017,2017
2017-04-24,domestic dispute, a student wassubstained a lip injury from anobject that was thrown at him byhis roommate.,17-000632,2017-04-24,1800,village c,case pending investigation,2017,2017
2017-04-26,theft, a student reported the theftof a bicycle,17-000643,2017-04-24,1100,reiss sciencebicycle rack,case pending investigation,2017,2017
2017-04-27,assault, gupd received a report oftwo staff members involved aphysical altercation,17-000649,2017-04-27,0820,mcdonough gymexterior,case closed with an arrest,2017,2017
2017-04-27,theft, a student reported the theftof a laptop,17-000650,2017-03-16,03:00,leavy center,case pending investigation,2017,2017
2017-04-27,theft, a student reported the theftof a bicycle,17-000652,2017-04-27,1530,hariri building,case pending investigation,2017,2017
2017-04-27,alcohol violation, an under agedstudent was found in possession ofalcohol.,17-000656,2017-04-27,2103,leavey center,referred to student conduct,2017,2017
2017-04-28,theft, a student reported the theftof his clothes from a a laundryroom.,17-000659,2017-04-27,09:00,village a,case pending investigation,2017,2017
2017-04-28,alcohol violation, an under agedstudent was found in possession ofalcohol.,17-000660,2017-04-28,1105,lxr,referred to student conduct,2017,2017
2017-04-28,alcohol violation, an under agedstudent was found in possession ofalcohol.,17-000661,2017-04-28,1228,1200 blk of 37th st,referred to student conduct,2017,2017
2017-04-28,theft, a student reported theft of alaptop,17-000672,2017-04-28,2010,healy familystudent center,case pending investigation,2017,2017
2017-04-29,theft, a student reported the theftof a bicycle,17-000675,2017-04-29,1800,nevils,case closed: propertyreturned to the owner,2017,2017
2018-04-03,burglary, a gu student reportedthat an unknown subject enteredtheir unsecured office and stoleproperty,18-000499,2018-04-03,1506,icc,case pending investigation,2018,2018
2018-04-03,burglary, a gu staff memberreported that an unknown subjectentered their unsecured office andstole property,18-000500,2018-04-03,1530,icc,case pending investigation,2018,2018
2018-04-04,theft, a  student reported the theftof a street sign,18-000505,2018-04-04,0200,"37th & ""o"" streetnorthwest (maingate)",case referred to studentconduct,2018,2018
2018-04-04,theft, a vendor reported the theftof merchandise,18-000506,2018-04-04,1315,leavey centerbookstore,case pending investigationhandled by mpd ccn 18-053429,2018,2018
2018-04-04,theft, a vendor reported the theftof merchandise,18-000508,2018-04-04,1630,leavey centerbookstore,"case pending investigationhandled by mpd ccn 18-053454 / unfounded areview of the surveillancecameras did not revealanyone approach the tableand steal the property,reporting person was re-interviewed and stated thatthey must have misplacedthe property.",2018,2018
2018-04-04,burglary, a gu student reportedthat an unknown subject enteredtheir unsecured residence and stoleproperty,18-000509,2018-03-28,1200,mccarthy hall,case pending investigation,2018,2018
2018-04-04,sexual assault, a student repotedthat they were sexually assaulted(fondling),tix-299,2015-01-01,NA,on campus,case pending investigation,2015,2018
2018-04-05,domestic assault, a gu studentreported that they were assaultedby an associate,18-000514,NA,0900,kennedy hall,case closed arrest warrantdeclined,NA,2018
2018-04-06,theft, a  student reported the theftof a flag,18-000517,2018-04-06,1420,red square,case referred to studentconduct,2018,2018
2018-04-06,theft, a  student reported the theftof property,18-000521,2018-03-29,1840,hariri building,case referred to studentconduct,2018,2018
2018-04-07,burglary, a gu staff memberreported that an unknownsubject(s) entered a unsecuredlocker-room and stole us currency,18-000525,2018-04-07,1700,mcdonoughgymnasium,case closed with arrestccn; 18-056324,2018,2018
2018-04-10,destruction of property, a gu staffmember reported that an unknownsubject(s) attempted to pry open aoffice door causing damage.,18-000543,2018-03-26,0810,darnall hall,case pending investigation,2018,2018
2018-04-12,theft, a  student reported the theftof a bicycle,18-000555,2018-04-12,1230,o'donovan hall,case pending investigation,2018,2018
2018-04-14,theft, a  student reported the theftof a pouch,18-000567,2018-04-14,2200,lorhfink auditorium,case pending investigation,2018,2018
2018-04-16,theft, a  student reported the theftof a backpack,18-000571,2018-04-15,1500,alumni squarecourtyard,case pending investigation,2018,2018
2018-04-17,destruction of property,  a staffmember reported that someonevandalized  the gocard reader,18-000577,2018-04-15,0210,copley hall,case referred to studentconduct,2018,2018
2018-04-18,dating violance, a student repotedthat they were physically assaulted,tix-267,2018-03-18,NA,on campushousing,case pending investigation,2018,2018
2018-04-19,unlawful entry,  a gupd officerreported that they located aunauthorized non affiliate oncampus who had been previouslybarred,18-000585,2018-04-19,0404,lauinger library,case closed with arrestccn: 18-062295,2018,2018
2018-04-19,stalking,"  a student reported thatthey received several unwantedtext, emails, and a package from aknown associate",18-000586,2018-04-18,1500,village c west,case pending investigation,2018,2018
2018-04-20,theft, a  staff member reported thetheft of a parking pass,18-000590,2018-04-18,1830,leavey garage,case pending investigation,2018,2018
2018-04-20,theft, a  student reported the theftof a laptop,18-000592,2018-04-20,1734,copley hall,case pending investigationhandled by mpd ccn 18-063260 / case unfoundedcomplainant locatedproperty,2018,2018
2018-04-21,burglary, a gu staff memberreported that an unknownsubject(s) entered a unsecuredlocker-room with the intent to stealproperty,18-000599,2018-04-21,1514,mcdonoughgymnasium,case closed with arrestccn 18-063784,2018,2018
2018-04-21,alcohol violation, a underagestudent was found in possession ofa alcoholic beverage,18-000601,2018-04-21,1733,new south hall,case referred to studentconduct,2018,2018
2018-04-22,burglary, a gu staff memberreported that an unknown subjectentered their unsecured office andstole property,18-000610,2018-04-20,1600,medical & dentalbuilding,case pending investigationhandled by mpd ccn 18-064164,2018,2018
2018-04-23,burglary, a gu staff memberreported that an unknown subjectentered their unsecured classroomand stole property,18-000614,2018-04-23,0833,reiss science,case pending investigation,2018,2018
2018-04-24,theft, a  student reported the theftof a bicycle,18-000624,2018-04-24,1330,darnall hall,case pending investigation,2018,2018
2018-04-24,theft, a  student reported the theftof a cellular phone,18-000627,2018-04-20,2000,1200 block 36thstreet northwest,case pending investigation,2018,2018
2018-04-24,dating violence sexual assault, astudent repoted that they weresexually assaulted (fondling),tix-271,2018-04-18,NA,isaac hawkins hall,case pending investigation,2018,2018
2018-04-25,drug violation, a student wasfound in possession of marijuana,18-000630,2018-04-25,2219,observatory,case referred to studentconduct,2018,2018
2018-04-25,sexual assault, a student repotedthat they were sexually assaulted,tix-272,2018-04-07,NA,on campushousing,case pending investigation,2018,2018
2018-04-27,drug violation, a student wasfound in possession of marijuana,18-000644,2018-04-27,1200,lxr,case referred to studentconduct,2018,2018
2018-04-27,drug violation, a student wasfound in possession of marijuana,18-000645,2018-04-27,1200,village a,case referred to studentconduct,2018,2018
2018-04-27,drug violation, a student wasfound in possession of marijuana,18-000651,2018-04-27,1339,lxr,case referred to studentconduct,2018,2018
2018-04-28,theft, a  non affiliate reported thetheft of a wallet,18-000667,2018-04-28,1700,lauinger library,case pending investigationhandled by mpd ccn 18-067865,2018,2018
2018-04-30,unlawful entry,  a gupd officerreported that they located aunauthorized non affiliate oncampus who had been previouslybarred,18-000679,2018-04-30,1923,car barn,case closed with arrestccn: 18-069029,2018,2018
2018-04-30,assault, a staff member reportedthat they were physically assaulted,18-000680,2018-04-27,1520,village a,case referred to studentconduct,2018,2018
2019-04-02,theft, a  student reported the theft of abicycle,19-000463,2019-04-02,1729,lauinger library,case pending investigation,2019,2019
2019-04-02,sexual assault, a student reported that theywere sexually assaulted,tix-461,2018-03-02,NA,new south hall,case pending investigation,2018,2019
2019-04-04,urinating in public, a student wasobserving urinating in public,19-000467,2019-04-04,0035,healy circle,case referred to student conduct,2019,2019
2019-04-04,theft, a  student reported the theft ofpersonal property,19-000473,2019-04-04,1845,leavey center,case pending investigation,2019,2019
2019-04-07,destruction of property, a  student reportedthat an unknown subject vandalizeduniversity property,19-000483,2019-04-07,1755,healy family studentcenter,case closed with arrest ccn: 19-058848,2019,2019
2019-04-10,burglary, a staff member reported that anunknown suspect(s) gained access to theirunsecured offices and stole personalproperty,19-000501,2019-04-09,1800,new research building,case pending investigation,2019,2019
2019-04-11,drug violation, a student was found inpossession of marijuana,19-000505,2019-04-11,1750,lxr,case referred to student conduct,2019,2019
2019-04-12,drug violation, a student was found inpossession of marijuana,19-000509,2019-04-12,0028,village a,case referred to student conduct,2019,2019
2019-04-15,domestic violence assault, a studentreported that they were physicallyassaulted.,19-000534,2019-03-01,0000,mccarthy hall,case referred to student conduct,2019,2019
2019-04-17,drug violation, a student was found inpossession of marijuana,19-000544,2019-04-17,0858,village a,case referred to student conduct,2019,2019
2019-04-18,theft, a  student reported the theft of abicycle,19-000552,2019-04-16,1100,darnall hall,case pending investigation,2019,2019
2019-04-20,drug violation, a student was found inpossession of marijuana,19-000557,2019-04-20,2143,reynold hall,case referred to student conduct,2019,2019
2019-04-21,burglary, a  gupd officer reported that anon gu affiliated subject entered a securedoffice with the intent to steal personalproperty,19-000560,2019-04-21,1906,icc,case pending investigation,2019,2019
2019-04-23,drug violation, a student was found inpossession of marijuana,19-000566,2019-04-23,1920,lxr,case closed with arrest ccn: 19-069221 /casereferred to student conduct,2019,2019
2019-04-23,drug violation, a student was found inpossession of cocaine,19-000,2019-04-23,1920,lxr,case closed with arrest ccn: 19-069221 /casereferred to student conduct,2019,2019
2019-04-24,drug violation, a student was found inpossession of marijuana,19-000569,2019-04-24,1836,nevils,case referred to student conduct,2019,2019
2019-04-27,drug violation, a non gu affiliate was foundin possession of marijuana,19-000586,2019-04-27,2050,cooper field,case closed subjects barred,2019,2019
2019-04-29,theft stolen auto, a  student reported thetheft of a moped scooter,19-000601,2019-04-29,1430,36th & prospect streetnorthwest,case handled by mpd ccn: 19-072904,2019,2019
2019-04-29,domestic violence stalking, a studentreported the that they were stalked,19-000602,2019-04-29,1217,arrupe hall,case referred to student conduct/ case handled by mpd ccn: 19-072956,2019,2019
2019-04-29,theft, a  student reported the theft of aprescription drug,19-000603,2019-04-13,NA,village c west,case referred to student conduct,2019,2019
2019-04-30,fondling, a hospital patient reported theywere fondled,19-0596 (gumh),2019-04-30,1552,gumh,case closed handled by gumhprotective services,2019,2019
2020-04-06,destruction of property,a gupd officer reported that anunknown suspect vandalized anexterior door,20-000498,2020-04-06,0705,reiss sciencebuilding,case pending investigation,2020,2020
2020-04-07,unlawful entry,a gupd officer  reported that theylocated a unauthorized non affiliateon campus who had previouslybeen barred,20-000502,2020-04-07,2345,leavey center,case closed with arrestccn: 20-056244,2020,2020
2020-04-10,burglary,a staff member reported that anunknown suspect gained access totheir unsecured residence and stoleus currency and alcohol,20-000508,2020-04-09,0015,harbin hall,case pending investigation,2020,2020
2020-04-11,drug violation,a student was found in possessionof marijuana,20-000510,2020-04-11,2202,alumni square,case referred to studentconduct,2020,2020
2020-04-11,destruction of property,a gupd officer reported that anunknown suspect vandalized aresidence,20-000511,2020-04-12,0452,"village ""a""",case pending investigation,2020,2020
2020-04-21,destruction of property,a gupd officer reported that anunknown suspect vandalized aninterior room,20-000522,2020-04-21,0150,new south hall,case referred to studentconduct,2020,2020
2020-04-21,unlawful entry,a gupd officer  reported that theylocated a unauthorized non affiliateon campus who had previouslybeen barred,20-000523,2020-04-21,1010,canal road,case closed with arrestccn: 20-061586,2020,2020
2020-04-22,burglary,a staff member reported that anunknown suspect gained access totheir secured office and stole acomputer monitor,20-000526,2020-04-21,1400,yates field house,unfounded computermonitor was returned04/23/2020,2020,2020
2020-04-26,unlawful entry,a gupd officer  reported that theylocated a unauthorized non affiliateon campus who had previouslybeen barred,20-000533,2020-04-26,1651,leavey center,case pending investigation,2020,2020
2021-04-20,NA,NA,NA,NA,NA,NA,NA,NA,2021
2021-04-01,unlawful entry,a gu affiliate reported that anaramark employee had reportedseeing two unauthorized subjectssleeping in the faculty club,21-000309,2021-03-30,0600,leavey centerfaculty club,pending furtherinvestigation,2021,2021
2021-04-05,theft,a gu staff member reported thetheft of cash from their backpack,21-000322,2021-04-05,0900,david performingarts center,pending furtherinvestigation,2021,2021
2021-04-07,theft,a gu staff member reported thetheft of personal items,21-000336,NA,0900,cooper field,case closed: subjectidentified and terminatedfrom gu empolyment,NA,2021
2021-04-07,stalking,a gu student reported beingstalked and receiving unwantedemails from an ex-boyfriend,21-000338,NA,0400,online,pending furtherinvestigation,NA,2021
2021-04-08,burglary,"a gu student reported than anunknown individual entered theirunsecured townhouse, touched thestudent, and removed items fromthe residence before leaving",fi21-000030,2021-04-08,0630,1200 block of 35thst nw,pending furtherinvestigation handled bympd ccn: 21-044565,2021,2021
2021-04-08,unlawful entry,a gu student reported that anunknown individual entered theirresidence,fi21-000031,2021-04-08,0540,1900 block of 38thst nw,pending furtherinvestigation handled bympd ccn: 21-044496,2021,2021
2021-04-12,burglary,a gu staff member reported thetheft of his personal laptop from anunsecured room,21-000355,2021-04-12,1100,meddent,pending furtherinvestigation,2021,2021
2021-04-12,theft,a gu athletic staff memberreported the theft of an aed,21-000356,2021-04-12,1230,cooper field,pending furtherinvestigation,2021,2021
2021-04-21,theft,a gu hospital employee reportedthe theft of a bicycle,21-000379,2021-04-21,1216,reynolds hall bikerack,pending furtherinvestigation,2021,2021
2021-04-23,theft,a student reported the theft of abicycle,21-000381,2021-04-20,1208,o'donovan hallbike rack,pending furtherinvestigation,2021,2021
2021-04-27,theft,a gu affiliate reported the theft ofclothing and jewelry from theiroffice,21-000387,NA,1230,harris building,pending furtherinvestigation handled bympd ccn: 21-053716,NA,2021
2021-04-29,theft,a gu student reported the theft ofclothing,21-000391,NA,1900,davis performingarts center,pending furtherinvestigation,NA,2021
2017-08-01,theft, a gu affiliate reported thetheft of a parking permit,17-001068,2017-08-01,0700,parking lot g,case pending investigation,2017,2017
2017-08-01,theft, a gu affiliate reported thetheft of a bicycle,17-001073,2017-08-01,1845,hariri building,case pending investigation,2017,2017
2017-08-02,theft, a gu affiliate reported thetheft of a wallet,17-001076,2017-08-02,1400,healy familystudent center,case pending investigation,2017,2017
2017-08-03,theft, a gu staff member reportedthe theft of a bicycle,17-001079,2017-08-03,1654,gervase hall,case pending investigation,2017,2017
2017-08-05,destruction of property,  a gupdofficer reported that someonevandalized the elevator,17-001088,2017-08-05,0033,st mary's,case pending investigation,2017,2017
2017-08-05,burglary, a gu student reportedthat an unknown subject enteredtheir secured residence hall roomand stole a camera,17-001089,2017-08-05,1550,kennedy hall,case pending investigation,2017,2017
2017-08-07,disorderly conduct, a gu studentreported that while riding therosslyn shuttle towards the metrostation they were jostled by anunknown subject as the shuttlecrossed the key bridge,17-001091,2017-06-22,1945,key bridge,case pending investigation,2017,2017
2017-08-09,destruction of property,  a gupdaffiliate reported that someonevandalized the exterior of the carbarn,17-001096,2017-08-07,0700,car barn,case pending investigation,2017,2017
2017-08-10,theft, a gu staff member reportedthe theft of a parking permit,17-001100,2017-08-10,1630,hariri building,case pending investigation,2017,2017
2017-08-14,theft, a gu student reported thetheft of a bicycle,17-001105,2017-08-14,1920,kennedy hall,case pending investigation,2017,2017
2017-08-15,theft, a contractor reported thetheft of a dolly,17-001107,2017-08-15,1030,walsh courtyard,case pending investigation,2017,2017
2017-08-16,theft, a staff member reported thetheft of a bicycle,17-001110,2017-08-16,1140,gervase hall,case pending investigation,2017,2017
2017-08-17,theft, a staff member reported thetheft of a bicycle,17-001115,2017-08-17,1640,regents hall,case pending investigation,2017,2017
2017-08-18,theft, a non gu affiliate reportedthe theft of a jacket,17-001122,2017-08-18,1730,leavey center,case pending investigation,2017,2017
2017-08-21,theft, a staff member reported thetheft of a bicycle,17-001128,2017-08-14,1800,regents hall,case pending investigation,2017,2017
2017-08-24,theft, a contractor reported thetheft of a cellular phone,17-001143,2017-08-24,1820,o'donovan hall,case pending investigation,2017,2017
2017-08-25,theft, a student reported the theftof a bicycle,17-001149,2017-08-25,1140,hariri building,case pending investigation,2017,2017
2017-08-26,drug violation, a student wasfound in possession of marijuana,17-001157,2017-08-26,2312,"3600 block ""n""street northwest",case referred to studentconduct,2017,2017
2017-08-27,drug violation, a student wasfound in possession of marijuana,17-001165,2017-08-27,1328,village a,case referred to studentconduct,2017,2017
