nature_classification,case_number,date_reported,date_occurred,time,general_location,off_campus_y_or_n,disposition
Theft II/From Building,2100272,NA,NA,1748,"Mitchell Hall(7-Eleven Stores)",N,Closed. No identifiable subject..
"Harassment (Verbal orWritten)",2100277,NA,NA,1334,Off Campus,Y,Closed. Referred to DSA.
"Weapons Violation, SimpleAssault, Theft II/Other",2100279,NA,NA,2109,"Public Property on Campus(2200 Block of Eye Street, N.W.)",N,Closed. Subject arrested.
"DisorderlyConduct/Intoxication, FalseFire Alarm, Simple Assault",2100285,NA,NA,0001,Support Building,N,Closed. Referred to DSA.
"Destruction ofProperty/Vandalism",2100287,NA,NA,0111,District House,N,Closed. Referred to DSA.
Theft II/Other,2100289,NA,NA,Unknown,District House,N,Closed. No suspects or witnesses.
Unlawful Entry,2100290,NA,NA,1812,Off Campus,Y,Closed. Referred to MPD.
"Traffic Accident: Hit andRun",2100294,NA,NA,Unknown,"Public Property On Campus(2200 Block of H Street N.W.)",N,Closed. No suspects or witnesses.
Fraud 1D,2100296,NA,NA,Multiple,Off Campus,Y,Closed. Off campus incident.
"Sexual Assault, LiquorLaw Violation","NA-19-2021",NA,NA,Unknown,District House,N,Closed. No further action.
"Theft I/From MotorVehicle, Credit Card Fraud",2100303,NA,NA,1615-1815,Off Campus,N,Closed. Off campus incident.
"Unauthorized Use of MotorVehicle/Theft Auto",2100312,NA,NA,1736,"Public Property on Campus(2300 Block of Eye Street, N.W.)",N,Closed. Referred to MPD.
Destruction of,2100313,NA,NA,2016-2043,"605 22nd Street, N.W.",N,Closed.  No identifiable suspect.
"Property/Vandalism,",NA,NA,NA,NA,NA,NA,NA
Burglary II/Forcible,NA,NA,NA,NA,NA,NA,NA
Fondling,"NA-20-2021",NA,NA,Unknown,Tonic Restaurant,N,Closed. No further action.
NA,NA,NA,NA,NA,"(2036 G Street, N.W.)",NA,NA
Sexual Assault,2100319,NA,NA,1945,7-Eleven Store,Y,Open case.
NA,NA,NA,NA,NA,"(912 New Hampshire Ave., N.W.)",NA,NA
Sexual Assault,"NA-21-2021",NA,NA,Unknown,District House,N,Closed. No further action.
